Ps.number,Cue.number,Response.number,cues,Response,RT,Response_singular.x,Response_spelling,Minkowski.3.distance.n_cue,Mink3.overlap.n_cue,Response_finalAmE,Response_finalBrE,n_1,n_1_sing,Mink3.dist.n_1,Mink3.overlap.n_1,n_2,n_2_sing,Mink3.dist.n_2,Mink3.overlap.n_2,n_3,n_3_sing,Mink3.dist.n_3,Mink3.overlap.n_3,n_4,n_4_sing,Mink3.dist.n_4,Mink3.overlap.n_4,n_5,n_5_sing,Mink3.dist.n_5,Mink3.overlap.n_5,PPMI.n_cue,n_1_BrE,PPMI.n_1,n_2_BrE,PPMI.n_2,n_3_BrE,PPMI.n_3,n_4_BrE,PPMI.n_4,n_5_BrE,PPMI.n_5,PPMI.max,PPMI.max.which,Mink3.max,Mink3.max.which,PPMI.max.which2,Mink3.max.which2,logRT,PPMI.source,Mink3.source,Mink.max_nocue,PPMI.max_nocue,ZipfUK
2,1,1,ALPHABET,LETTERS,1194.4,LETTER,NA,4.132440833,6.987559167,LETTERS,LETTERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,1,6.987559167,1,n-cue,n-cue,3.077149795,0,0,1,1,4.56
5,1,1,ALPHABET,LETTER,3603.4,LETTER,NA,4.132440833,6.987559167,LETTER,LETTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.998756306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.998756306,1,6.987559167,1,n-cue,n-cue,3.556712474,0,0,1,1,4.85
6,1,1,ALPHABET,LETTERS,971.1,LETTER,NA,4.132440833,6.987559167,LETTERS,LETTERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,1,6.987559167,1,n-cue,n-cue,2.987263954,0,0,1,1,4.56
14,1,1,ALPHABET,LETTERS,1412.4,LETTER,NA,4.132440833,6.987559167,LETTERS,LETTERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,1,6.987559167,1,n-cue,n-cue,3.149957709,0,0,1,1,4.56
16,1,1,ALPHABET,SCHOOL,510,SCHOOL,NA,2.794001292,8.325998708,SCHOOL,SCHOOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,8.325998708,1,n-cue,n-cue,2.707570176,0,0,1,1,5.45
21,1,1,ALPHABET,LANGUAGE,4780.6,LANGUAGE,NA,1.657929609,9.462070391,LANGUAGE,LANGUAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.470668391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.470668391,1,9.462070391,1,n-cue,n-cue,3.679482407,0,0,1,1,4.82
27,1,1,ALPHABET,LETTERS,840.2,LETTER,NA,4.132440833,6.987559167,LETTERS,LETTERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,1,6.987559167,1,n-cue,n-cue,2.924382677,0,0,1,1,4.56
34,1,1,ALPHABET,SONG,902.1,SONG,NA,4.025060742,7.094939258,SONG,SONG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.642585462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.642585462,1,7.094939258,1,n-cue,n-cue,2.955254683,0,0,1,1,5.1
35,1,1,ALPHABET,LETTERS,904.3,LETTER,NA,4.132440833,6.987559167,LETTERS,LETTERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.413622061,1,6.987559167,1,n-cue,n-cue,2.956312531,0,0,1,1,4.56
38,1,1,ALPHABET,GREEK,766.2,GREEK,GREEK,NA,NA,GREEK,GREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.073108761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.073108761,1,NA,NA,n-cue,NA,2.884342148,0,NA,NA,1,4.53
1,2,1,BATTLE,WAR,2081.4,WAR,NA,0.953283551,10.16671645,WAR,WAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.973279387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.973279387,1,10.16671645,1,n-cue,n-cue,3.31835555,0,0,1,1,5.34
3,2,1,BATTLE,1066,1804,1066,1066,NA,NA,1066,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.212293214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.212293214,1,NA,NA,n-cue,NA,3.256236533,0,NA,NA,1,NA
10,2,1,BATTLE,HASTINGS,517.4,HASTING,HASTINGS,NA,NA,HASTINGS,HASTINGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.157717054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.157717054,1,NA,NA,n-cue,NA,2.713826424,0,NA,NA,1,3.77
