"Ps.number","Cue.number","Response.number","cues","Response","first_key_RT","Response_spelling","ZipfUK","Response_corrected"
2,1,1,"ALPHABET","LETTERS",1194.4,NA,4.56,"LETTERS"
2,1,2,"ALPHABET","WRITING",599.7,NA,4.76,"WRITING"
2,1,3,"ALPHABET","WORDS",601.9,NA,5.09,"WORDS"
2,1,4,"ALPHABET","READING",1120.1,NA,4.78,"READING"
2,1,5,"ALPHABET","SPEECH",531.2,NA,4.72,"SPEECH"
2,1,6,"ALPHABET","COMMUNICATE",656,NA,4.03,"COMMUNICATE"
2,1,7,"ALPHABET","COMMUNICATION",663.5,NA,4.16,"COMMUNICATION"
2,1,8,"ALPHABET","LANGUAGE",994.3,NA,4.82,"LANGUAGE"
2,1,9,"ALPHABET","CYRILLIC",1367.8,NA,2.26,"CYRILLIC"
2,1,10,"ALPHABET","ROMAN",939.6,NA,4.52,"ROMAN"
2,1,11,"ALPHABET","GREEK",983.7,NA,4.53,"GREEK"
2,1,12,"ALPHABET","SYMBOLS",3272.6,NA,3.77,"SYMBOLS"
2,1,13,"ALPHABET","WRITINGS",881.8,NA,3.12,"WRITINGS"
2,1,14,"ALPHABET","POETRY",1048,NA,4.1,"POETRY"
2,1,15,"ALPHABET","BOOKS",1171.2,NA,4.86,"BOOKS"
2,1,16,"ALPHABET","THOUGHTS",3927.9,NA,4.55,"THOUGHTS"
2,1,17,"ALPHABET","EDUCATED",7295.7,NA,3.97,"EDUCATED"
2,1,18,"ALPHABET","LEARNING",719.3,NA,4.66,"LEARNING"
2,1,19,"ALPHABET","WRITE",477.9,NA,4.89,"WRITE"
2,1,20,"ALPHABET","WORDS",459.2,NA,5.09,"WORDS"
5,1,1,"ALPHABET","LETTER",3603.4,NA,4.85,"LETTER"
5,1,2,"ALPHABET","WORD",5753.2,NA,5.29,"WORD"
5,1,3,"ALPHABET","STORY",2911.7,NA,5.42,"STORY"
5,1,4,"ALPHABET","SCHOOL",5170,NA,5.45,"SCHOOL"
5,1,5,"ALPHABET","LESSON",2995,NA,4.46,"LESSON"
5,1,6,"ALPHABET","26",4595.8,"TWENTY SIX",NA,"TWENTY SIX"
5,1,7,"ALPHABET","LETTERS",5371.7,NA,4.56,"LETTERS"
5,1,8,"ALPHABET","LEARNING",3955.1,NA,4.66,"LEARNING"
5,1,9,"ALPHABET","NAMES",7219.6,NA,4.81,"NAMES"
5,1,10,"ALPHABET","ACRONYM",5215.8,NA,3.19,"ACRONYM"
5,1,11,"ALPHABET","COMPANY",9366.9,NA,5.23,"COMPANY"
5,1,12,"ALPHABET","CAPITALS",13168.7,NA,3.31,"CAPITALS"
