participant_id,trial_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20
1,0,battle,war,fight,army,soldiers,countys,weapons,hurt,fighting,combat,casulties,hurtd,wounds,scars,wrong,bombs,destruction,cry,weap,avenge,reasons
1,1,fold,crease,paper,newspaer,book,envelope,wrap,bed,blanket,clothes,sheet,pillowcase,rug,pastry,small,action,card,crafts,duvet,jeans,tip
1,2,heroin,drug,bad,illness,habit,white,needle,drgs,poorly,high,effects,wean,pills,powder,syringe,hosptal,addiction,spots,unkempts,scruffy,bad
1,3,kidney,beans,red,black,chilli,cancer,blood,infection,water,drink,filter,machines,hurt,pain,infection,body,system,dialysis,transplant,illness,donate
1,4,magnify,glass,larger,bigger,read,see,enlarge,huge,clear,see,help,glasses,contacts,books,small,huge,specimen,biology,labs,cells,minute
1,5,monastery,monk,nuns,god,hills,old,building,prayers,service,habits,gong,church,religion,gardens,pray,bible,believe,castles,rooms,men,robes
1,6,radio,music,presenters,car,new,weasther,show,bbc,songs,artists,car,personal,stereo,heqadpjones,noise,loud,dance,hits,sing,morning,evening
1,7,spank,hit,slap,kinky,belt,hand,punch,blow,abuse,games,leather,whip,naughty,leather,bad,kinks,games,hurt,play,normal,hurt
1,8,stomach,ache,pain,pills,food,digestion,digestive,hungrey,eating,cancer,belly,button,tummy,bloated,fat,rumble,punch,drink,wind,dinner,belt
1,9,textile,mills,materia;,wool,factories,garments,machimes,material,clothes,sewing,workers,cotton,linen,wood,leather,bags,sheep,shoes,fabric,colours,knit
2,0,alphabet,letters,writing,words,reading,speech,communicate,communication,language,cyrillic,roman,greek,symbols,writings,poetry,books,thoughts,educated,learning,write,words
2,1,cannonball,round,circular,hard,weapon,arms,shoot,kill,main,heavy,arsenal,ammo,ammunition,dated,archaic,boom,noise,explode,explosion,detonate,bang
2,2,coupon,voucher,ticket,discount,paper,value,savings,shopping,label,save,print,printer,shop,booking,proof,keep,gift,bonus,savings,extra,bonus
2,3,cuddle,hug,snuggle,warm,love,snog,kiss,fondle,fond,like,care,caring,smooch,snuzzle,warmth,sympathy,sympathise,caring,loving,hold,hugging
2,4,enamel,hard,surface,teeth,white,coating,mouth,dentist,oral,dental,dentyne,lacquer,varnish,protection,protective,cover,outer,outside,molars,tooth,decay
2,5,gem,jewel,ring,stone,valuable,cherish,stones,ruby,diamond,sparkle,polish,lovely,beauty,prize,fashion,agate,colour,precious,love,wear,embellish
2,6,mountain,hill,everestpeak,summit,climb,conquer,reach,trek,hike,clamber,beat,defeat,overcome,adversity,challenge,beauty,nature,scenery,view,top,granite
2,7,pasta,noodles,spaghetti,italian,food,staple,basin,carbohydrates,filling,nourishing,flour,sauce,bolognaise,meat,vegetables,tomatoes,diet,healthy,filling,hearty,feed
