participant_id,trial_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20
1,2,BATTLE,war,fight,army,soldiers,countys,weapons,hurt,fighting,combat,casualty,hurt,wounds,scars,wrong,bombs,destruction,cry,weep,avenge,reasons
1,11,FOLD,crease,paper,newspaper,book,envelope,wrap,bed,blanket,clothes,sheet,pillowcase,rug,pastry,small,action,card,crafts,duvet,jeans,tip
1,16,HEROIN,drug,bad,illness,habit,white,needle,drugs,poorly,high,effects,wean,pills,powder,syringe,hospital,addiction,spots,unkempts,scruffy,bad
1,17,KIDNEY,beans,red,black,chili,cancer,blood,infection,water,drink,filter,machines,hurt,pain,infection,body,system,dialysis,transplant,illness,donate
1,20,MAGNIFY,glass,large,bigger,read,see,enlarge,huge,clear,see,help,glasses,contacts,books,small,huge,specimen,biology,labs,cells,minute
1,21,MONASTERY,monk,nuns,god,hills,old,building,prayers,service,habits,gong,church,religion,gardens,pray,bible,believe,castles,rooms,men,robes
1,29,RADIO,music,presenters,car,new,weather,show,bbc,songs,artists,car,personal,stereo,headphones,noise,loud,dance,hits,sing,morning,evening
1,32,SPANK,hit,slap,kinky,belt,hand,punch,blow,abuse,games,leather,whip,naughty,leather,bad,kinks,games,hurt,play,normal,hurt
1,36,STOMACH,ache,pain,pills,food,digestion,digestive,hungry,eating,cancer,belly,button,tummy,bloated,fat,rumble,punch,drink,wind,dinner,belt
1,37,TEXTILE,mills,material,wool,factory,garments,machine,material,clothes,sewing,workers,cotton,linen,wood,leather,bags,sheep,shoes,fabric,colors,knit
2,1,ALPHABET,letters,writing,words,reading,speech,communicate,communication,language,cyrillic,roman,greek,symbols,writings,poetry,books,thoughts,educated,learning,write,words
2,3,CANNONBALL,round,circular,hard,weapon,arms,shoot,kill,main,heavy,arsenal,ammo,ammunition,date,archaic,boom,noise,explode,explosion,detonate,bang
2,4,COUPON,voucher,ticket,discount,paper,value,savings,shopping,label,save,print,printer,shop,booking,proof,keep,gift,bonus,savings,extra,bonus
2,5,CUDDLE,hug,snuggle,warm,love,snog,kiss,fondle,fond,like,care,caring,smooch,snuzzle,warmth,sympathy,sympathize,caring,loving,hold,hugging
2,8,ENAMEL,hard,surface,teeth,white,coating,mouth,dentist,oral,dental,dentyne,lacquer,varnish,protection,protective,cover,outer,outside,molars,tooth,decay
2,13,GEM,jewel,ring,stone,valuable,cherish,stones,ruby,diamond,sparkle,polish,lovely,beauty,prize,fashion,agate,color,precious,love,wear,embellish
2,23,MOUNTAIN,hill,peak,summit,climb,conquer,reach,trek,hike,clamber,beat,defeat,overcome,adversity,challenge,beauty,nature,scenery,view,top,granite
2,26,PASTA,noodles,spaghetti,italian,food,staple,basin,carbohydrates,filling,nourishing,flour,sauce,bolognaise,meat,vegetables,tomato,diet,healthy,filling,hearty,feed
2,27,PEACOCK,proud,feather,blue,tail,bird,showy,elaborate,beautiful,nature,colorful,fly,cry,screech,call,wings,tail,prestige,boastful,royal,lavish
2,28,PUKE,sick,vomit,nausea,nasty,smelly,dislike,barf,baulk,belch,fart,sickness,vomiting,poison,hate,dislike,unpleasant,vile,rude,cough,choke
3,2,BATTLE,1066,hastings,war,killing,saving,people,guns,ammunition,men,woman,horses,bombs,granades,fight,flight,heros,noise,commotion,death,dying
3,11,FOLD,operation,crease,over,in,sheep,religious,material,,,,,,,,,,,,,
3,16,HEROIN,drug,bad,habit,spoon,fire,criminals,streets,gangs,addicts,help,medicine,coma,bad,nasty,killing,sleep,halucinations,trip,needle,arms
3,17,KIDNEY,body,two,need,organ,shaped,binary,transplant,operation,dialysis,hospital,doctor,nurse,machine,operation,disease,stones,blood,filter,lambs,sheep
3,20,MAGNIFY,lens,bigger,glass,handle,big,increase,seeing,large,eyes,tasks,shine,sun,fire,lights,home,hand,planets,sky,stars,galaxy
3,21,MONASTERY,building,monk,abbey,religious,vestment,cells,beer,wine,chocolate,bible,cross,abbot,men,cloth,healing,herbs,solitary,habit,stole,singing
3,29,RADIO,station,dial,knob,tuner,tune,dj,lights,bulbs,valves,digital,online,bbc,independent,satellite,presenters,music,opera,foreign,help,assistance
3,32,SPANK,hit,smack,hit,bottom,school,teacher,cane,hand,book,leather,belt,harm,hurt,cry,like,bad,naughty,child,hurting,hit
3,36,STOMACH,rumble,food,full,empty,organ,inside,sheep,,,,,,,,,,,,,
3,37,TEXTILE,cloth,pattern,plain,dress,coat,mat,rough,smooth,colors,details,feel,reupholster,covers,sitting,seats,chairs,sofas,loom,manufacture,spin
4,9,FARMYARD,mud,farmer,pig,cow,duck,sheep,chicken,tractor,barn,machinery,footpath,smell,puddles,pond,laborer,eggs,field,sty,stable,coop
4,10,FIG,tree,jam,chutney,fruit,brown,delicious,mascarpone,mediterranean,tasty,seeds,leaves,eden,rolls,pudding,food,treat,biblical,date,christmas,victorian
4,12,FRAGMENT,piece,part,little,broken,brittle,old,antique,crumb,deteriorate,break,apart,glass,china,fabric,precious,hammer,smithereen,,,
4,14,GROUNDHOG,film,same,animal,american,mammal,repetitive,burrow,routine,fur,brown,bill murray,musical,day,unfamiliar,small,rodent,cartoon,meme,,
4,22,MOSQUITO,buzz,sting,malaria,nuisance,insect,flying,wings,nets,larvae,thorax,abdomen,africa,repellant,pest,horrible,tiny,swarming,bites,itching,disease
4,24,NAPKIN,linen,paper,serviette,bib,cover,protection,polite,party,cocktails,canapes,napkin ring,wipe,spill,clean,fancy,patterned,plain,table,setting,decorative
4,30,RHUBARB,tart,triangle,yorkshire,ginger,plant,red,leaves,bitter,yuck,jam,crumble,squeaky,chop,stew,sugar,garden,produce,country show,unpleasant,prolific
4,35,SPREAD,smear,sandwich,butter,knife,soft,melting,share,thin,,,,,,,,,,,,
4,39,TOWER,london,bricks,castle,rapunzel,bridge,ravens,prison,dungeon,battlements,spiral staircase,high,tall,round,fairytale,tourist,glass,block,inferno,rainbow,flag
4,40,XYLOPHONE,instrument,musical,metal,chime,beaters,percussion,music,magical,school,plink,toy,alphabet,,,,,,,,
5,1,ALPHABET,letter,word,story,school,lesson,twenty six,letters,learning,names,acronym,company,capitals,learning,rote,spaghetti,names,index,category,spelling,home
5,3,CANNONBALL,canon,gun,war,warship,round,spherical,battle,speed,run,battlements,ceremonial,death,injury,damage,blood,fear,history,past,weaponry,heavy
5,4,COUPON,reward,paper,online,benefit,replacement,repayment,,,,,,,,,,,,,,
5,5,CUDDLE,nice,comforting,warm,loving,friendly,family,children,grandchild,happy,partner,wife,husband,fiance,friends,meeting,greeting,good,cheering,together,joint
5,8,ENAMEL,teeth,bath,paintwork,decoration,hard,resistant,scratch proof,white,bathroom,tiles,black,,,,,,,,,
5,13,GEM,jewel,diamond,ruby,emerald,sapphire,valuable,ring,necklace,tiara,wealth,valued,garnet,opal,lapis,craftsmanship,money,mining,child labor,work,craftsmanship
5,23,MOUNTAIN,peak,valley,climbing,walking,scenery,danger,snow,ice,glaciers,camping,trek,gorge,cliff,precipice,rescue,hi,cold,windy,base jumping,paragliding
5,26,PASTA,food,spaghetti,dinner,bolognese,sauce,penne,macaroni,wheat,cooking,kitchen,dinner,canned,italy,restaurant,olives,,,,,
5,27,PEACOCK,bird,feathers,beauty,color,pride,display,mail,female,,,,,,,,,,,,
5,28,PUKE,sick,ill,unpleasant,disgusting,alcohol,drunk,illness,fever,seasick,motion,pale,horrid,sweaty,unconscious,horizontal,toilet,bad,dislike,awful,
6,1,ALPHABET,letters,words,spaghetti,sentences,rhyme,children,learning,reading,writing,languages,twenty six,phonetics,understanding,lists,english,maths equations,algebra,kiss,initials,capitals
6,3,CANNONBALL,war,fighting,hard,metal,destroy,bomb,firing,army,cannon,shooting,kill,enemy,display,security,defense,harm,injury,soldiers,alight,harm
6,4,COUPON,voucher,discount,money,present,gift,store,online,clothing,food,money,electronic,paper,loyalty,award,customer,reduction,voucher,reward,high street,shopping
6,5,CUDDLE,hug,gentle,warm,emotional,upset,happy,big,squeeze,better,ill,care,love,want,kiss,need,crying,alone,people,animals,baby
6,8,ENAMEL,paint,gloss,emulsion,nail,varnish,protection,colors,chipped,scrape,car,hard,setting,smooth,brush,smell,toxic,hardwear,,,
6,13,GEM,jewel,rich,colorful,stone,necklace,ring,birthstone,personal,spiritual,chakra,meditation,present,gift,meaningful,diamond,ruby,quartz,jade,pearl,ruby
6,23,MOUNTAIN,hill,country,everest,cold,massive,small,pointed,flat,climbing,hike,challenge,peak,snow,countryside,famous,boots,clothing,air,temperature,protection
6,26,PASTA,food,italy,restaurant,meal,dish,sauce,tomato,meat,spaghetti,,,,,,,,,,,
6,27,PEACOCK,bird,feathers,eyes,blue,colors,pehen,posh,fly,legs,farm,zoo,wings,tail,male,mating,uncommon,colors,heavy,mating,countryside
6,28,PUKE,vomit,sick,food,illness,drunk,messy,pregnancy,bile,carrots,unwell,toilet,wretch,stomach,poorly,sick,alcohol,overeat,bulimia,intolerance,upset stomach
7,6,DIAGRAM,venn,multiple,simple,simplify,illustrate,data,analysis,trend,explain,color,info,information,knowledge,trend,visualize,explain,summary,info,standard,populate
7,7,DOORMAT,tramp,trample,outdoor,indoor,dirty,rub,foot,foot,stand,welcome,goodbye,rubber,carpet,velvet,lilac,essentials,grip,backing,colors,black
7,15,GUST,wind,strong,blow,blown,away,natural,cold,weather,forecast,mph,kph,units,strength,invisible,chill,windy,air,presenter,pull,accident
7,18,KITCHEN,house,room,food,worktop,quartz,units,stove,microwave,cooker,toaster,kettle,tea,coffee,storage,dishwasher,fridge,freezer,bar,stool,chairs
7,19,LEASE,money,rent,finance,car,house,loan,monthly,payment,direct,debit,goods,cheap,expensive,rental,borrow,deposit,payment,down,costs,expense
7,25,OAK,wood,tree,brown,furniture,pleasant,premium,expensive,good,pattern,items,carpentry,chop,furniture,chair,table,coffee table,color,cabinet,durable,hard
7,31,SLAUGHTER,knife,blade,machete,slice,slit,chop,stab,man,meat,beef,lamb,chicken,fish,steak,pain,painless,industrial,halal,prayer,millions
7,33,SPOKESPERSON,male,female,microphone,talking,radio,sports,entertainment,tv,audio,loud,clear,words,speech,rep,voice,loud,clear,articulate,well,present
7,34,SPRAIN,injury,pain,pull,muscle,back,body,bedridden,injured,recovery,physiotherapy,doctor,painkiller,assess,healing,massage,stretch,male,female,not nice,accident
7,38,TORTOISE,green,hard,shell,small,large,big,outdoors,slow,lazy,friendly,pet,brown,outdoors,feed,wildlife,park,greenery,grass,hare,sleep
8,6,DIAGRAM,picture,drawing,lessons,school,work,revision,image,chart,grid,table,information,people,sketch,,,,,,,
8,7,DOORMAT,wet,rain,dry,door,entrance,house,building,wipe,shoes,boots,footwear,dirty,,,,,,,,
8,15,GUST,wind,weather,lots,strong,winter,storm,stormy,cold,windy,,,,,,,,,,,
8,18,KITCHEN,table,chairs,island,stools,bar,oven,stove,stove,house,dining table,food,drinks,cups,plates,bowls,knife,forks,spoons,dinner,breakfast
8,19,LEASE,car,house,building,rent,pay,money,cheap,work,vehicle,flat,apartment,,,,,,,,,
8,25,OAK,tree,furniture,table,chair,cupboards,leaf,forest,house,trees,trunk,leaves,kitchen,worktop,doors,brown,wood,outside,outside,houses,tables
8,31,SLAUGHTER,manslaughter,murder,animals,pigs,food,cows,death,kill,murder,hurt,pain,dead,,,,,,,,
8,33,SPOKESPERSON,talk,speaking,audience,present,presentation,nervous,confident,notes,listeners,listening,team,working,,,,,,,,
8,34,SPRAIN,hurt,leg,arm,injure,ankle,hurts,walking,sport,accident,painful,football,exercise,gym,hospital,doctor,resting,ice,fallen,gentle,careful
8,38,TORTOISE,green,slow,shell,legs,old,zoo,pets,turtle,animal,creature,fragile,brown,gentle,outside,animals,,,,,
9,9,FARMYARD,animals,cow,farmer,dung,tractor,chicken,scrapmetal,pigs,wellingtons,much,mud,combineharvester,trailer,sacks,cobbles,dogs,cats,rats,barbor,water trough
9,10,FIG,leaf,statue,biscuit,grandmother,roll,tree,fruit,pips,jam,preserve,jus,brown,small,ripe,give,pudding,song,carol,christmas,ripe
9,12,FRAGMENT,bit,small,broken,part,shard,scrap,ancient,dig,museum,conserve,tapestry,material,roman,glass,pottery,jewelry,shoe,remains,delicate,mind
9,14,GROUNDHOG,animal,mammal,burrow,day,film,comedy,repeat,furry,brown,weather,forecast,america,usa,dan,punxatawny,nocturnal,hibernation,tail,nose,whiskers
9,22,MOSQUITO,annoying,buzz,itch,bite,holiday,net,cream,malaria,illness,water,stagnant,insect,skin,pool,africa,india,malaria,nose,blood,nighttime
9,24,NAPKIN,serviette,paper,ring,table,bib,protection,food,drop,wipe,plain,color,christmas,wedding,buffet,restaurant,dinner,hands,face,adult,spill
9,30,RHUBARB,rubbish,blather,plant,garden,forced,planter,cover,spring,crumble,pie,custard,pink,stalks,sharp,organic,homegrown,rubbish,repetitive,gin,tonic
9,35,SPREAD,butter,margarine,cheese,food,buffet,spreadsheet,money,sums,enlarge,soft,porkpie,wake,ooze,contagion,rumor,gossip,knife,,,
9,39,TOWER,london,beefeaters,jewels,brick,solid,fortress,tall,impregnable,hill,cemetery,over,building,ancient,modern,thin,storeys,loom,crenellations,guards,ravens
9,40,XYLOPHONE,music,song,tone,hammer,sonorous,child,toy,colors,tunes,rubber,metal,scale,fun,melodic,noisy,loud,gentle,wood,shape,small
10,2,BATTLE,hastings,harold,eye,glasses,vision,marvel,iron man,hero,fireman,fire,water,lake,fish,swimming,floating,dead,body,cold,fridge,milk
10,11,FOLD,poker,straight,bisexual,gay,pride,honest,truthful,lies,deceit,conman,lies,fake,forgery,art,museum,van gogh,ear,sunflowers,field,green
10,16,HEROIN,drug,cannabis,weed,chilled,relaxed,sitting,comfortable,sofa,house,night,dark,midnight,witch,spooky,halloween,autumn,cold,winter,christmas,presents
10,17,KIDNEY,steak,pie,gravy,roast,beef,dripping,christmas,present,happy,warm,fireplace,stocking,suspenders,lingerie,married,family,children,home,comfortable,snug
10,20,MAGNIFY,bigger,smaller,tiny,ant,bug,insect,leaves,plats,trees,monkeys,rainforest,canopy,treetops,jungle,tiger,jungle book,mowgli,bagheera,panther,baloo
10,21,MONASTERY,monks,nuns,holy,spiritual,jesus,church,god,pray,solemn,quiet,silence,deaf,nothing,void,space,vacuum,clean,shiny,reflective,glass
10,29,RADIO,music,happy,songs,odj,party,fun,dance,jive,swing,polka,dot,bikini,beach,sun,holiday,sunscreen,pool,cocktails,umbrella,lounger
10,32,SPANK,hurt,sad,cry,upset,cuddle,warm,helping,kind,loving,embrace,family,children,beautiful,flower,rose,blood,death,coffin,ground,cemetery
10,36,STOMACH,food,hungry,eat,tasty,dinner,chicken,fried,chips,mayonnaise,sauce,gravy,roast,potato,vegetables,carrots,broccoli,trees,forest,wildlife,animals
10,37,TEXTILE,fabric,weave,sewing,machine,factory,industrial,factory,smoke,stacks,building,blocks,stop,halt,refrain,nowhere,empty,vase,flower,tulip,amsterdam
11,2,BATTLE,fight,hastings,ground,ww1,ww2,russia,ukraine,knights,army,cavalry,soldier,death,dying,dead,won,lost,casualty,hospital,excaliber,war
11,11,FOLD,paper,origami,money,money clip,folder,sheets,washing,laundry,,,,,,,,,,,,
