Ambig_of_initial_letter,Initial_letter,LEN,Latin_square,Lemma,Number_of_ambig_letters,POS,POS_OUR_CODE,Position_of_first_bivalent_letter,Suffix,cum_accuracy,alphabet,ambiguity,average_response_time,correct,correct_response,count_new_mouse_response,experiment_file,len,Lexicality,logfile,original_ambiguity,phase,rec_latinica,RECH,item_id,response,response_time,subject_nr,title,total_responses,ima_fajla_sa_podacima,kljuc,velikiredkljuc,red_kljuc,rec,phasekljuc,alphabetkljuc,lexicalitykljuc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,Cyrillic,NA,1040.375,1,1,7,ALFA-3_C_b.osexp,5,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,807,1,838,65,ALFA-3_C_b,8,BGdecembar2019_Cb_subject-65.csv,807Cyrillic,79,807,ОЧИЈУ,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.88888889,Cyrillic,NA,1091.777778,1,3,8,ALFA-3_C_b.osexp,10,Pseudoword,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,855,3,1503,65,ALFA-3_C_b,9,BGdecembar2019_Cb_subject-65.csv,855Cyrillic,127,855,ЗАПУМАЧКОГ,block_1_single_alph,Cyrillic,pseudoword
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Cyrillic,NA,1066.9,1,3,9,ALFA-3_C_b.osexp,6,Pseudoword,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,837,3,843,65,ALFA-3_C_b,10,BGdecembar2019_Cb_subject-65.csv,837Cyrillic,109,837,ИШНИЈУ,block_1_single_alph,Cyrillic,pseudoword
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.81818182,Cyrillic,NA,1098.818182,0,3,10,ALFA-3_C_b.osexp,9,Pseudoword,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,841,1,1418,65,ALFA-3_C_b,11,BGdecembar2019_Cb_subject-65.csv,841Cyrillic,113,841,ГЛОТАЈУЋИ,block_1_single_alph,Cyrillic,pseudoword
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.61538462,Cyrillic,NA,1076.384615,1,1,12,ALFA-3_C_b.osexp,9,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,819,1,1129,65,ALFA-3_C_b,13,BGdecembar2019_Cb_subject-65.csv,819Cyrillic,91,819,ЗАШТИТИЛИ,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.71428571,Cyrillic,NA,1055.5,1,1,13,ALFA-3_C_b.osexp,7,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,803,1,784,65,ALFA-3_C_b,14,BGdecembar2019_Cb_subject-65.csv,803Cyrillic,75,803,МАШТАЛИ,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.66666667,Cyrillic,NA,1035.933333,1,3,14,ALFA-3_C_b.osexp,7,Pseudoword,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,833,3,762,65,ALFA-3_C_b,15,BGdecembar2019_Cb_subject-65.csv,833Cyrillic,105,833,ФИШТИЛИ,block_1_single_alph,Cyrillic,pseudoword
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,Cyrillic,NA,1009.0625,1,1,15,ALFA-3_C_b.osexp,6,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,818,1,606,65,ALFA-3_C_b,16,BGdecembar2019_Cb_subject-65.csv,818Cyrillic,90,818,МИШИЋИ,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.23529412,Cyrillic,NA,1003.352941,1,3,16,ALFA-3_C_b.osexp,7,Pseudoword,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,838,3,912,65,ALFA-3_C_b,17,BGdecembar2019_Cb_subject-65.csv,838Cyrillic,110,838,ДИШИЧКУ,block_1_single_alph,Cyrillic,pseudoword
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.88888889,Cyrillic,NA,1023.222222,1,3,17,ALFA-3_C_b.osexp,10,Pseudoword,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,851,3,1361,65,ALFA-3_C_b,18,BGdecembar2019_Cb_subject-65.csv,851Cyrillic,123,851,ЧЕКОЊАВАЊЕ,block_1_single_alph,Cyrillic,pseudoword
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.47368421,Cyrillic,NA,1001.526316,1,1,18,ALFA-3_C_b.osexp,8,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,811,1,611,65,ALFA-3_C_b,19,BGdecembar2019_Cb_subject-65.csv,811Cyrillic,83,811,ИЗГЛЕДАШ,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Cyrillic,NA,999.25,1,1,19,ALFA-3_C_b.osexp,7,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,808,1,956,65,ALFA-3_C_b,20,BGdecembar2019_Cb_subject-65.csv,808Cyrillic,80,808,ФИЗИЧКУ,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.47619048,Cyrillic,NA,994.4285714,1,1,20,ALFA-3_C_b.osexp,10,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,815,1,898,65,ALFA-3_C_b,21,BGdecembar2019_Cb_subject-65.csv,815Cyrillic,87,815,ЗАГАЂУЈЕМО,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.90909091,Cyrillic,NA,983.3181818,1,1,21,ALFA-3_C_b.osexp,8,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,828,1,750,65,ALFA-3_C_b,22,BGdecembar2019_Cb_subject-65.csv,828Cyrillic,100,828,ОДЛУЧИЛА,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.30434783,Cyrillic,NA,966.4347826,1,1,22,ALFA-3_C_b.osexp,6,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,820,1,595,65,ALFA-3_C_b,23,BGdecembar2019_Cb_subject-65.csv,820Cyrillic,92,820,МЛАДЕЖ,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.66666667,Cyrillic,NA,949.1666667,1,1,23,ALFA-3_C_b.osexp,6,Word,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,816,1,552,65,ALFA-3_C_b,24,BGdecembar2019_Cb_subject-65.csv,816Cyrillic,88,816,УЧЕШЋЕ,block_1_single_alph,Cyrillic,word
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,Cyrillic,NA,945.32,1,3,24,ALFA-3_C_b.osexp,9,Pseudoword,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,860,3,853,65,ALFA-3_C_b,25,BGdecembar2019_Cb_subject-65.csv,860Cyrillic,132,860,ДЕОФОШКОГ,block_1_single_alph,Cyrillic,pseudoword
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.30769231,Cyrillic,NA,938.1538462,1,3,25,ALFA-3_C_b.osexp,7,Pseudoword,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,857,3,759,65,ALFA-3_C_b,26,BGdecembar2019_Cb_subject-65.csv,857Cyrillic,129,857,ОДЛИШТУ,block_1_single_alph,Cyrillic,pseudoword
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59259259,Cyrillic,NA,933.2222222,1,3,26,ALFA-3_C_b.osexp,8,Pseudoword,D:/ALFA_3_2019/Cb/subject-65.csv,NA,block_1_single_alph,NA,NA,859,3,805,65,ALFA-3_C_b,27,BGdecembar2019_Cb_subject-65.csv,859Cyrillic,131,859,ГЕЛАЧЕЊЕ,block_1_single_alph,Cyrillic,pseudoword
