correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title
1	1	20	rec	REDOVNOJ	1	977	73	subject-82.csv	PRIDEVI_B
1	3	21	pseudorec	TILBINOJ	3	807	210	subject-82.csv	PRIDEVI_B
1	3	22	pseudorec	LOTIVOM	3	1039	144	subject-82.csv	PRIDEVI_B
1	3	23	pseudorec	VILAVOM	3	1242	165	subject-82.csv	PRIDEVI_B
1	1	24	rec	STRAŠNOG	1	779	86	subject-82.csv	PRIDEVI_B
1	1	25	rec	SUROVOG	1	642	89	subject-82.csv	PRIDEVI_B
1	1	26	rec	RATNOM	1	571	72	subject-82.csv	PRIDEVI_B
1	1	27	rec	POZNATOJ	1	611	64	subject-82.csv	PRIDEVI_B
1	1	28	rec	VRELOJ	1	690	100	subject-82.csv	PRIDEVI_B
1	3	29	pseudorec	RIGONOG	3	991	128	subject-82.csv	PRIDEVI_B
1	1	30	rec	TUŽNOJ	1	678	94	subject-82.csv	PRIDEVI_B
1	3	31	pseudorec	LOZANOG	3	1002	137	subject-82.csv	PRIDEVI_B
1	3	32	pseudorec	PLOSTOM	3	813	164	subject-82.csv	PRIDEVI_B
1	1	33	rec	MALENOG	1	671	35	subject-82.csv	PRIDEVI_B
1	1	34	rec	FILMSKOM	1	640	18	subject-82.csv	PRIDEVI_B
0	3	35	pseudorec	MUŽIVOG	1	670	118	subject-82.csv	PRIDEVI_B
1	3	36	pseudorec	SUDAVOM	3	881	161	subject-82.csv	PRIDEVI_B
1	3	37	pseudorec	ZORAVOG	3	1069	119	subject-82.csv	PRIDEVI_B
1	1	38	rec	UPORNOM	1	894	96	subject-82.csv	PRIDEVI_B
1	3	39	pseudorec	RELENOG	3	706	136	subject-82.csv	PRIDEVI_B
0	3	40	pseudorec	KESANOM	1	666	145	subject-82.csv	PRIDEVI_B
1	1	41	rec	NEČUJNOJ	1	1220	46	subject-82.csv	PRIDEVI_B
1	1	42	rec	KRATKOJ	1	697	28	subject-82.csv	PRIDEVI_B
1	1	43	rec	GORKOG	1	678	20	subject-82.csv	PRIDEVI_B
1	1	44	rec	BESKRAJNOG	1	763	2	subject-82.csv	PRIDEVI_B
1	1	45	rec	ČVRSTOG	1	644	11	subject-82.csv	PRIDEVI_B
1	1	46	rec	TANKOG	1	896	92	subject-82.csv	PRIDEVI_B
1	3	47	pseudorec	LANKOJ	3	836	200	subject-82.csv	PRIDEVI_B
1	3	48	pseudorec	LURIVOG	3	864	116	subject-82.csv	PRIDEVI_B
1	3	49	pseudorec	KLUSTOG	3	940	139	subject-82.csv	PRIDEVI_B
1	1	50	rec	JAKOM	1	748	24	subject-82.csv	PRIDEVI_B
1	1	51	rec	SLAVNOJ	1	680	79	subject-82.csv	PRIDEVI_B
1	3	52	pseudorec	FELENOM	3	888	172	subject-82.csv	PRIDEVI_B
1	1	53	rec	ZLATNOM	1	740	105	subject-82.csv	PRIDEVI_B
1	1	54	rec	BURNOM	1	635	6	subject-82.csv	PRIDEVI_B
1	3	55	pseudorec	DUMAVOG	3	666	109	subject-82.csv	PRIDEVI_B
1	3	56	pseudorec	STROSOM	3	839	176	subject-82.csv	PRIDEVI_B
1	1	57	rec	BLISKOM	1	732	3	subject-82.csv	PRIDEVI_B
1	1	58	rec	MEKOJ	1	587	37	subject-82.csv	PRIDEVI_B
1	3	59	pseudorec	VETANOG	3	783	124	subject-82.csv	PRIDEVI_B
1	1	60	rec	LIČNOM	1	846	33	subject-82.csv	PRIDEVI_B
1	3	61	pseudorec	RIJENOG	3	703	120	subject-82.csv	PRIDEVI_B
1	1	62	rec	MOĆNOM	1	753	39	subject-82.csv	PRIDEVI_B
1	1	63	rec	STRUČNOM	1	788	87	subject-82.csv	PRIDEVI_B
1	1	64	rec	POSEBNOG	1	648	62	subject-82.csv	PRIDEVI_B
1	3	65	pseudorec	SIRANOG	3	951	129	subject-82.csv	PRIDEVI_B
1	3	66	pseudorec	NUSIVOG	3	820	138	subject-82.csv	PRIDEVI_B
1	3	67	pseudorec	HUPENOJ	3	840	179	subject-82.csv	PRIDEVI_B
1	3	68	pseudorec	ŠODNOM	3	923	160	subject-82.csv	PRIDEVI_B
1	1	69	rec	SLIČNOG	1	990	80	subject-82.csv	PRIDEVI_B
1	3	70	pseudorec	PEFENOM	3	697	170	subject-82.csv	PRIDEVI_B
1	1	71	rec	SJAJNOM	1	823	78	subject-82.csv	PRIDEVI_B
