"list","participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"PRIDEVI_B","subject-82.csv",73,"REDOVNOJ",20,"rec","1",1,977
"PRIDEVI_B","subject-82.csv",210,"TILBINOJ",21,"pseudorec","3",1,807
"PRIDEVI_B","subject-82.csv",144,"LOTIVOM",22,"pseudorec","3",1,1039
"PRIDEVI_B","subject-82.csv",165,"VILAVOM",23,"pseudorec","3",1,1242
"PRIDEVI_B","subject-82.csv",86,"STRAŠNOG",24,"rec","1",1,779
"PRIDEVI_B","subject-82.csv",89,"SUROVOG",25,"rec","1",1,642
"PRIDEVI_B","subject-82.csv",72,"RATNOM",26,"rec","1",1,571
"PRIDEVI_B","subject-82.csv",64,"POZNATOJ",27,"rec","1",1,611
"PRIDEVI_B","subject-82.csv",100,"VRELOJ",28,"rec","1",1,690
"PRIDEVI_B","subject-82.csv",128,"RIGONOG",29,"pseudorec","3",1,991
"PRIDEVI_B","subject-82.csv",94,"TUŽNOJ",30,"rec","1",1,678
"PRIDEVI_B","subject-82.csv",137,"LOZANOG",31,"pseudorec","3",1,1002
"PRIDEVI_B","subject-82.csv",164,"PLOSTOM",32,"pseudorec","3",1,813
"PRIDEVI_B","subject-82.csv",35,"MALENOG",33,"rec","1",1,671
"PRIDEVI_B","subject-82.csv",18,"FILMSKOM",34,"rec","1",1,640
"PRIDEVI_B","subject-82.csv",118,"MUŽIVOG",35,"pseudorec","1",0,670
"PRIDEVI_B","subject-82.csv",161,"SUDAVOM",36,"pseudorec","3",1,881
"PRIDEVI_B","subject-82.csv",119,"ZORAVOG",37,"pseudorec","3",1,1069
"PRIDEVI_B","subject-82.csv",96,"UPORNOM",38,"rec","1",1,894
"PRIDEVI_B","subject-82.csv",136,"RELENOG",39,"pseudorec","3",1,706
"PRIDEVI_B","subject-82.csv",145,"KESANOM",40,"pseudorec","1",0,666
"PRIDEVI_B","subject-82.csv",46,"NEČUJNOJ",41,"rec","1",1,1220
"PRIDEVI_B","subject-82.csv",28,"KRATKOJ",42,"rec","1",1,697
"PRIDEVI_B","subject-82.csv",20,"GORKOG",43,"rec","1",1,678
"PRIDEVI_B","subject-82.csv",2,"BESKRAJNOG",44,"rec","1",1,763
"PRIDEVI_B","subject-82.csv",11,"ČVRSTOG",45,"rec","1",1,644
"PRIDEVI_B","subject-82.csv",92,"TANKOG",46,"rec","1",1,896
"PRIDEVI_B","subject-82.csv",200,"LANKOJ",47,"pseudorec","3",1,836
"PRIDEVI_B","subject-82.csv",116,"LURIVOG",48,"pseudorec","3",1,864
"PRIDEVI_B","subject-82.csv",139,"KLUSTOG",49,"pseudorec","3",1,940
"PRIDEVI_B","subject-82.csv",24,"JAKOM",50,"rec","1",1,748
"PRIDEVI_B","subject-82.csv",79,"SLAVNOJ",51,"rec","1",1,680
"PRIDEVI_B","subject-82.csv",172,"FELENOM",52,"pseudorec","3",1,888
"PRIDEVI_B","subject-82.csv",105,"ZLATNOM",53,"rec","1",1,740
"PRIDEVI_B","subject-82.csv",6,"BURNOM",54,"rec","1",1,635
"PRIDEVI_B","subject-82.csv",109,"DUMAVOG",55,"pseudorec","3",1,666
"PRIDEVI_B","subject-82.csv",176,"STROSOM",56,"pseudorec","3",1,839
"PRIDEVI_B","subject-82.csv",3,"BLISKOM",57,"rec","1",1,732
"PRIDEVI_B","subject-82.csv",37,"MEKOJ",58,"rec","1",1,587
"PRIDEVI_B","subject-82.csv",124,"VETANOG",59,"pseudorec","3",1,783
"PRIDEVI_B","subject-82.csv",33,"LIČNOM",60,"rec","1",1,846
"PRIDEVI_B","subject-82.csv",120,"RIJENOG",61,"pseudorec","3",1,703
"PRIDEVI_B","subject-82.csv",39,"MOĆNOM",62,"rec","1",1,753
"PRIDEVI_B","subject-82.csv",87,"STRUČNOM",63,"rec","1",1,788
"PRIDEVI_B","subject-82.csv",62,"POSEBNOG",64,"rec","1",1,648
"PRIDEVI_B","subject-82.csv",129,"SIRANOG",65,"pseudorec","3",1,951
"PRIDEVI_B","subject-82.csv",138,"NUSIVOG",66,"pseudorec","3",1,820
"PRIDEVI_B","subject-82.csv",179,"HUPENOJ",67,"pseudorec","3",1,840
"PRIDEVI_B","subject-82.csv",160,"ŠODNOM",68,"pseudorec","3",1,923
"PRIDEVI_B","subject-82.csv",80,"SLIČNOG",69,"rec","1",1,990
"PRIDEVI_B","subject-82.csv",170,"PEFENOM",70,"pseudorec","3",1,697
"PRIDEVI_B","subject-82.csv",78,"SJAJNOM",71,"rec","1",1,823
"PRIDEVI_B","subject-82.csv",26,"KONAČNOG",72,"rec","1",1,654
"PRIDEVI_B","subject-82.csv",113,"RILEMOG",73,"pseudorec","3",1,884
"PRIDEVI_B","subject-82.csv",91,"TAČNOJ",74,"rec","1",1,527
"PRIDEVI_B","subject-82.csv",103,"ZIMSKOJ",75,"rec","1",1,592
"PRIDEVI_B","subject-82.csv",149,"RISOKOM",76,"pseudorec","3",1,833
"PRIDEVI_B","subject-82.csv",189,"VELITOJ",77,"pseudorec","3",1,663
"PRIDEVI_B","subject-82.csv",93,"TEHNIČKOM",78,"rec","1",1,840
"PRIDEVI_B","subject-82.csv",122,"ROTANOG",79,"pseudorec","3",1,760
"PRIDEVI_B","subject-82.csv",187,"FUKAVOJ",80,"pseudorec","3",1,808
"PRIDEVI_B","subject-82.csv",114,"LARUTOG",81,"pseudorec","3",1,765
"PRIDEVI_B","subject-82.csv",194,"NETERNOJ",82,"pseudorec","3",1,737
"PRIDEVI_B","subject-82.csv",29,"KUĆNOG",83,"rec","1",1,672
"PRIDEVI_B","subject-82.csv",195,"NIROVOJ",84,"pseudorec","3",1,675
"PRIDEVI_B","subject-82.csv",168,"DEMITOM",85,"pseudorec","3",1,1055
"PRIDEVI_B","subject-82.csv",190,"UHTIVOJ",86,"pseudorec","3",1,855
"PRIDEVI_B","subject-82.csv",30,"KULTURNOM",87,"rec","1",1,689
"PRIDEVI_B","subject-82.csv",191,"NISJOJ",88,"pseudorec","3",1,831
"PRIDEVI_B","subject-82.csv",74,"RODNOG",89,"rec","1",1,780
"PRIDEVI_B","subject-82.csv",150,"SULNOM",90,"pseudorec","3",1,671
"PRIDEVI_B","subject-82.csv",127,"KUJANOG",91,"pseudorec","3",1,753
"PRIDEVI_B","subject-82.csv",197,"LAPANOJ",92,"pseudorec","3",1,688
"PRIDEVI_B","subject-82.csv",171,"NJERNOM",93,"pseudorec","3",1,777
"PRIDEVI_B","subject-82.csv",110,"DORANOG",94,"pseudorec","3",1,759
"PRIDEVI_B","subject-82.csv",83,"SPORTSKOG",95,"rec","1",1,1065
"PRIDEVI_B","subject-82.csv",45,"NEBESKOM",96,"rec","1",1,835
"PRIDEVI_B","subject-82.csv",54,"NOĆNOM",97,"rec","1",1,746
"PRIDEVI_B","subject-82.csv",12,"DAVNOM",98,"rec","1",1,835
"PRIDEVI_B","subject-82.csv",65,"PRAVILNOG",99,"rec","1",1,611
"PRIDEVI_B","subject-82.csv",152,"TULAVOM",100,"pseudorec","3",1,631
"PRIDEVI_B","subject-82.csv",204,"GANKOJ",101,"pseudorec","3",1,780
"PRIDEVI_B","subject-82.csv",159,"KILENOM",102,"pseudorec","3",1,682
"PRIDEVI_B","subject-82.csv",196,"OTKENOJ",103,"pseudorec","3",1,814
"PRIDEVI_B","subject-82.csv",82,"SMRTNOJ",104,"rec","1",1,776
"PRIDEVI_B","subject-82.csv",199,"URTIVOJ",105,"pseudorec","3",1,613
