participant_id,age,Gender (F/M),education,handedness,response,rt,Acceptability judgment (Correct/Neither/Wrong).1,Reaction time in ms.1,Acceptability judgment (Correct/Neither/Wrong).2,Reaction time in ms.2,Acceptability judgment (Correct/Neither/Wrong).3,Reaction time in ms.3,Acceptability judgment (Correct/Neither/Wrong).4,Reaction time in ms.4,Acceptability judgment (Correct/Neither/Wrong).5,Reaction time in ms.5,Acceptability judgment (Correct/Neither/Wrong).6,Reaction time in ms.6,Acceptability judgment (Correct/Neither/Wrong).7,Reaction time in ms.7,Acceptability judgment (Correct/Neither/Wrong).8,Reaction time in ms.8,Acceptability judgment (Correct/Neither/Wrong).9,Reaction time in ms.9,Acceptability judgment (Correct/Neither/Wrong).10,Reaction time in ms.10,Acceptability judgment (Correct/Neither/Wrong).11,Reaction time in ms.11,Acceptability judgment (Correct/Neither/Wrong).12,Reaction time in ms.12,Acceptability judgment (Correct/Neither/Wrong).13,Reaction time in ms.13,Acceptability judgment (Correct/Neither/Wrong).14,Reaction time in ms.14,Acceptability judgment (Correct/Neither/Wrong).15,Reaction time in ms.15,Acceptability judgment (Correct/Neither/Wrong).16,Reaction time in ms.16,Acceptability judgment (Correct/Neither/Wrong).17,Reaction time in ms.17,Acceptability judgment (Correct/Neither/Wrong).18,Reaction time in ms.18,Acceptability judgment (Correct/Neither/Wrong).19,Reaction time in ms.19,Acceptability judgment (Correct/Neither/Wrong).20,Reaction time in ms.20,Acceptability judgment (Correct/Neither/Wrong).21,Reaction time in ms.21,Acceptability judgment (Correct/Neither/Wrong).22,Reaction time in ms.22,Acceptability judgment (Correct/Neither/Wrong).23,Reaction time in ms.23,Acceptability judgment (Correct/Neither/Wrong).24,Reaction time in ms.24,Acceptability judgment (Correct/Neither/Wrong).25,Reaction time in ms.25,Acceptability judgment (Correct/Neither/Wrong).26,Reaction time in ms.26,Acceptability judgment (Correct/Neither/Wrong).27,Reaction time in ms.27,Acceptability judgment (Correct/Neither/Wrong).28,Reaction time in ms.28,Acceptability judgment (Correct/Neither/Wrong).29,Reaction time in ms.29
23e5008017abd8535586dd856e9344a7,48,F,Tertiary,R,Correct,2507,Correct,1888,Correct,3235,Correct,2731,Correct,2686,Correct,2626,Correct,2581,Correct,10276,Correct,3459,Correct,2073,Correct,1971,Correct,2368,Correct,6727,Correct,4592,Correct,4658,Wrong,2587,Correct,16322,Wrong,6246,Wrong,63067,Wrong,3737,Wrong,3160,Wrong,3801,Wrong,2193,Wrong,3153,Wrong,5947,Wrong,2762,Wrong,5247,Wrong,2410,Wrong,4511,Wrong,2226
b8213b12349fcd2ba470b1d14b6d8c67,31,M,Tertiary,R,Correct,3259,Correct,2104,Neither,7985,Correct,2637,Neither,5163,Correct,4272,Neither,3312,Correct,1639,Neither,4030,Wrong,6705,Correct,2556,Correct,2843,Correct,3309,Correct,2919,Wrong,5829,Wrong,3986,Wrong,9417,Wrong,8874,Wrong,4123,Wrong,3199,Wrong,6299,Wrong,2837,Wrong,3905,Wrong,3400,Wrong,7950,Wrong,4436,Wrong,3741,Wrong,1820,Wrong,3308,Wrong,6297
f25d6883a369c1da2edb48d80c61a7d4,30,M,Tertiary,R,Wrong,4654,Wrong,2434,Wrong,2042,Wrong,2607,Wrong,9089,Correct,2937,Wrong,3393,Wrong,4718,Wrong,425,Wrong,10261,Correct,2648,Correct,3880,Correct,3453,Correct,5217,Neither,5098,Wrong,4240,Neither,7354,Wrong,2909,Wrong,2800,Wrong,2302,Correct,6115,Wrong,4190,Wrong,4182,Wrong,3437,Wrong,3510,Wrong,2190,Wrong,3351,Wrong,2974,Wrong,1839,Wrong,2738
88f1984e454df103c8fb72784f87d4aa,25,F,Tertiary,R,Correct,2244,Correct,3283,Correct,3198,Correct,7237,Correct,2755,Correct,2690,Correct,2617,Correct,3144,Correct,3811,Correct,4544,Correct,2658,Correct,2851,Correct,6915,Correct,2330,Correct,2513,Wrong,3294,Wrong,5558,Wrong,3271,Wrong,7990,Correct,5870,Wrong,4312,Wrong,3060,Wrong,4129,Wrong,5497,Wrong,20713,Wrong,3529,Wrong,13056,Wrong,4994,Wrong,7381,Wrong,4084
2e585872e08159852fdcf21a489870d5,27,F,Tertiary,R,Wrong,3907,Wrong,3595,Wrong,5187,Wrong,6291,Wrong,3399,Wrong,2041,Wrong,2515,Wrong,2213,Correct,4358,Wrong,766,Correct,6801,Correct,4995,Wrong,4262,Correct,4406,Correct,4660,Wrong,7844,Correct,8324,Wrong,5770,Wrong,9779,Wrong,10458,Correct,7413,Wrong,15324,Correct,4604,Wrong,5810,Wrong,6774,Wrong,11798,Wrong,6534,Wrong,6123,Wrong,6873,Wrong,3573
f18d39b93ce8bb3aba80fe3288087aca,33,M,Tertiary,R,Wrong,3160,Wrong,2736,Wrong,3586,Wrong,2891,Wrong,1607,Wrong,1710,Wrong,1910,Wrong,2063,Wrong,5182,Wrong,2759,Correct,1934,Correct,3567,Correct,1810,Correct,2318,Correct,3974,Wrong,2571,Wrong,3488,Wrong,7352,Correct,2107,Correct,3126,Wrong,2248,Wrong,2149,Wrong,4304,Wrong,3170,Wrong,3805,Wrong,3347,Correct,4498,Wrong,3924,Wrong,6201,Wrong,4053
d46d5b7e6b0bc074e73ba187fee50891,29,M,Tertiary,R,Correct,1819,Correct,2241,Correct,2267,Correct,2767,Correct,1629,Correct,3095,Correct,2557,Wrong,2388,Correct,2853,Correct,3196,Correct,1738,Correct,3510,Correct,1945,Correct,2598,Correct,2407,Wrong,2842,Wrong,3395,Wrong,2510,Wrong,3706,Wrong,1631,Wrong,5788,Correct,4869,Correct,3101,Wrong,3506,Wrong,3543,Wrong,2153,Wrong,4935,Wrong,3596,Wrong,2304,Wrong,6163
b795b08d19814da39daafd4a186d52c1,32,M,Tertiary,R,Correct,4273,Correct,15960,Correct,19740,Correct,8196,Correct,20532,Wrong,6534,Wrong,5400,Wrong,32153,Wrong,3860,Correct,19395,Correct,6887,Correct,15378,Correct,4909,Correct,14188,Neither,11114,Wrong,3559,Wrong,14496,Wrong,13458,Correct,7025,Wrong,3382,Wrong,2825,Wrong,4913,Wrong,9838,Correct,28746,Wrong,9792,Wrong,8224,Wrong,12255,Neither,13502,Wrong,5024,Wrong,22711
ddc3e7c4ae7c8e43e0bae7f21b9e038e,27,M,Tertiary,R,Wrong,2289,Wrong,2574,Wrong,2037,Wrong,2757,Wrong,4781,Wrong,4569,Wrong,2363,Wrong,2575,Wrong,1567,Wrong,8118,Correct,4570,Correct,4549,Correct,4024,Correct,5441,Correct,5185,Wrong,3666,Wrong,3613,Wrong,4053,Wrong,4270,Wrong,4918,Wrong,2789,Wrong,2570,Wrong,4817,Wrong,2783,Wrong,5974,Wrong,3909,Wrong,6893,Wrong,2864,Wrong,6350,Wrong,4017
8ea386ed94969bb6453f2c60265446df,53,F,Tertiary,R,Correct,1605,Correct,2341,Correct,2584,Neither,4714,Correct,2270,Correct,2393,Correct,1802,Correct,3448,Wrong,4495,Correct,3313,Correct,2056,Correct,1973,Correct,2004,Correct,4469,Correct,2438,Correct,3095,Correct,2263,Wrong,4232,Wrong,6747,Correct,3566,Wrong,3426,Wrong,4607,Correct,5046,Wrong,5964,Wrong,5355,Wrong,7758,Wrong,7538,Neither,5278,Neither,4804,Wrong,3728
