participant_id,age,gender,education,handedness,country_of_residence,years_spent_in_countries_of_residence,stimulus,response,rt
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"1. Περισσότεροι άνθρωποι έχουν πάει στο Λονδίνο απ’ ό,τι εγώ. More people have been to London than I have.",Correct,3302
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"2. Περισσότεροι άνθρωποι έχουν πάει στο Μιλάνο απ’ ό,τι εσύ. More people have been to Milan than you have.",Correct,5126
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"3. Περισσότερα αγόρια έχουν πάει στο Παρίσι απ’ ό,τι αυτός. More boys have been to Paris than he has.",Neither,5715
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"4. Περισσότερα κορίτσια έχουν πάει στη Στοκχόλμη απ’ ό,τι αυτός. More girls have been to Stockholm than he has.",Neither,3847
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"5. Λιγότεροι άνθρωποι έχουν πάει στο Βερολίνο απ’ ό,τι εγώ. Fewer people have been to Berlin than I have.",Correct,4486
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"6. Περισσότερα παιδιά έχουν τελειώσει το λύκειο απ’ ό,τι εγώ. More kids have finished high school than I have.",Correct,1743
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"7. Περισσότερα παιδιά έχουν τελειώσει το σχολείο απ’ ό,τι εσύ. More kids have finished school than you have.",Correct,3633
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"8. Περισσότεροι άντρες έχουν τελειώσει το σχολείο απ’ ό,τι αυτός. More men have finished school than he has.",Neither,2046
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"9. Περισσότεροι άντρες έχουν τελειώσει το λύκειο απ’ ό,τι αυτή. More men have finished high school than she has.",Correct,2994
bbfd142cd94275252503ca4fdb721607,35,Male,Tertiary,L,Sweden,9,"10. Λιγότεροι άνθρωποι έχουν τελειώσει το λύκειο απ’ ό,τι εγώ. Fewer people have finished high school than I have.",Correct,2271
