"Trial.order","Subject","Subject.number","Trial.name","correct","response","RT","leksikalnost","FWD_BCW","LF_HF","CONC_ABS","izvorna_rec","trial.number","rec","task"
1,"s1.dat",1,"t167",1,"3",892,"pseudorec","backw","LF","conc",NA,167,"KOMFON","ALD"
1,"s1.dat",1,"t167",1,"3",892,"pseudorec","backw","LF","conc",NA,167,"KARBOZ","VLD"
2,"s1.dat",1,"t96",1,"1",711,"rec","forw","LF","abst","nerad",96,"NERAD","ALD"
2,"s1.dat",1,"t96",1,"1",711,"rec","forw","LF","abst","elita",96,"ELITA","VLD"
3,"s1.dat",1,"t134",0,"None",NA,"pseudorec","backw","HF","abst",NA,134,"DIZEB","ALD"
3,"s1.dat",1,"t134",0,"None",NA,"pseudorec","backw","HF","abst",NA,134,"LOTOG","VLD"
5,"s1.dat",1,"t133",1,"3",1272,"pseudorec","backw","HF","abst",NA,133,"ŠTAPIZ","ALD"
5,"s1.dat",1,"t133",1,"3",1272,"pseudorec","backw","HF","abst",NA,133,"LIRIZ","VLD"
6,"s1.dat",1,"t190",1,"3",1272,"pseudorec","forw","HF","abst",NA,190,"ŠVERG","ALD"
6,"s1.dat",1,"t190",1,"3",1272,"pseudorec","forw","HF","abst",NA,190,"METAT","VLD"
7,"s1.dat",1,"t43",0,"3",NA,"rec","backw","LF","abst","požuda",43,"ADUŽOP","ALD"
7,"s1.dat",1,"t43",0,"3",NA,"rec","backw","LF","abst","namena",43,"ANEMAN","VLD"
8,"s1.dat",1,"t79",1,"1",601,"rec","forw","HF","conc","marama",79,"MARAMA","ALD"
8,"s1.dat",1,"t79",1,"1",601,"rec","forw","HF","conc","kolica",79,"KOLICA","VLD"
9,"s1.dat",1,"t226",1,"3",1453,"pseudorec","forw","LF","conc",NA,226,"BALZAL","ALD"
9,"s1.dat",1,"t226",1,"3",1453,"pseudorec","forw","LF","conc",NA,226,"RITUAC","VLD"
10,"s1.dat",1,"t6",0,"None",NA,"rec","backw","HF","abst","svrha",6,"AHRVS","ALD"
10,"s1.dat",1,"t6",0,"None",NA,"rec","backw","HF","abst","obnova",6,"AVONBO","VLD"
12,"s1.dat",1,"t4",0,"None",NA,"rec","backw","HF","abst","namera",4,"AREMAN","ALD"
12,"s1.dat",1,"t4",0,"None",NA,"rec","backw","HF","abst","osveta",4,"ATEVSO","VLD"
14,"s1.dat",1,"t77",1,"1",641,"rec","forw","HF","conc","točak",77,"TOČAK","ALD"
14,"s1.dat",1,"t77",1,"1",641,"rec","forw","HF","conc","kesten",77,"KESTEN","VLD"
15,"s1.dat",1,"t121",0,"None",NA,"pseudorec","backw","HF","abst",NA,121,"TROVAB","ALD"
15,"s1.dat",1,"t121",0,"None",NA,"pseudorec","backw","HF","abst",NA,121,"KORDOB","VLD"
17,"s1.dat",1,"t218",0,"None",NA,"pseudorec","forw","LF","abst",NA,218,"ROVAG","ALD"
17,"s1.dat",1,"t218",0,"None",NA,"pseudorec","forw","LF","abst",NA,218,"EPITEZ","VLD"
19,"s1.dat",1,"t225",0,"None",NA,"pseudorec","forw","LF","abst",NA,225,"BULDOF","ALD"
19,"s1.dat",1,"t225",0,"None",NA,"pseudorec","forw","LF","abst",NA,225,"TUMOČ","VLD"
21,"s1.dat",1,"t157",0,"None",NA,"pseudorec","backw","LF","abst",NA,157,"TITAČ","ALD"
21,"s1.dat",1,"t157",0,"None",NA,"pseudorec","backw","LF","abst",NA,157,"ŠAPTAK","VLD"
23,"s1.dat",1,"t89",1,"1",631,"rec","forw","HF","conc","prozor",89,"PROZOR","ALD"
23,"s1.dat",1,"t89",1,"1",631,"rec","forw","HF","conc","vrata",89,"VRATA","VLD"
24,"s1.dat",1,"t189",1,"3",1242,"pseudorec","forw","HF","abst",NA,189,"LOGOK","ALD"
24,"s1.dat",1,"t189",1,"3",1242,"pseudorec","forw","HF","abst",NA,189,"BEĆAŠ","VLD"
25,"s1.dat",1,"t105",1,"1",641,"rec","forw","LF","abst","logika",105,"LOGIKA","ALD"
25,"s1.dat",1,"t105",1,"1",641,"rec","forw","LF","abst","oprez",105,"OPREZ","VLD"
26,"s1.dat",1,"t141",1,"3",731,"pseudorec","backw","HF","conc",NA,141,"VODNIB","ALD"
26,"s1.dat",1,"t141",1,"3",731,"pseudorec","backw","HF","conc",NA,141,"CIMEC","VLD"
27,"s1.dat",1,"t163",1,"3",1422,"pseudorec","backw","LF","abst",NA,163,"BERBET","ALD"
