"participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"s1.dat","t167","KOMFON",1,"pseudorec","3",1,892
"s1.dat","t167","KARBOZ",1,"pseudorec","3",1,892
"s1.dat","t96","NERAD",2,"rec","3",1,711
"s1.dat","t96","ELITA",2,"rec","3",1,711
"s1.dat","t134","DIZEB",3,"pseudorec","None",0,NA
"s1.dat","t134","LOTOG",3,"pseudorec","None",0,NA
"s1.dat","t133","{TAPIZ",5,"pseudorec","3",1,1272
"s1.dat","t133","LIRIZ",5,"pseudorec","3",1,1272
"s1.dat","t190","ŠVERG",6,"pseudorec","3",1,1272
"s1.dat","t190","METAT",6,"pseudorec","3",1,1272
"s1.dat","t43","ADUŽOP",7,"rec","3",0,NA
"s1.dat","t43","ANEMAN",7,"rec","3",0,NA
"s1.dat","t79","MARAMA",8,"rec","3",1,601
"s1.dat","t79","KOLICA",8,"rec","3",1,601
"s1.dat","t226","BALZAL",9,"pseudorec","3",1,1453
"s1.dat","t226","RITUAC",9,"pseudorec","3",1,1453
"s1.dat","t6","AHRVS",10,"rec","None",0,NA
"s1.dat","t6","AVONBO",10,"rec","None",0,NA
"s1.dat","t4","AREMAN",12,"rec","None",0,NA
"s1.dat","t4","ATEVSO",12,"rec","None",0,NA
"s1.dat","t77","TOČAK",14,"rec","3",1,641
"s1.dat","t77","KESTEN",14,"rec","3",1,641
"s1.dat","t121","TROVAB",15,"pseudorec","None",0,NA
"s1.dat","t121","KORDOB",15,"pseudorec","None",0,NA
"s1.dat","t218","ROVAG",17,"pseudorec","None",0,NA
"s1.dat","t218","EPITEZ",17,"pseudorec","None",0,NA
"s1.dat","t225","BULDOF",19,"pseudorec","None",0,NA
"s1.dat","t225","TUMOČ",19,"pseudorec","None",0,NA
"s1.dat","t157","TITAČ",21,"pseudorec","None",0,NA
"s1.dat","t157","{APTAK",21,"pseudorec","None",0,NA
"s1.dat","t89","PROZOR",23,"rec","3",1,631
"s1.dat","t89","VRATA",23,"rec","3",1,631
"s1.dat","t189","LOGOK",24,"pseudorec","3",1,1242
"s1.dat","t189","BE}AŠ",24,"pseudorec","3",1,1242
"s1.dat","t105","LOGIKA",25,"rec","3",1,641
"s1.dat","t105","OPREZ",25,"rec","3",1,641
"s1.dat","t141","VODNIB",26,"pseudorec","3",1,731
"s1.dat","t141","CIMEC",26,"pseudorec","3",1,731
"s1.dat","t163","BERBET",27,"pseudorec","3",1,1422
"s1.dat","t163","PRESEB",27,"pseudorec","3",1,1422
"s1.dat","t33","VIZOPO",28,"rec","3",1,1462
"s1.dat","t33","EMONER",28,"rec","3",1,1462
"s1.dat","t201","CIKLOP",29,"pseudorec","None",0,NA
