id,group,age,sex,part,pair_id,pair,time,rating,left_word,right_word,revPair,rev,norm_rating
1101,young,22,male,test,1,SchafGiraffe,18.787,4,Schaf,Giraffe,GiraffeSchaf,NA,0.21052631578947367
1101,young,22,male,test,2,KuhAmeise,5.381,0,Kuh,Ameise,AmeiseKuh,NA,0
1101,young,22,male,test,3,MaulwurfEidechse,6.652,0,Maulwurf,Eidechse,EidechseMaulwurf,NA,0
1101,young,22,male,test,4,FliegeMeerschweinchen,5.164,0,Fliege,Meerschweinchen,MeerschweinchenFliege,NA,0
1101,young,22,male,test,5,MückeLöwe,2.676,0,Mücke,Löwe,LöweMücke,NA,0
1101,young,22,male,test,6,GiraffePinguin,6.648,2,Giraffe,Pinguin,PinguinGiraffe,NA,0.10526315789473684
1101,young,22,male,test,7,PapageiDachs,2.994,0,Papagei,Dachs,DachsPapagei,NA,0
1101,young,22,male,test,8,EichhörnchenGorilla,4.862,2,Eichhörnchen,Gorilla,GorillaEichhörnchen,NA,0.10526315789473684
1101,young,22,male,test,9,PapageiWal,4.804,0,Papagei,Wal,WalPapagei,NA,0
1101,young,22,male,test,10,LachsZiege,2.897,0,Lachs,Ziege,ZiegeLachs,NA,0
1101,young,22,male,test,11,RehDrossel,4.317,0,Reh,Drossel,DrosselReh,NA,0
1101,young,22,male,test,12,PferdFink,2.51,0,Pferd,Fink,FinkPferd,NA,0
1101,young,22,male,test,13,KänguruEnte,3.402,0,Känguru,Ente,EnteKänguru,NA,0
1101,young,22,male,test,14,WalIgel,4.789,0,Wal,Igel,IgelWal,NA,0
1101,young,22,male,test,15,WellensittichAmeise,4.062,0,Wellensittich,Ameise,AmeiseWellensittich,NA,0
1101,young,22,male,test,16,HundZiege,5.188,2,Hund,Ziege,ZiegeHund,NA,0.10526315789473684
1101,young,22,male,test,17,DrosselHund,3.731,0,Drossel,Hund,HundDrossel,NA,0
1101,young,22,male,test,18,ElefantHirsch,4.832,2,Elefant,Hirsch,HirschElefant,NA,0.10526315789473684
1101,young,22,male,test,19,KrokodilFliege,3.221,0,Krokodil,Fliege,FliegeKrokodil,NA,0
1101,young,22,male,test,20,GansTaube,10.093,9,Gans,Taube,TaubeGans,NA,0.47368421052631576
1101,young,22,male,test,21,MeerschweinchenSchlange,3.745,0,Meerschweinchen,Schlange,SchlangeMeerschweinchen,NA,0
1101,young,22,male,test,22,LachsSpinne,4.449,0,Lachs,Spinne,SpinneLachs,NA,0
1101,young,22,male,test,23,HundHai,3.25,0,Hund,Hai,HaiHund,NA,0
1101,young,22,male,test,24,IgelSchaf,6.415,1,Igel,Schaf,SchafIgel,NA,0.05263157894736842
1101,young,22,male,test,25,BieneMücke,7.67,13,Biene,Mücke,MückeBiene,NA,0.6842105263157895
1101,young,22,male,test,26,FliegeHund,4.038,0,Fliege,Hund,HundFliege,NA,0
1101,young,22,male,test,27,DachsBiene,2.821,0,Dachs,Biene,BieneDachs,NA,0
1101,young,22,male,test,28,FuchsDachs,17.072,12,Fuchs,Dachs,DachsFuchs,NA,0.631578947368421
1101,young,22,male,test,29,AmselLuchs,5.239,0,Amsel,Luchs,LuchsAmsel,NA,0
1101,young,22,male,test,30,HaseFuchs,8.45,7,Hase,Fuchs,FuchsHase,NA,0.3684210526315789
1101,young,22,male,test,31,DelfinNashorn,6.671,5,Delfin,Nashorn,NashornDelfin,NA,0.2631578947368421
1101,young,22,male,test,32,SchlangeHai,4.14,1,Schlange,Hai,HaiSchlange,NA,0.05263157894736842
1101,young,22,male,test,33,PinguinLuchs,4.438,4,Pinguin,Luchs,LuchsPinguin,NA,0.21052631578947367
1101,young,22,male,test,34,ZebraSchmetterling,2.407,0,Zebra,Schmetterling,SchmetterlingZebra,NA,0
1101,young,22,male,test,35,DelfinWildschwein,3.204,3,Delfin,Wildschwein,WildschweinDelfin,NA,0.15789473684210525
1101,young,22,male,test,36,FuchsSpinne,2.469,0,Fuchs,Spinne,SpinneFuchs,NA,0
1101,young,22,male,test,37,TigerPferd,5.962,5,Tiger,Pferd,PferdTiger,NA,0.2631578947368421
1101,young,22,male,test,38,MeerschweinchenPapagei,4.087,1,Meerschweinchen,Papagei,PapageiMeerschweinchen,NA,0.05263157894736842
1101,young,22,male,test,39,PapageiWildschwein,3.302,0,Papagei,Wildschwein,WildschweinPapagei,NA,0
1101,young,22,male,test,40,KaninchenGans,6.621,4,Kaninchen,Gans,GansKaninchen,NA,0.21052631578947367
1101,young,22,male,test,41,DrosselLöwe,3.762,1,Drossel,Löwe,LöweDrossel,NA,0.05263157894736842
1101,young,22,male,test,42,WalWolf,2.665,0,Wal,Wolf,WolfWal,NA,0
