"","trial","stimulus","target1","target2","support","endswith","stimcode_target","stimcode_foil","foil","targetwhere","KEY","RT","Accuracy","ID"
"1",1,"TOPISEGNATURA","matita","matita",0.472668740606664,"a",17,32,"TINFETIOLIA","right",2,2297,1,1
"2",2,"IRIBOLENZA","collera","collera",0.429596032023148,"a",25,1,"MAAZELLARIA","left",1,1896,1,1
"3",3,"PESCHETTORIO","attrezzo","attrezzo",0.454366055587418,"o",14,37,"BICCORERIANNO","right",2,2570,1,1
"4",4,"ILLUMITINA","lampada","lampada",0.48953839463578,"a",7,39,"TECNOLICENZA","right",1,2041,0,1
"5",5,"TETRUCCIERICO","manichino","manichino",0.436693144990155,"o",26,25,"BUCCOLAIANDOLO","left",2,2094,0,1
"6",6,"SUONONELLA","tromba","tromba",0.496570662135082,"a",4,7,"ILLUMITINA","left",1,1658,1,1
"7",7,"CAGOGNAZZA","feccia","feccia",0.422413853089632,"a",30,31,"SHAKESPEARIA","right",2,1666,1,1
"8",8,"FUMACOLIO","tabacco","tabacco",0.442651736319948,"o",17,27,"SPONATENTALISMO","right",2,2365,1,1
"9",9,"AFFOGNITURA","melma","melma",0.470398073485889,"a",12,41,"SOMMIRATOLA","left",1,1484,1,1
"10",10,"BOVACCIETTA","mucca","mucca",0.453353399154596,"a",18,36,"ERBACOLATURA","left",1,1345,1,1
"11",11,"DÉPLIOTIO","opuscolo","opuscolo",0.441686024950471,"o",18,35,"POSPICCIOLO","right",2,1733,1,1
"12",12,"BAMAGOGO","idolo","idolo",0.440714478264661,"o",29,3,"SDEGNATISMO","right",2,1261,1,1
"13",13,"AMANIMARISMO","sentimento","sentimento",0.485411776222111,"o",4,8,"MORCAVATTICO","right",2,2755,1,1
"14",14,"NASCOBILISTA","patriota","patriota",0.411726791608716,"a",43,42,"DECOMODA","right",2,1553,1,1
"15",15,"GIUBBIATOLA","sciarpa","sciarpa",0.466889109453445,"a",13,14,"CUOCCELA","right",2,1587,1,1
"16",16,"POSPICCIOLO","terrazzo","terrazzo",0.407849187862492,"o",35,28,"CORTECNOLISMO","left",1,2455,1,1
"17",17,"SPONATENTALISMO","stampo","stampo",0.436606223838356,"o",27,36,"UFFAMALINALISMO","left",1,1788,1,1
"18",18,"AMAGGIOSCO","fascino","fascino",0.416690467636846,"o",30,33,"SCIOCOLTAZIO","left",1,2467,1,1
"19",19,"COTOLITELLA","pasta","pasta",0.48355510448989,"a",9,30,"CAGOGNAZZA","left",1,1648,1,1
"20",20,"BEVERCHIETTA","bibita","bibita",0.504716253629009,"a",6,34,"SEDINOCA","right",2,1635,1,1
"21",21,"UCCIDALOSAMENTO","massacro","massacro",0.466290928178276,"o",11,1,"BRUFFEMIANDOLO","left",1,1439,1,1
"22",22,"BOVIACCAMENTO","macello","macello",0.457839353368462,"o",12,16,"NEBBALLIANTO","right",2,2559,1,1
"23",23,"BUCCOLAIANDOLO","cesto","cesto",0.454227200939773,"o",25,22,"MAFIDAMATO","left",1,1665,1,1
"24",24,"SHAKESPEARIA","commedia","commedia",0.422687919118835,"a",31,6,"BEVERCHIETTA","right",2,1717,1,1
"25",25,"GENAMORENZA","gelosia","gelosia",0.453520071512669,"a",20,33,"TAPOSTOIONA","right",2,3156,1,1
"26",26,"MORCAVATTICO","scarafaggio","scarafaggio",0.470493213526438,"o",8,2,"BACINGINEO","left",1,1465,1,1
"27",27,"TIELATILLINA","caramella","caramella",0.467069016585616,"a",10,2,"ATLETINATRICA","left",1,1936,1,1
"28",28,"BAIALININARLO","gattino","gattino",0.452422246675284,"o",10,34,"SUPESCITOLO","left",1,1909,1,1
"29",29,"GHIOTOSTALMENTO","fungo","fungo",0.431669987072567,"o",19,7,"SDRASTELLO","right",1,2585,0,1
"30",30,"OFFENDANTOSO","insulto","insulto",0.440975943620665,"o",23,14,"PESCHETTORIO","left",1,1682,1,1
"31",31,"MAFIDAMATO","pentito","pentito",0.443432985504823,"o",22,17,"FUMACOLIO","left",1,1813,1,1
"32",32,"VORICIPANZIO","incentivo","incentivo",0.418727645029792,"o",38,31,"LUMITATRO","left",2,2211,0,1
"33",33,"TINFETIOLIA","allergia","allergia",0.413526929377243,"a",32,21,"BOVETRITOLA","left",1,1867,1,1
"34",34,"UFFAMALINALISMO","pettegolezzo","pettegolezzo",0.409747618431885,"o",36,9,"GRATTUGIENDOLO","left",2,3715,0,1
"35",35,"CUOCCELA","pentola","pentola",0.458594744645759,"a",14,3,"FRITIENDOLA","left",1,1243,1,1
"36",36,"CORTECNOLISMO","progresso","progresso",0.42950685771341,"o",28,10,"BAIALININARLO","right",1,1755,0,1
"37",37,"MORTUMAZITA","agonia","agonia",0.430053687084792,"a",28,20,"GENAMORENZA","left",2,2477,0,1
"38",38,"ACUFEROIDIA","emicrania","emicrania",0.407339708774309,"a",40,11,"VESTICELLA","right",2,3116,1,1
"39",39,"BRUFFEMIANDOLO","pervertito","pervertito",0.523850635899467,"o",1,18,"DÉPLIOTIO","right",1,3278,0,1
"40",40,"GUTONERTITA","risata","risata",0.440767443511956,"a",22,8,"NUVOLTANZA","left",1,1806,1,1
