"","trial","stimulus","target1","target2","support","endswith","stimcode_target","stimcode_foil","targetUP","targetDOWN","foilUP","foilDOWN","targetwhere","KEY","RT","Accuracy","ID"
"1",1,"RABELLIMENTO","libro","specchio",0.395756074912868,"o",28,"1","specchio","libro","vaso","fazzoletto","left",1,6971,1,1
"2",2,"FIORARIOLO","tramonto","vaso",0.46144142963819,"o",8,"26","tramonto","vaso","tavolo","tramonto","right",2,3193,1,1
"3",3,"FIORICELLO","albero","vaso",0.486247009630272,"o",6,"28","albero","vaso","specchio","libro","right",2,2452,1,1
"4",4,"SUONISCRIO","libro","violino",0.418887002616857,"o",21,"17","libro","violino","albero","prato","left",1,3555,1,1
"5",5,"IDRANDINA","acqua","camera",0.422081829736095,"a",29,"25","camera","acqua","insalata","piazza","right",2,2352,1,1
"6",6,"GIAPRIATOLA","finestra","piazza",0.409918163079235,"a",35,"1","finestra","piazza","roccia","acqua","left",2,2885,0,1
"7",7,"COTTOLIOLIA","camera","insalata",0.422850505618225,"a",31,"9","camera","insalata","roccia","bambola","left",1,5201,1,1
"8",8,"VISUONDOLO","specchio","violino",0.391008337445416,"o",31,"10","specchio","violino","vaso","libro","right",2,3383,1,1
"9",9,"GHIANCIOLA","torta","roccia",0.424879623594919,"a",24,"19","torta","roccia","tenda","finestra","right",2,4600,1,1
"10",10,"SICCOTTELLA","torta","tenda",0.39775601139806,"a",38,"3","torta","tenda","acqua","insalata","left",1,2834,1,1
"11",11,"APRIATTOLA","camera","finestra",0.445083660259352,"a",30,"2","camera","finestra","giacca","bambola","left",2,3122,0,1
"12",12,"COSTRELLINA","bambola","roccia",0.471669218334297,"a",9,"29","bambola","roccia","camera","acqua","right",1,3832,0,1
"13",13,"POZZONELLA","acqua","finestra",0.456575135142585,"a",18,"15","acqua","finestra","acqua","tenda","left",2,4638,0,1
"14",14,"IDRACIOLA","acqua","roccia",0.522737584353153,"a",1,"34","acqua","roccia","finestra","scarpa","left",1,1662,1,1
"15",15,"IMMONTURA","tenda","roccia",0.436838143983005,"a",23,"20","roccia","tenda","acqua","torta","right",2,2929,1,1
"16",16,"CAPPETTELLA","torta","giacca",0.445503404450181,"a",17,"13","torta","giacca","giacca","scarpa","right",1,4591,0,1
"17",17,"GIUBBIATURA","giacca","scarpa",0.458165374529759,"a",13,"16","scarpa","giacca","roccia","piazza","left",1,2274,1,1
"18",18,"PICATTOLO","libro","martello",0.381508508624341,"o",34,"20","libro","martello","albero","specchio","left",1,4323,1,1
"19",19,"SENDINAIA","camera","piazza",0.365935804289337,"a",44,"36","piazza","camera","torta","piazza","right",2,3370,1,1
"20",20,"POZZANELLA","acqua","tenda",0.456784940153879,"a",15,"5","tenda","acqua","insalata","torta","left",1,2227,1,1
"21",21,"SEDINOCCIO","tavolo","fazzoletto",0.448979713721618,"o",9,"30","fazzoletto","tavolo","tavolo","specchio","right",2,4380,1,1
"22",22,"BANCOTTINA","insalata","piazza",0.425915829591933,"a",25,"24","piazza","insalata","torta","roccia","right",1,3875,0,1
"23",23,"ROCCERIOLO","martello","vaso",0.422465845764188,"o",16,"31","martello","vaso","violino","specchio","right",2,4166,1,1
"24",24,"SICCOTTELA","camera","torta",0.396127824434801,"a",39,"41","camera","torta","piazza","tenda","right",1,4992,0,1
"25",25,"IDRATOLANA","acqua","scarpa",0.429187881125278,"a",26,"8","scarpa","acqua","finestra","giacca","left",1,1724,1,1
"26",26,"GOCCOTTELLA","acqua","torta",0.435659146467781,"a",20,"37","acqua","torta","scarpa","torta","right",1,4503,0,1
"27",27,"SDRANZIA","camera","tenda",0.371844310953691,"a",43,"12","camera","tenda","finestra","roccia","left",2,3750,0,1
"28",28,"TERNOTELLA","finestra","tenda",0.447458904846507,"a",19,"28","tenda","finestra","giacca","piazza","right",1,3789,0,1
"29",29,"SPURIALLIO","specchio","prato",0.378012446652611,"o",35,"3","specchio","prato","specchio","fazzoletto","left",1,3051,1,1
"30",30,"PANCOTTELLA","torta","scarpa",0.397920796868293,"a",37,"26","torta","scarpa","scarpa","acqua","left",1,3990,1,1
"31",31,"CIGOLITELLO","tavolo","muro",0.398585908766644,"o",25,"6","muro","tavolo","albero","vaso","left",1,4693,1,1
"32",32,"CLIETTONDOLA","finestra","giacca",0.48483531848458,"a",8,"42","finestra","giacca","tenda","scarpa","right",1,4802,0,1
"33",33,"SUONACARIO","martello","violino",0.431931557252949,"o",13,"4","martello","violino","prato","fazzoletto","left",1,6792,1,1
"34",34,"GIUBBIATINA","camera","giacca",0.440875607098327,"a",22,"44","giacca","camera","camera","piazza","left",1,1962,1,1
"35",35,"MUSTONCELLO","albero","violino",0.431915544858551,"o",15,"36","violino","albero","prato","libro","right",2,1832,1,1
"36",36,"FIONCOLIOLO","vaso","prato",0.466683748642467,"o",5,"19","vaso","prato","violino","prato","left",2,5161,0,1
"37",37,"ERRACIOLINA","insalata","roccia",0.485320022334696,"a",4,"23","roccia","insalata","tenda","roccia","left",1,1888,1,1
"38",38,"VESTINETTA","giacca","insalata",0.465134941301442,"a",10,"17","giacca","insalata","torta","giacca","right",1,4398,0,1
"39",39,"SGUARELLIO","specchio","fazzoletto",0.470165895488278,"o",3,"23","specchio","fazzoletto","vaso","tavolo","right",2,2104,1,1
"40",40,"ROSCESCOLO","albero","tramonto",0.428075432001771,"o",14,"24","tramonto","albero","albero","tavolo","left",1,4334,1,1
"41",41,"SDRAIOLIO","tavolo","tramonto",0.395415084081465,"o",26,"12","tavolo","tramonto","tramonto","violino","right",2,4239,1,1
"42",42,"SUONANELLO","prato","violino",0.42092393031434,"o",19,"8","prato","violino","tramonto","vaso","left",1,1971,1,1
"43",43,"GRAMINELLO","tavolo","vaso",0.405468191411038,"o",23,"27","tavolo","vaso","violino","tavolo","left",2,2020,0,1
"44",44,"FRIGLIANZA","tenda","insalata",0.434661479816257,"a",21,"14","insalata","tenda","insalata","finestra","left",1,3717,1,1
"45",45,"GIUBBITINA","giacca","tenda",0.478935582879313,"a",11,"22","giacca","tenda","giacca","camera","right",2,3935,1,1
"46",46,"CLICCATTOLA","finestra","scarpa",0.415522183561553,"a",34,"18","finestra","scarpa","finestra","acqua","left",1,4325,1,1
"47",47,"VESTOLETTA","giacca","bambola",0.488970016213063,"a",2,"32","bambola","giacca","piazza","acqua","right",2,1823,1,1
"48",48,"FIORISITOLO","libro","vaso",0.44605935197955,"o",10,"15","libro","vaso","violino","albero","right",1,2469,0,1
"49",49,"BANDINAIA","tenda","piazza",0.388122936208263,"a",41,"31","piazza","tenda","camera","insalata","left",1,4449,1,1
"50",50,"LAVESCIA","acqua","giacca",0.477502876286935,"a",6,"27","acqua","giacca","torta","finestra","right",2,1847,1,1
"51",51,"SUONCOLLO","tavolo","violino",0.41212082349233,"o",27,"13","tavolo","violino","violino","martello","right",1,2776,0,1
"52",52,"MURICATTOLA","finestra","roccia",0.47764464953134,"a",12,"45","roccia","finestra","camera","scarpa","left",1,2922,1,1
"53",53,"POLIETTOLA","finestra","torta",0.419978313494715,"a",27,"39","finestra","torta","camera","torta","left",2,3397,0,1
"54",54,"SDRAIARELLO","tavolo","prato",0.396708350305362,"o",32,"18","tavolo","prato","libro","albero","right",2,1546,1,1
"55",55,"CERBOSCELLO","albero","prato",0.430747408233241,"o",17,"34","prato","albero","libro","martello","right",2,2972,1,1
"56",56,"CAMATINCIA","giacca","piazza",0.428157076417196,"a",28,"35","giacca","piazza","finestra","piazza","left",1,3552,1,1
"57",57,"ARMORICELLO","vaso","violino",0.460998958069288,"o",7,"33","violino","vaso","martello","prato","right",1,2667,0,1
"58",58,"LUMERSTERSIMO","libro","tramonto",0.406360856583771,"o",22,"7","libro","tramonto","vaso","violino","right",2,2649,1,1
"59",59,"SUONANNARIO","tramonto","violino",0.436999752503265,"o",12,"35","tramonto","violino","specchio","prato","left",1,2654,1,1
"60",60,"CROIETTOLO","muro","specchio",0.439610410800281,"o",11,"2","muro","specchio","fazzoletto","albero","right",1,3538,0,1
"61",61,"IDRANGIA","acqua","insalata",0.49500547062065,"a",3,"40","insalata","acqua","roccia","camera","left",1,1913,1,1
"62",62,"SRADINELLO","albero","specchio",0.424257493886018,"o",20,"16","specchio","albero","martello","vaso","right",2,4009,1,1
"63",63,"FRICOTTELA","torta","insalata",0.477677004296455,"a",5,"33","insalata","torta","scarpa","roccia","right",2,2867,1,1
"64",64,"CLIETTOLA","finestra","insalata",0.465481192509731,"a",14,"6","insalata","finestra","giacca","acqua","left",1,3755,1,1
"65",65,"CINCOTTELLA","torta","piazza",0.400446741017095,"a",36,"38","torta","piazza","tenda","torta","left",2,2583,0,1
"66",66,"SDRANGOLIO","tavolo","specchio",0.388372680304045,"o",30,"22","specchio","tavolo","libro","tramonto","left",1,2188,1,1
"67",67,"PARTONCELLO","tavolo","albero",0.402321232170136,"o",24,"9","tavolo","albero","tavolo","fazzoletto","right",2,3613,1,1
"68",68,"CENSARELLINA","torta","bambola",0.471218182999293,"a",7,"43","torta","bambola","tenda","camera","right",1,4448,0,1
"69",69,"FIORECCIANDOLO","albero","fazzoletto",0.501467247177442,"o",2,"29","albero","fazzoletto","specchio","martello","right",2,2368,1,1
"70",70,"FIOTTINO","prato","fazzoletto",0.467692295329747,"o",4,"5","fazzoletto","prato","prato","vaso","right",1,3699,0,1
"71",71,"FIOCOSCRIO","libro","prato",0.393283359880707,"o",36,"21","libro","prato","libro","violino","right",2,5050,1,1
"72",72,"RETTIELLIA","camera","scarpa",0.333051299054932,"a",45,"11","scarpa","camera","tenda","giacca","left",1,2903,1,1
"73",73,"SDRAIATURA","tenda","scarpa",0.373875599810904,"a",42,"10","tenda","scarpa","insalata","giacca","left",1,1924,1,1
"74",74,"RAPALINCIO","martello","prato",0.388931499641466,"o",33,"11","prato","martello","muro","specchio","right",2,2441,1,1
"75",75,"POZZETTERIA","acqua","piazza",0.415528522970472,"a",32,"30","piazza","acqua","camera","finestra","left",1,1945,1,1
"76",76,"PALCAVERIA","piazza","roccia",0.452228311893175,"a",16,"21","piazza","roccia","insalata","tenda","right",2,2836,1,1
"77",77,"SPALENTOLO","specchio","martello",0.399203699451159,"o",29,"14","specchio","martello","tramonto","albero","right",2,2527,1,1
"78",78,"NARAMPICOLO","libro","albero",0.419717897675257,"o",18,"25","libro","albero","tavolo","muro","right",1,4093,0,1
"79",79,"MURANTURIA","roccia","scarpa",0.413419863177116,"a",33,"7","roccia","scarpa","torta","bambola","left",1,2329,1,1
"80",80,"ARMONTURIA","camera","roccia",0.386541859114092,"a",40,"4","roccia","camera","insalata","roccia","right",2,3319,1,1
"81",81,"FIORINELLO","vaso","fazzoletto",0.49666509075676,"o",1,"32","fazzoletto","vaso","tavolo","prato","right",2,5183,1,1
"82",1,"FIOTTINO","prato","fazzoletto",0.467692295329747,"o",4,"7","prato","fazzoletto","vaso","violino","right",1,13326,0,2
"83",2,"ARMONTURIA","camera","roccia",0.386541859114092,"a",40,"2","roccia","camera","giacca","bambola","left",2,7135,0,2
"84",3,"CIGOLITELLO","tavolo","muro",0.398585908766644,"o",25,"19","tavolo","muro","violino","prato","left",1,6912,1,2
"85",4,"GOCCOTTELLA","acqua","torta",0.435659146467781,"a",20,"40","torta","acqua","camera","roccia","left",1,6441,1,2
"86",5,"SENDINAIA","camera","piazza",0.365935804289337,"a",44,"33","piazza","camera","roccia","scarpa","right",2,9409,1,2
"87",6,"SRADINELLO","albero","specchio",0.424257493886018,"o",20,"14","albero","specchio","albero","tramonto","right",2,7369,1,2
