"","trial","stimulus","target1","target2","support","endswith","stimcode_target","stimcode_foil","targetUP","targetDOWN","foil","targetwhere","KEY","RT","Accuracy","ID"
"1",1,"SUONCOLLO","tavolo","violino",0.41212082349233,"o",27,"26","violino","tavolo","SDRAIOLIO","left",2,3675,0,1
"2",2,"GIAPRIATOLA","finestra","piazza",0.409918163079235,"a",35,"41","finestra","piazza","BANDINAIA","right",1,4009,0,1
"3",3,"SDRAIARELLO","tavolo","prato",0.396708350305362,"o",32,"6","prato","tavolo","FIORICELLO","left",1,3258,1,1
"4",4,"SICCOTTELA","camera","torta",0.396127824434801,"a",39,"27","torta","camera","POLIETTOLA","right",2,1804,1,1
"5",5,"SUONANNARIO","tramonto","violino",0.436999752503265,"o",12,"35","tramonto","violino","SPURIALLIO","left",1,2878,1,1
"6",6,"LUMERSTERSIMO","libro","tramonto",0.406360856583771,"o",22,"2","libro","tramonto","FIORECCIANDOLO","right",2,3261,1,1
"7",7,"MUSTONCELLO","albero","violino",0.431915544858551,"o",15,"8","violino","albero","FIORARIOLO","left",2,4356,0,1
"8",8,"VESTINETTA","giacca","insalata",0.465134941301442,"a",10,"36","giacca","insalata","CINCOTTELLA","right",2,4893,1,1
"9",9,"CAMATINCIA","giacca","piazza",0.428157076417196,"a",28,"43","piazza","giacca","SDRANZIA","left",1,2688,1,1
"10",10,"PANCOTTELLA","torta","scarpa",0.397920796868293,"a",37,"19","torta","scarpa","TERNOTELLA","left",1,2555,1,1
"11",11,"NARAMPICOLO","libro","albero",0.419717897675257,"o",18,"12","albero","libro","SUONANNARIO","right",2,4089,1,1
"12",12,"SICCOTTELLA","torta","tenda",0.39775601139806,"a",38,"45","tenda","torta","RETTIELLIA","left",2,3394,0,1
"13",13,"ERRACIOLINA","insalata","roccia",0.485320022334696,"a",4,"5","insalata","roccia","FRICOTTELA","right",2,3932,1,1
"14",14,"CINCOTTELLA","torta","piazza",0.400446741017095,"a",36,"30","torta","piazza","APRIATTOLA","left",2,6416,0,1
"15",15,"SEDINOCCIO","tavolo","fazzoletto",0.448979713721618,"o",9,"10","fazzoletto","tavolo","FIORISITOLO","right",1,2723,0,1
"16",16,"SDRANZIA","camera","tenda",0.371844310953691,"a",43,"14","camera","tenda","CLIETTOLA","left",2,3455,0,1
"17",17,"ROSCESCOLO","albero","tramonto",0.428075432001771,"o",14,"15","albero","tramonto","MUSTONCELLO","left",2,2243,0,1
"18",18,"VISUONDOLO","specchio","violino",0.391008337445416,"o",31,"24","specchio","violino","PARTONCELLO","left",1,2944,1,1
"19",19,"FIOTTINO","prato","fazzoletto",0.467692295329747,"o",4,"31","prato","fazzoletto","VISUONDOLO","left",1,2211,1,1
"20",20,"IDRANGIA","acqua","insalata",0.49500547062065,"a",3,"21","insalata","acqua","FRIGLIANZA","right",2,2182,1,1
"21",21,"SPALENTOLO","specchio","martello",0.399203699451159,"o",29,"17","specchio","martello","CERBOSCELLO","left",1,3419,1,1
"22",22,"COSTRELLINA","bambola","roccia",0.471669218334297,"a",9,"17","roccia","bambola","CAPPETTELLA","left",1,2525,1,1
"23",23,"GOCCOTTELLA","acqua","torta",0.435659146467781,"a",20,"26","acqua","torta","IDRATOLANA","left",1,971,1,1
"24",24,"SDRAIOLIO","tavolo","tramonto",0.395415084081465,"o",26,"3","tramonto","tavolo","SGUARELLIO","right",2,1824,1,1
"25",25,"SPURIALLIO","specchio","prato",0.378012446652611,"o",35,"32","specchio","prato","SDRAIARELLO","left",1,1825,1,1
"26",26,"COTTOLIOLIA","camera","insalata",0.422850505618225,"a",31,"8","camera","insalata","CLIETTONDOLA","left",2,1542,0,1
"27",27,"BANDINAIA","tenda","piazza",0.388122936208263,"a",41,"9","tenda","piazza","COSTRELLINA","left",1,1470,1,1
"28",28,"CIGOLITELLO","tavolo","muro",0.398585908766644,"o",25,"11","muro","tavolo","CROIETTOLO","left",1,1257,1,1
"29",29,"PALCAVERIA","piazza","roccia",0.452228311893175,"a",16,"23","roccia","piazza","IMMONTURA","right",2,3582,1,1
"30",30,"GRAMINELLO","tavolo","vaso",0.405468191411038,"o",23,"5","tavolo","vaso","FIONCOLIOLO","right",2,3334,1,1
"31",31,"PARTONCELLO","tavolo","albero",0.402321232170136,"o",24,"25","tavolo","albero","CIGOLITELLO","left",2,2312,0,1
"32",32,"CLICCATTOLA","finestra","scarpa",0.415522183561553,"a",34,"4","finestra","scarpa","ERRACIOLINA","right",2,1670,1,1
"33",33,"FIORARIOLO","tramonto","vaso",0.46144142963819,"o",8,"18","tramonto","vaso","NARAMPICOLO","right",2,679,1,1
"34",34,"CERBOSCELLO","albero","prato",0.430747408233241,"o",17,"21","albero","prato","SUONISCRIO","left",1,427,1,1
"35",35,"POZZETTERIA","acqua","piazza",0.415528522970472,"a",32,"1","acqua","piazza","IDRACIOLA","left",2,1757,0,1
"36",36,"FIORINELLO","vaso","fazzoletto",0.49666509075676,"o",1,"33","fazzoletto","vaso","RAPALINCIO","left",1,2225,1,1
"37",37,"RABELLIMENTO","libro","specchio",0.395756074912868,"o",28,"7","specchio","libro","ARMORICELLO","right",2,1695,1,1
"38",38,"SDRANGOLIO","tavolo","specchio",0.388372680304045,"o",30,"28","specchio","tavolo","RABELLIMENTO","right",2,1482,1,1
"39",39,"FIORICELLO","albero","vaso",0.486247009630272,"o",6,"19","vaso","albero","SUONANELLO","left",2,1798,0,1
"40",40,"SGUARELLIO","specchio","fazzoletto",0.470165895488278,"o",3,"34","fazzoletto","specchio","PICATTOLO","left",1,2725,1,1
"41",41,"SENDINAIA","camera","piazza",0.365935804289337,"a",44,"7","piazza","camera","CENSARELLINA","left",2,2369,0,1
"42",42,"CLIETTOLA","finestra","insalata",0.465481192509731,"a",14,"11","insalata","finestra","GIUBBITINA","right",2,1026,1,1
"43",43,"SDRAIATURA","tenda","scarpa",0.373875599810904,"a",42,"15","scarpa","tenda","POZZANELLA","right",1,1359,0,1
"44",44,"POLIETTOLA","finestra","torta",0.419978313494715,"a",27,"2","finestra","torta","VESTOLETTA","left",2,2431,0,1
"45",45,"GIUBBIATINA","camera","giacca",0.440875607098327,"a",22,"37","giacca","camera","PANCOTTELLA","left",1,2500,1,1
