"participant_id","trial_id","stimulus","response_option_1","response_option_2","response","accuracy"
1,1,"matita","TINFETIOLIA","TOPISEGNATURA",2,"Correct"
1,2,"collera","IRIBOLENZA","MAAZELLARIA",1,"Correct"
1,3,"attrezzo","BICCORERIANNO","PESCHETTORIO",2,"Correct"
1,4,"lampada","TECNOLICENZA","ILLUMITINA",1,"Incorrect"
1,5,"manichino","TETRUCCIERICO","BUCCOLAIANDOLO",2,"Incorrect"
1,6,"tromba","SUONONELLA","ILLUMITINA",1,"Correct"
1,7,"feccia","SHAKESPEARIA","CAGOGNAZZA",2,"Correct"
1,8,"tabacco","SPONATENTALISMO","FUMACOLIO",2,"Correct"
1,9,"melma","AFFOGNITURA","SOMMIRATOLA",1,"Correct"
1,10,"mucca","BOVACCIETTA","ERBACOLATURA",1,"Correct"
1,11,"opuscolo","POSPICCIOLO","DÉPLIOTIO",2,"Correct"
1,12,"idolo","SDEGNATISMO","BAMAGOGO",2,"Correct"
1,13,"sentimento","MORCAVATTICO","AMANIMARISMO",2,"Correct"
1,14,"patriota","DECOMODA","NASCOBILISTA",2,"Correct"
1,15,"sciarpa","CUOCCELA","GIUBBIATOLA",2,"Correct"
1,16,"terrazzo","POSPICCIOLO","CORTECNOLISMO",1,"Correct"
1,17,"stampo","SPONATENTALISMO","UFFAMALINALISMO",1,"Correct"
1,18,"fascino","AMAGGIOSCO","SCIOCOLTAZIO",1,"Correct"
1,19,"pasta","COTOLITELLA","CAGOGNAZZA",1,"Correct"
1,20,"bibita","SEDINOCA","BEVERCHIETTA",2,"Correct"
1,21,"massacro","UCCIDALOSAMENTO","BRUFFEMIANDOLO",1,"Correct"
1,22,"macello","NEBBALLIANTO","BOVIACCAMENTO",2,"Correct"
1,23,"cesto","BUCCOLAIANDOLO","MAFIDAMATO",1,"Correct"
1,24,"commedia","BEVERCHIETTA","SHAKESPEARIA",2,"Correct"
1,25,"gelosia","TAPOSTOIONA","GENAMORENZA",2,"Correct"
1,26,"scarafaggio","MORCAVATTICO","BACINGINEO",1,"Correct"
1,27,"caramella","TIELATILLINA","ATLETINATRICA",1,"Correct"
1,28,"gattino","BAIALININARLO","SUPESCITOLO",1,"Correct"
1,29,"fungo","SDRASTELLO","GHIOTOSTALMENTO",1,"Incorrect"
1,30,"insulto","OFFENDANTOSO","PESCHETTORIO",1,"Correct"
1,31,"pentito","MAFIDAMATO","FUMACOLIO",1,"Correct"
1,32,"incentivo","VORICIPANZIO","LUMITATRO",2,"Incorrect"
1,33,"allergia","TINFETIOLIA","BOVETRITOLA",1,"Correct"
