"","participant_id","trial_id","stimulus","response_option_1","response_option_2","response","accuracy"
"1",1,1,"violino tavolo","SUONCOLLO","SDRAIOLIO",2,"Incorrect"
"2",1,2,"finestra piazza","BANDINAIA","GIAPRIATOLA",1,"Incorrect"
"3",1,3,"prato tavolo","SDRAIARELLO","FIORICELLO",1,"Correct"
"4",1,4,"torta camera","POLIETTOLA","SICCOTTELA",2,"Correct"
"5",1,5,"tramonto violino","SUONANNARIO","SPURIALLIO",1,"Correct"
"6",1,6,"libro tramonto","FIORECCIANDOLO","LUMERSTERSIMO",2,"Correct"
"7",1,7,"violino albero","MUSTONCELLO","FIORARIOLO",2,"Incorrect"
"8",1,8,"giacca insalata","CINCOTTELLA","VESTINETTA",2,"Correct"
"9",1,9,"piazza giacca","CAMATINCIA","SDRANZIA",1,"Correct"
"10",1,10,"torta scarpa","PANCOTTELLA","TERNOTELLA",1,"Correct"
"11",1,11,"albero libro","SUONANNARIO","NARAMPICOLO",2,"Correct"
"12",1,12,"tenda torta","SICCOTTELLA","RETTIELLIA",2,"Incorrect"
"13",1,13,"insalata roccia","FRICOTTELA","ERRACIOLINA",2,"Correct"
"14",1,14,"torta piazza","CINCOTTELLA","APRIATTOLA",2,"Incorrect"
"15",1,15,"fazzoletto tavolo","FIORISITOLO","SEDINOCCIO",1,"Incorrect"
"16",1,16,"camera tenda","SDRANZIA","CLIETTOLA",2,"Incorrect"
"17",1,17,"albero tramonto","ROSCESCOLO","MUSTONCELLO",2,"Incorrect"
"18",1,18,"specchio violino","VISUONDOLO","PARTONCELLO",1,"Correct"
"19",1,19,"prato fazzoletto","FIOTTINO","VISUONDOLO",1,"Correct"
"20",1,20,"insalata acqua","FRIGLIANZA","IDRANGIA",2,"Correct"
"21",1,21,"specchio martello","SPALENTOLO","CERBOSCELLO",1,"Correct"
"22",1,22,"roccia bambola","COSTRELLINA","CAPPETTELLA",1,"Correct"
"23",1,23,"acqua torta","GOCCOTTELLA","IDRATOLANA",1,"Correct"
"24",1,24,"tramonto tavolo","SGUARELLIO","SDRAIOLIO",2,"Correct"
"25",1,25,"specchio prato","SPURIALLIO","SDRAIARELLO",1,"Correct"
"26",1,26,"camera insalata","COTTOLIOLIA","CLIETTONDOLA",2,"Incorrect"
"27",1,27,"tenda piazza","BANDINAIA","COSTRELLINA",1,"Correct"
"28",1,28,"muro tavolo","CIGOLITELLO","CROIETTOLO",1,"Correct"
"29",1,29,"roccia piazza","IMMONTURA","PALCAVERIA",2,"Correct"
"30",1,30,"tavolo vaso","FIONCOLIOLO","GRAMINELLO",2,"Correct"
"31",1,31,"tavolo albero","PARTONCELLO","CIGOLITELLO",2,"Incorrect"
"32",1,32,"finestra scarpa","ERRACIOLINA","CLICCATTOLA",2,"Correct"
"33",1,33,"tramonto vaso","NARAMPICOLO","FIORARIOLO",2,"Correct"
"34",1,34,"albero prato","CERBOSCELLO","SUONISCRIO",1,"Correct"
"35",1,35,"acqua piazza","POZZETTERIA","IDRACIOLA",2,"Incorrect"
"36",1,36,"fazzoletto vaso","FIORINELLO","RAPALINCIO",1,"Correct"
"37",1,37,"specchio libro","ARMORICELLO","RABELLIMENTO",2,"Correct"
"38",1,38,"specchio tavolo","RABELLIMENTO","SDRANGOLIO",2,"Correct"
"39",1,39,"vaso albero","FIORICELLO","SUONANELLO",2,"Incorrect"
"40",1,40,"fazzoletto specchio","SGUARELLIO","PICATTOLO",1,"Correct"
"41",1,41,"piazza camera","SENDINAIA","CENSARELLINA",2,"Incorrect"
"42",1,42,"insalata finestra","GIUBBITINA","CLIETTOLA",2,"Correct"
"43",1,43,"scarpa tenda","POZZANELLA","SDRAIATURA",1,"Incorrect"
"44",1,44,"finestra torta","POLIETTOLA","VESTOLETTA",2,"Incorrect"
"45",1,45,"giacca camera","GIUBBIATINA","PANCOTTELLA",1,"Correct"
"46",1,46,"tenda insalata","FRIGLIANZA","GIAPRIATOLA",1,"Correct"
"47",1,47,"tenda giacca","IDRANDINA","GIUBBITINA",2,"Correct"
"48",1,48,"libro violino","SUONISCRIO","SUONCOLLO",2,"Incorrect"
"49",1,49,"vaso martello","GRAMINELLO","ROCCERIOLO",2,"Correct"
"50",1,50,"roccia camera","GOCCOTTELLA","ARMONTURIA",1,"Incorrect"
"51",1,51,"scarpa acqua","POZZETTERIA","IDRATOLANA",2,"Correct"
"52",1,52,"torta insalata","SENDINAIA","FRICOTTELA",2,"Correct"
"53",1,53,"roccia tenda","GIUBBIATURA","IMMONTURA",2,"Correct"
"54",1,54,"roccia acqua","IDRACIOLA","COTTOLIOLIA",1,"Correct"
"55",1,55,"violino prato","SUONANELLO","FIORINELLO",2,"Incorrect"
"56",1,56,"acqua giacca","MURICATTOLA","LAVESCIA",2,"Correct"
"57",1,57,"torta bambola","VESTINETTA","CENSARELLINA",2,"Correct"
"58",1,58,"prato libro","FIOCOSCRIO","FIOTTINO",2,"Incorrect"
"59",1,59,"acqua tenda","IDRANGIA","POZZANELLA",1,"Incorrect"
"60",1,60,"giacca torta","CAPPETTELLA","GHIANCIOLA",1,"Correct"
"61",1,61,"giacca bambola","VESTOLETTA","ARMONTURIA",2,"Incorrect"
"62",1,62,"martello libro","SPALENTOLO","PICATTOLO",1,"Incorrect"
"63",1,63,"acqua camera","IDRANDINA","GIUBBIATINA",2,"Incorrect"
"64",1,64,"acqua finestra","BANCOTTINA","POZZONELLA",1,"Incorrect"
"65",1,65,"specchio albero","LUMERSTERSIMO","SRADINELLO",2,"Correct"
"66",1,66,"muro specchio","CROIETTOLO","ROCCERIOLO",2,"Incorrect"
"67",1,67,"martello prato","RAPALINCIO","SEDINOCCIO",1,"Correct"
"68",1,68,"libro vaso","ROSCESCOLO","FIORISITOLO",1,"Incorrect"
"69",1,69,"vaso prato","FIONCOLIOLO","SDRANGOLIO",2,"Incorrect"
"70",1,70,"piazza insalata","SDRAIATURA","BANCOTTINA",1,"Incorrect"
"71",1,71,"giacca finestra","CLIETTONDOLA","PALCAVERIA",1,"Correct"
"72",1,72,"albero fazzoletto","FIORECCIANDOLO","SUONACARIO",2,"Incorrect"
"73",1,73,"scarpa giacca","SICCOTTELLA","GIUBBIATURA",1,"Incorrect"
"74",1,74,"roccia scarpa","CAMATINCIA","MURANTURIA",1,"Incorrect"
"75",1,75,"camera finestra","APRIATTOLA","CLICCATTOLA",1,"Correct"
"76",1,76,"roccia finestra","MURANTURIA","MURICATTOLA",2,"Correct"
"77",1,77,"torta roccia","POZZONELLA","GHIANCIOLA",1,"Incorrect"
"78",1,78,"scarpa camera","LAVESCIA","RETTIELLIA",2,"Correct"
"79",1,79,"martello violino","SUONACARIO","FIOCOSCRIO",1,"Correct"
"80",1,80,"violino vaso","ARMORICELLO","SRADINELLO",1,"Correct"
"81",1,81,"tenda finestra","TERNOTELLA","SICCOTTELA",1,"Correct"
"82",2,1,"vaso martello","SUONANNARIO","ROCCERIOLO",1,"Incorrect"
"83",2,2,"vaso fazzoletto","SEDINOCCIO","FIORINELLO",2,"Correct"
