Recommended Column Name,Description
participant_id,Anonymized participant identifier (format: anonymized_XXXX).
trial_id,Unique sequential identifier for each observation row in exp1.csv (one participant × one stimulus); 1-indexed.
stimulus,The Chinese compound word presented to the participant.
constituent_1,The first constituent of the compound word.
constituent_2,The second constituent of the compound word.
constituent_1_contribution,"Participant's rating of how much constituent_1 contributes to the compound's overall meaning (integer, 0–5; 0 = not at all, 5 = greatly)."
constituent_2_contribution,"Participant's rating of how much constituent_2 contributes to the compound's overall meaning (integer, 0–5; 0 = not at all, 5 = greatly)."
predictability,"Participant's rating of how easily the compound's meaning can be inferred from its two constituents (integer, 0–5; 0 = not at all, 5 = greatly)."
list_id,Experimental list number (0-indexed); indicates which list file the stimulus appeared in.
start_time,Timestamp when the participant started the survey session (YYYY-MM-DD HH:MM:SS).
completion_time,Timestamp when the participant completed the survey session (YYYY-MM-DD HH:MM:SS).
query_c1,Full original Chinese question text asking about constituent_1 contribution.
c1_contribution,Raw constituent_1 contribution rating as recorded in the original data (same scale as constituent_1_contribution).
query_c2,Full original Chinese question text asking about constituent_2 contribution.
c2_contribution,Raw constituent_2 contribution rating as recorded in the original data (same scale as constituent_2_contribution).
query_comp,Full original Chinese question text asking about predictability.
comp,Raw predictability rating as recorded in the original data (same scale as predictability).
