Concept_NO,Image_NO,Concept,Concept_Image,URL,Attribution
1,1,macaw,1,https://www.pexels.com/photo/bird-red-animal-colorful-40984/,In public domain
1,2,macaw,2,https://commons.wikimedia.org/wiki/File:Blue_and_gold_Macaw.jpg,"Nasimahmed01 (https://commons.wikimedia.org/wiki/File:Blue_and_gold_Macaw.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
1,3,macaw,3,https://www.needpix.com/photo/1514756/macaw-bird-parrot-tropical-wallpaper-background-perched-looking-colorful,in public domain
1,4,macaw,4,https://www.pxfuel.com/en/free-photo-jhsvf,in public domain
2,5,cockatoo,1,https://commons.wikimedia.org/wiki/File:Gelbwangenkakadu_8559.jpg,"J. Patrick Fischer (https://commons.wikimedia.org/wiki/File:Gelbwangenkakadu_8559.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
2,6,cockatoo,2,https://pxhere.com/en/photo/536807,In public domain
2,7,cockatoo,3,https://commons.wikimedia.org/wiki/File:Lesser-sulphur_crested_cockatoo_31l07.JPG,"Snowmanradio, with permission from Tropical Birdland, Leicestershire, England. (https://commons.wikimedia.org/wiki/File:Lesser-sulphur_crested_cockatoo_31l07.JPG), „Lesser-sulphur crested cockatoo 31l07“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
2,8,cockatoo,4,https://pxhere.com/nl/photo/1084391,In public domain
3,9,chicken,1,https://commons.wikimedia.org/wiki/File:New_hampshire_hen_26_weken.jpg,"Arie M. den Toom (https://commons.wikimedia.org/wiki/File:New_hampshire_hen_26_weken.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
3,10,chicken,2,https://pxhere.com/en/photo/873254,In public domain
3,11,chicken,3,https://pxhere.com/en/photo/1191717,In public domain
3,12,chicken,4,https://commons.wikimedia.org/wiki/File:Archeon_Kip_(5768461642).jpg,"Martijn vdS from The Netherlands (https://commons.wikimedia.org/wiki/File:Archeon_Kip_(5768461642).jpg), „Archeon Kip (5768461642)“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
4,13,duck,1,https://commons.wikimedia.org/wiki/File:Male_mallard_duck_2.jpg,"I, Acarpentier (https://commons.wikimedia.org/wiki/File:Male_mallard_duck_2.jpg), „Male mallard duck 2“, background removed by RvH, https://creativecommons.org/licenses/by/3.0/legalcode"
4,14,duck,2,https://pxhere.com/en/photo/1371070,In public domain
4,15,duck,3,https://commons.wikimedia.org/wiki/File:Anas_platyrhynchos_male_female_quadrat.jpg,"This picture was realized by Richard Bartz by using a Canon EF 70-300mm f/4-5.6 IS USM Lens (https://commons.wikimedia.org/wiki/File:Anas_platyrhynchos_male_female_quadrat.jpg), „Anas platyrhynchos male female quadrat“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.5/legalcode"
4,16,duck,4,https://commons.wikimedia.org/wiki/File:Anas_platyrhynchos_male_female_quadrat.jpg,"This picture was realized by Richard Bartz by using a Canon EF 70-300mm f/4-5.6 IS USM Lens (https://commons.wikimedia.org/wiki/File:Anas_platyrhynchos_male_female_quadrat.jpg), „Anas platyrhynchos male female quadrat“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.5/legalcode"
5,17,ostrich,1,https://commons.wikimedia.org/wiki/File:Ostrich_(Struthio_camelus)_male_(13994461256).jpg,"Bernard DUPONT from FRANCE (https://commons.wikimedia.org/wiki/File:Ostrich_(Struthio_camelus)_male_(13994461256).jpg), „Ostrich (Struthio camelus) male (13994461256)“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
5,18,ostrich,2,https://commons.wikimedia.org/wiki/File:North_African_ostrich_(Struthio_camelus_camelus)_male.jpg,"Charles J. Sharp creator QS:P170,Q54800218 (https://commons.wikimedia.org/wiki/File:North_African_ostrich_(Struthio_camelus_camelus)_male.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
5,19,ostrich,3,https://www.pexels.com/photo/black-and-white-ostrich-on-brown-grass-field-3640270/,"Frans van Heerden, in public domain"
5,20,ostrich,4,https://commons.wikimedia.org/wiki/File:Struisvogel_heeft_er_zin_in.._(6693815051).jpg,"Martijn.Munneke from Netherlands (https://commons.wikimedia.org/wiki/File:Struisvogel_heeft_er_zin_in.._(6693815051).jpg), „Struisvogel heeft er zin in.. (6693815051)“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
6,21,robin,1,https://commons.wikimedia.org/wiki/File:Erithacus_rubecula_with_cocked_head.jpg,"Francis C. Franklin / CC-BY-SA-3.0 (https://commons.wikimedia.org/wiki/File:Erithacus_rubecula_with_cocked_head.jpg), „Erithacus rubecula with cocked head“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
6,22,robin,2,"https://commons.wikimedia.org/wiki/File:Robin_Redbreast_at_Greenwich_Park,_London.jpg","Keven Law from Los Angeles, USA (https://commons.wikimedia.org/wiki/File:Robin_Redbreast_at_Greenwich_Park,_London.jpg), „Robin Redbreast at Greenwich Park, London“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
6,23,robin,3,"https://commons.wikimedia.org/wiki/File:Erithacus_rubecula,_Roodborstje.jpg","Rasbak (https://commons.wikimedia.org/wiki/File:Erithacus_rubecula,_Roodborstje.jpg), „Erithacus rubecula, Roodborstje“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
