,ppn,object,image,response,response_corrected,recognition_RT,first_key_RT,name_agreement,H_statistic,Normalised_H_statistic,unknown_osullivan_et_al,idiosyncratic_osullivan_et_al,nonobject_osullivan_et_al,physically_dissimilar,is_natural,is_modal,modalWordFreq,responseWordFreq,modalWordLength,responseWordLength,responseProductionFreq,responseProductionFreq_non_outlier,is_invalid,is_rt_outlier,not_in_subtlex_uk
1,ppt_1,teacup,teacup_3.png,cup and saucer,cup and saucer,851,77.2,33.33333333,2.290988571,0.816066594,0,1,0,0,0,0,5.09,NA,3,12,11,NA,0,0,1
2,ppt_1,tulip,tulip_1.png,flower,flower,922.5,88.7,60.60606061,1.121421031,0.707537895,0,0,0,0,1,1,4.5,4.5,6,6,20,20,0,0,0
3,ppt_1,lawnmower,lawnmower_1.png,sk,NA,4669.6,75,42.42424242,NA,NA,0,0,0,0,NA,NA,2.799539447,NA,9,NA,4,4,1,1,1
4,ppt_1,sedan,sedan_1.png,car,car,955.7,84.1,87.87878788,0.631171805,0.398225072,0,0,0,0,0,1,5.44,5.44,3,3,29,29,0,0,0
5,ppt_1,bat,bat_1.png,bat,bat,775.1,87.1,93.93939394,0.390452131,0.246347867,0,0,0,0,1,1,4.3,4.3,3,3,31,31,0,0,0
6,ppt_1,sportster,sportster_4.png,car,car,549.1,73.7,81.81818182,1.032819496,0.444811146,0,0,0,0,0,1,5.44,5.44,3,3,27,27,0,0,0
7,ppt_1,mug,mug_1.png,mug,mug,555.8,72.2,66.66666667,1.206914707,0.603457353,0,0,0,0,0,1,3.93,3.93,3,3,22,22,0,0,0
8,ppt_1,ostrich,ostrich_3.png,ostrich,ostrich,515.1,74,72.72727273,1.323364195,0.569941936,0,0,0,0,1,1,3.52,3.52,7,7,24,24,0,0,0
9,ppt_1,firetruck,firetruck_1.png,fire engine,fire engine,1933.9,71.8,75.75757576,1.223290945,0.526842734,0,0,0,0,0,1,3.175742669,3.175742669,10,10,25,24,0,0,0
10,ppt_1,breadbox,breadbox_1.png,lock box,lock box,550.9,71.3,33.33333333,2.849900914,0.85790566,0,0,0,0,0,0,5.12,1.394705731,3,7,5,5,0,0,0
11,ppt_1,rose,rose_3.png,rose,rose,743.2,68.1,87.87878788,0.631171805,0.398225072,0,0,0,0,1,1,4.64,4.64,4,4,29,29,0,0,0
12,ppt_1,toadstool,toadstool_1.png,mushroom,mushroom,588.5,77.6,69.6969697,1.277527832,0.638763916,0,0,0,0,1,1,3.87,3.87,8,8,23,23,0,0,0
13,ppt_1,flowerpot,flowerpot_4.png,plant pot,plant pot,794.3,92.7,33.33333333,2.14501834,0.829806366,0,0,0,0,0,1,2.868921995,2.868921995,8,8,11,11,0,0,0
14,ppt_1,peach,peach_2.png,peach,peach,585.3,84.2,87.87878788,0.714653245,0.357326622,0,0,0,0,1,1,3.62,3.62,5,5,29,29,0,0,0
15,ppt_1,lawnmower,lawnmower_2.png,dk,NA,7732.6,80.6,42.42424242,NA,NA,0,0,0,0,NA,NA,2.799539447,NA,9,NA,2,2,1,1,1
16,ppt_1,beer bottle,beer bottle_2.png,beer bottle#,beer bottle,422.9,87.6,57.57575758,1.658631308,0.714333623,0,0,0,0,0,0,4.65,2.18709742,6,10,6,6,0,0,0
17,ppt_1,trolley,trolley_1.png,suitcase,suitcase,962.2,100.2,81.81818182,1.009944118,0.434959256,0,0,0,0,0,1,3.78,3.78,8,8,27,27,0,0,0
18,ppt_1,envelope,envelope_2.png,letter,letter,560.7,64.1,78.78787879,0.87102419,0.549555077,0,0,0,0,0,0,4.1,4.85,8,6,6,6,0,0,0
19,ppt_1,sedan,sedan_3.png,car,car,691.7,95.1,93.93939394,0.32984607,0.32984607,0,0,0,0,0,1,5.44,5.44,3,3,31,31,0,0,0
20,ppt_1,tabby,tabby_3.png,cat,cat,555.2,105.1,93.93939394,0.390452131,0.246347867,0,0,0,0,1,1,4.83,4.83,3,3,31,31,0,0,0
