status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,1494.219,29,44,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,2118.368,25,371,9,97,Germany,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1640.732,33,48,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1724.196,34,77,0,100,New Zealand,United Kingdom,DATA EXPIRED,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),New Zealand,Female,No,I was raised with my native language only
AWAITING REVIEW,1367.937,22,90,1,99,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
TIMED-OUT,13403.313579,21,24,1,98,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2412.489,23,6,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1136.221,24,15,0,100,DATA EXPIRED,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),Ireland,Female,No,I was raised with my native language only
AWAITING REVIEW,1601.193,39,80,0,100,Canada,Canada,Due to start a new job within the next month,I know one other language in addition to English,English,English,Right-handed,Technical/community college,Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,3277.138,36,497,0,100,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,High school diploma/A-levels,United States,Female,Yes,I was raised with my native language only
AWAITING REVIEW,3386.612,33,50,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2689.433,40,153,4,96,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,2461.033,28,31,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I know one other language in addition to English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1500.575,48,415,1,100,Germany,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,5637.783,40,65,0,100,Canada,Canada,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Female,No,I was raised with my native language only
TIMED-OUT,13000.100593,19,263,5,98,United Kingdom,United Kingdom,Other,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
RETURNED,12939.611879,25,30,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,977.322,24,115,0,100,United States,United States,Full-Time,I only know English,English,,Left-handed,Undergraduate degree (BA/BSc/other),United States,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1482.154,44,320,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1609.042,25,623,10,98,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2261.083,35,324,2,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1058.655,30,77,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1666.211,27,235,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1993.532,35,215,0,100,Ireland,Ireland,Full-Time,I know one other language in addition to English,English,English,Left-handed,Graduate degree (MA/MSc/MPhil/other),Ireland,Male,No,I was raised with my native language only
