status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First language,First Language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,2772.111,29,471,8,97,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
TIMED-OUT,35075.12947,30,25,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1122.208,25,46,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2157.46,40,403,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,2156.026,30,6,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
RETURNED,34265.70166,44,648,5,99,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,2344.858,50,49,2,96,United States,United States,Full-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United States,Male,No,I was raised with my native language only
RETURNED,34743.813461,18,6,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,1489.342,27,62,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2259.573,43,61,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
REJECTED,1096.518,29,139,2,98,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1665.653,37,165,1,100,Canada,Canada,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Male,No,I was raised with my native language only
AWAITING REVIEW,1644.705,33,119,2,99,United States,United States,Unemployed (and job seeking),I only know English,English,English,Right-handed,Technical/community college,United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1424.455,36,495,1,100,United States,United States,Other,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Male,No,I was raised with my native language only
