status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First language,First Language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,1309.639,27,130,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,946.987,30,122,1,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1247.559,40,10,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,DATA EXPIRED,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1331.104,32,62,0,100,United States,United States,Unemployed (and job seeking),I only know English,English,DATA EXPIRED,Ambidextrous,Technical/community college,United States,Male,No,I was raised with my native language only
APPROVED,2439.988,21,158,2,98,United States,United States,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United States,Female,Yes,I was raised with my native language only
APPROVED,1243.565,47,232,1,100,United Kingdom,United Kingdom,Part-Time,I know 2 or more languages in addition to English,,English,Left-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,3410.28,23,90,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1360.302,32,87,0,100,Ireland,Ireland,Full-Time,I know one other language in addition to English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Ireland,Female,No,I was raised with my native language only
APPROVED,990.169,24,102,1,100,United States,United States,Part-Time,I only know English,,English,Right-handed,Technical/community college,United States,Female,Yes,I was raised with my native language only
APPROVED,2286.93,49,5,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1573.196,26,7,0,100,Canada,Canada,Part-Time,I know one other language in addition to English,English,,Right-handed,Technical/community college,Canada,Female,No,I was raised with my native language only
APPROVED,1357.884,39,466,3,99,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1005.45,44,245,4,99,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,2043.979,30,86,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,942.794,46,275,9,97,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1032.214,27,197,1,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
APPROVED,3535.203,29,140,3,99,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
APPROVED,904.338,45,252,7,96,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1402.198,30,166,2,100,United States,United States,Unemployed (and job seeking),I only know English,,English,Right-handed,High school diploma/A-levels,United States,Female,Yes,I was raised with my native language only
APPROVED,1042.872,23,226,2,99,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,879.827,38,303,6,97,Ireland,Ireland,Full-Time,I know one other language in addition to English,,English,Right-handed,Undergraduate degree (BA/BSc/other),Ireland,Male,Yes,I was raised with my native language only
APPROVED,1249.88,23,23,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1094.308,18,79,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,DATA EXPIRED,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,Yes,I was raised with my native language only
APPROVED,1200.491,18,62,0,100,United Kingdom,United Kingdom,Other,I only know English,,English,Ambidextrous,Secondary education (e.g. GED/GCSE),United Kingdom,Male,Yes,I was raised with my native language only
APPROVED,1640.328,44,436,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,2024.505,38,21,0,100,United Kingdom,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",I know one other language in addition to English,English,DATA EXPIRED,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1236.021,50,56,0,100,United Kingdom,Ireland,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,Graduate degree (MA/MSc/MPhil/other),Ireland,Male,No,I was raised with my native language only
APPROVED,947.219,28,86,0,100,United Kingdom,Canada,Part-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Female,No,I was raised with my native language only
APPROVED,1262.17,28,33,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,DATA EXPIRED,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,853.175,33,95,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1551.652,41,132,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,2521.695,46,83,1,100,United Kingdom,United Kingdom,Part-Time,I know 2 or more languages in addition to English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1105.935,27,70,3,96,United Kingdom,United Kingdom,Full-Time,I know 2 or more languages in addition to English,,English,Left-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,936.421,31,12,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1182.42,42,394,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1067.094,39,138,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1202.387,31,98,2,99,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1014.868,22,109,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1451.515,32,443,2,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1596.121,39,353,1,100,United States,United States,Full-Time,I only know English,English,English,Left-handed,High school diploma/A-levels,United States,Female,No,I was raised with my native language only
RETURNED,16410.263188,19,30,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,1152.667,51,1169,6,100,United Kingdom,United States,Full-Time,I know 2 or more languages in addition to English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1575.389,28,327,2,100,United States,United States,Other,I only know English,English,English,Ambidextrous,High school diploma/A-levels,United States,Male,Yes,I was raised with my native language only
APPROVED,1412.116,34,4,0,100,Ireland,Ireland,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),Ireland,Female,No,I was raised with my native language only
APPROVED,1527.669,37,243,1,100,United States,United States,Unemployed (and job seeking),I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Female,No,I was raised with my native language only
APPROVED,1382.893,40,519,0,100,United States,United States,Other,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United States,Male,No,I was raised with my native language only
APPROVED,679.958,33,515,1,100,United Kingdom,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Male,No,I was raised with my native language only
APPROVED,794.688,39,91,0,100,Canada,Canada,Other,I only know English,English,English,Left-handed,Technical/community college,Canada,Female,No,I was raised with my native language only
APPROVED,623.641,43,216,4,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
