status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
AWAITING REVIEW,1323.283,33,16,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2144.46,33,22,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1408.527,36,19,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,946.871,34,274,2,100,United Kingdom,United Kingdom,Full-Time,I know one other language in addition to English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1429.029,21,81,0,100,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",I know one other language in addition to English,English,,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1240.865,19,18,0,100,United Kingdom,United Kingdom,Other,I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,670.845,31,280,4,97,United Kingdom,United Kingdom,Other,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1156.648,24,29,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1651.34,49,164,3,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2005.184,30,107,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1415.615,35,293,2,100,Canada,Canada,Other,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Male,No,I was raised with my native language only
RETURNED,55371.688278,25,15,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,852.124,27,117,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1079.049,39,175,1,100,United Kingdom,United Kingdom,Other,I know one other language in addition to English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,3016.772,22,303,1,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,649.258,34,28,0,100,United Kingdom,United Kingdom,Full-Time,I know 2 or more languages in addition to English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,956.768,29,53,1,96,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2094.895,49,427,3,99,United States,United States,Part-Time,I only know English,English,English,Ambidextrous,Undergraduate degree (BA/BSc/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1334.72,23,19,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,409.302,28,35,2,98,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Left-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1489.075,34,253,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1615.304,20,133,3,98,United Kingdom,United Kingdom,Other,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2123.611,33,50,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1696.603,48,481,13,95,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1115.418,32,43,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2373.068,34,1,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1442.445,49,19,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
RETURNED,54997.183795,30,105,1,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,2630.524,48,92,0,100,Canada,Canada,Full-Time,I only know English,English,English,Ambidextrous,Technical/community college,Canada,Male,No,I was raised with my native language only
AWAITING REVIEW,1204.859,20,38,1,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1259.073,22,84,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1118.25,28,37,0,100,United Kingdom,United Kingdom,Other,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
TIMED-OUT,54942.434684,25,37,1,97,United Kingdom,United Kingdom,Full-Time,I know one other language in addition to English,English,,Left-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2248.872,25,66,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,998.229,38,29,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1612.875,21,17,0,100,Canada,Canada,Part-Time,I only know English,,English,Right-handed,High school diploma/A-levels,Canada,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1064.102,28,552,3,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1114.36,49,254,1,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1057.76,25,61,0,100,United States,United States,Due to start a new job within the next month,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Female,No,I was raised with my native language only
