Recommended Column Name,Description
participant_id,Unique identifier assigned to each participant.
trial_id,Unique identifier for a single trial within a session or condition.
trial_order,Presentation order within the session (0-indexed).
phase_id,Identifier for the experimental phase or block a trial belongs to.
list,Dataset-specific numeric surrogate for the studied/critical-lure list identity.
list_name,Critical-lure label identifying the list (e.g., ago, amaro, alto).
accuracy,Binary indicator of whether the participant's response was correct.
condition,Experimental condition assigned to the trial.
stimulus,The word presented in the current study or recognition trial.
response,Participant's response; missing for study-phase rows.
experiment,Identifier for the experiment or worksheet source.
