Target;Prime;ID;hand;age;gender;resp;RTs;resp_corr;accuracy
abete;ragno;72;DX;20;F;1;0,506;1;1
abete;ragno;11;DX;23;M;1;0,86985;1;1
abete;ragno;75;DX;24;F;1;0,56046;1;1
abete;ragno;36;DX;21;M;1;0,63528;1;1
abete;ragno;25;DX;21;F;1;0,679865;1;1
abete;ragno;13;DX;20;M;0;0,508505;1;0
abete;ragno;21;DX;24;F;1;0,5876;1;1
abete;ragno;40;DX;23;F;1;0,756;1;1
abete;ragno;22;DX;23;F;1;0,58087;1;1
abete;ragno;50;DX;22;F;1;0,558;1;1
abete;ragno;55;DX;20;F;1;0,64568;1;1
abete;ragno;15;DX;23;F;1;0,63722;1;1
abete;ragno;1;DX;21;M;1;0,989;1;1
abete;ragno;23;DX;22;M;1;0,980815;1;1
abete;ragno;28;DX;24;F;1;0,545;1;1
abete;ragno;59;DX;22;F;1;0,634385;1;1
abete;ragno;56;SX;22;M;1;0,48331;1;1
abete;ragno;35;DX;23;m;1;0,824;1;1
abete;ragno;53;DX;25;F;1;0,46983;1;1
abete;ragno;66;SX;23;F;1;0,57811;1;1
abete;ragno;73;SX;21;F;1;0,589975;1;1
abete;ragno;19;DX;20;F;1;0,612905;1;1
abete;ragno;49;DX;21;F;1;0,86002;1;1
abete;ragno;32;DX;24;F;1;0,482085;1;1
abete;ragno;41;DX;23;M;1;0,610105;1;1
abete;ragno;39;DX;28;F;1;0,612535;1;1
abete;ragno;70;DX;24;F;1;0,612485;1;1
abete;ragno;71;DX;21;M;1;0,62713;1;1
abete;ragno;14;DX;21;M;1;0,5;1;1
abete;ragno;60;DX;20;F;1;0,588315;1;1
abete;ragno;3;DX;21;F;1;0,524085;1;1
abete;ragno;37;DX;20;F;1;0,63838;1;1
abete;ragno;27;DX;22;F;1;0,64362;1;1
abete;ragno;57;DX;29;F;1;0,63505;1;1
abete;ragno;16;DX;27;F;1;0,6331;1;1
abete;ragno;64;DX;24;M;1;0,51533;1;1
abete;ragno;18;DX;23;F;1;0,584145;1;1
abete;ragno;33;DX;22;M;0;0,415;1;0
abete;ragno;48;DX;21;F;1;0,718825;1;1
abete;ragno;52;DX;22;F;1;0,601;1;1
abete;ragno;30;DX;27;F;1;0,616465;1;1
abete;ragno;69;DX;24;F;1;0,75571;1;1
abete;ragno;47;DX;22;F;1;0,51137;1;1
abete;ragno;65;DX;35;F;1;0,707;1;1
abete;ragno;58;DX;33;F;1;0,44776;1;1
abete;ragno;9;DX;26;F;1;0,64678;1;1
abete;ragno;62;SX;24;M;1;0,49044;1;1
abete;ragno;51;DX;25;M;1;0,571645;1;1
abete;ragno;68;DX;23;F;1;0,96219;1;1
abete;ragno;63;DX;22;F;1;0,700875;1;1
abete;ragno;6;DX;30;F;1;0,484115;1;1
abete;ragno;4;DX;30;M;1;0,557025;1;1
abete;ragno;74;DX;24;M;1;0,67313;1;1
abete;ragno;24;DX;22;F;1;0,673025;1;1
abete;ragno;67;DX;24;M;1;0,85751;1;1
abete;ragno;54;DX;26;F;1;0,53193;1;1
abete;ragno;42;DX;23;M;1;0,619105;1;1
abete;ragno;2;DX;27;F;1;0,698;1;1
abete;ragno;38;DX;20;F;1;0,59852;1;1
abete;ragno;43;DX;22;M;1;0,586865;1;1
abete;ragno;31;DX;27;F;1;0,68134;1;1
abete;ragno;26;DX;21;F;1;1,24615;1;1
abete;ragno;34;DX;22;F;1;0,40123;1;1
abete;ragno;8;SX;21;F;1;0,799995;1;1
abete;ragno;45;DX;21;F;1;0,73763;1;1
abete;ragno;20;DX;22;F;1;0,401275;1;1
abete;ragno;46;DX;22;F;0;0,467595;1;0
abete;ragno;12;DX;23;M;1;0,52116;1;1
abete;ragno;5;DX;24;F;0;0,541605;1;0
abete;ragno;7;DX;21;F;1;0,49807;1;1
abete;ragno;29;DX;24;F;1;0,635435;1;1
abete;ragno;61;DX;25;M;1;0,634355;1;1
abete;ragno;44;DX;24;M;1;0,61203;1;1
abete;ragno;10;DX;23;F;0;0,547655;1;0
