experiment,participant_id,trial_id,trial_order,phase_id,prime,target,response,response_correct,accuracy,rt,age,gender,hand
semantic_priming,72,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.506,20,F,right
semantic_priming,11,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.86985,23,M,right
semantic_priming,75,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.56046,24,F,right
semantic_priming,36,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.63528,21,M,right
semantic_priming,25,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.679865,21,F,right
semantic_priming,13,exp1_t0,0,judgment,ragno,abete,0.0,1,0.0,0.508505,20,M,right
semantic_priming,21,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.5876,24,F,right
semantic_priming,40,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.756,23,F,right
semantic_priming,22,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.58087,23,F,right
semantic_priming,50,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.558,22,F,right
semantic_priming,55,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.64568,20,F,right
semantic_priming,15,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.63722,23,F,right
semantic_priming,1,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.989,21,M,right
semantic_priming,23,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.980815,22,M,right
semantic_priming,28,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.545,24,F,right
semantic_priming,59,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.634385,22,F,right
semantic_priming,56,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.48331,22,M,left
semantic_priming,35,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.824,23,M,right
semantic_priming,53,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.46983,25,F,right
semantic_priming,66,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.57811,23,F,left
semantic_priming,73,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.589975,21,F,left
semantic_priming,19,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.612905,20,F,right
semantic_priming,49,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.86002,21,F,right
semantic_priming,32,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.482085,24,F,right
semantic_priming,41,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.610105,23,M,right
semantic_priming,39,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.612535,28,F,right
semantic_priming,70,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.612485,24,F,right
semantic_priming,71,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.62713,21,M,right
semantic_priming,14,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.5,21,M,right
semantic_priming,60,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.588315,20,F,right
semantic_priming,3,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.524085,21,F,right
semantic_priming,37,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.63838,20,F,right
semantic_priming,27,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.64362,22,F,right
semantic_priming,57,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.63505,29,F,right
semantic_priming,16,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.6331,27,F,right
semantic_priming,64,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.51533,24,M,right
semantic_priming,18,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.584145,23,F,right
semantic_priming,33,exp1_t0,0,judgment,ragno,abete,0.0,1,0.0,0.415,22,M,right
semantic_priming,48,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.718825,21,F,right
semantic_priming,52,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.601,22,F,right
semantic_priming,30,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.616465,27,F,right
semantic_priming,69,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.75571,24,F,right
semantic_priming,47,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.51137,22,F,right
semantic_priming,65,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.707,35,F,right
semantic_priming,58,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.44776,33,F,right
semantic_priming,9,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.64678,26,F,right
semantic_priming,62,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.49044,24,M,left
semantic_priming,51,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.571645,25,M,right
semantic_priming,68,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.96219,23,F,right
semantic_priming,63,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.700875,22,F,right
semantic_priming,6,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.484115,30,F,right
semantic_priming,4,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.557025,30,M,right
semantic_priming,74,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.67313,24,M,right
semantic_priming,24,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.673025,22,F,right
semantic_priming,67,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.85751,24,M,right
semantic_priming,54,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.53193,26,F,right
semantic_priming,42,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.619105,23,M,right
semantic_priming,2,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.698,27,F,right
semantic_priming,38,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.59852,20,F,right
semantic_priming,43,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.586865,22,M,right
semantic_priming,31,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.68134,27,F,right
semantic_priming,26,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,1.24615,21,F,right
semantic_priming,34,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.40123,22,F,right
