ID;condition;text;text2;age;gender;hand;RTs;resp
1;A;dono;perspicacia;24;M;DX;1975;perspicacia
1;A;incidente;colpa;24;M;DX;1471;colpa
1;A;lussuria;prateria;24;M;DX;2797;lussuria
1;A;insolente;vasca;24;M;DX;1218;insolente
1;A;camera;cortesia;24;M;DX;1938;cortesia
1;A;musica;violino;24;M;DX;1453;musica
1;A;avventura;vacanza;24;M;DX;1470;avventura
1;A;scarafaggio;orribile;24;M;DX;1436;orribile
1;A;laureato;dio;24;M;DX;1874;dio
1;A;assediato;ferito;24;M;DX;1068;assediato
1;A;rosso;bicchiere;24;M;DX;1443;rosso
1;A;estasi;sughero;24;M;DX;1508;estasi
1;A;mercato;vantaggio;24;M;DX;1143;vantaggio
1;A;dollaro;utile;24;M;DX;1054;utile
1;A;piatto;insipido;24;M;DX;988;insipido
1;A;muscoloso;debole;24;M;DX;2495;debole
1;A;disprezzo;sorriso;24;M;DX;2722;disprezzo
1;A;aereo;allerta;24;M;DX;2408;allerta
1;A;grezzo;barile;24;M;DX;1503;grezzo
1;A;pianta;saggio;24;M;DX;2757;saggio
1;A;cappello;rovente;24;M;DX;2539;rovente
1;A;ricatto;schiaffo;24;M;DX;2779;ricatto
1;A;crepuscolo;orologio;24;M;DX;1457;crepuscolo
1;A;lavare;attivare;24;M;DX;2890;attivare
1;A;vetro;giustizia;24;M;DX;918;giustizia
1;A;ulivo;ambizione;24;M;DX;960;ambizione
1;A;pentola;mente;24;M;DX;1317;mente
1;A;immorale;attrezzo;24;M;DX;1031;immorale
1;A;puzza;stufa;24;M;DX;2403;puzza
1;A;paralisi;sedia;24;M;DX;2008;paralisi
1;A;idiota;scimmia;24;M;DX;2387;idiota
1;A;pugnale;fortuito;24;M;DX;2140;fortuito
1;A;dentista;fiducioso;24;M;DX;1323;fiducioso
1;A;carcere;pena;24;M;DX;1454;pena
1;A;precipizio;orrore;24;M;DX;1371;orrore
1;A;intelletto;idrante;24;M;DX;1241;intelletto
1;A;libreria;spazio;24;M;DX;1902;spazio
1;A;maglia;vincere;24;M;DX;2470;vincere
1;A;poesia;penna;24;M;DX;2812;poesia
1;A;paletta;collisione;24;M;DX;1751;collisione
1;A;tromba;potenza;24;M;DX;2557;potenza
1;A;dormire;paradiso;24;M;DX;1637;paradiso
1;A;rasoio;stritolare;24;M;DX;1504;stritolare
1;A;onore;vino;24;M;DX;1155;onore
1;A;maniaco;ossessione;24;M;DX;1756;ossessione
1;A;attico;modesto;24;M;DX;1499;modesto
1;A;cavallo;arte;24;M;DX;1458;arte
1;A;vaso;gloria;24;M;DX;1507;gloria
1;A;magnifico;zanzara;24;M;DX;925;magnifico
1;A;infuriato;forchetta;24;M;DX;1340;infuriato
1;A;abito;solenne;24;M;DX;1216;solenne
1;A;meraviglia;cornice;24;M;DX;2211;meraviglia
1;A;tavolo;pressione;24;M;DX;1907;pressione
1;A;gattino;dettaglio;24;M;DX;2441;dettaglio
1;A;finestra;triste;24;M;DX;923;triste
1;A;brutale;miele;24;M;DX;1124;brutale
1;A;deforme;tronco;24;M;DX;1869;deforme
1;A;fastidio;naso;24;M;DX;2388;fastidio
1;A;scrivania;pensieroso;24;M;DX;1887;pensieroso
1;A;fetido;calza;24;M;DX;1369;fetido
1;A;ispirato;geranio;24;M;DX;1507;ispirato
1;A;diavolo;prigione;24;M;DX;1875;diavolo
1;A;annoiato;mestolo;24;M;DX;1121;annoiato
1;A;appetitoso;pizza;24;M;DX;1177;appetitoso
1;A;coltello;demonio;24;M;DX;948;demonio
1;A;mobilita;gomma;24;M;DX;1301;mobilita
1;A;freddo;cappotto;24;M;DX;2438;freddo
1;A;riparato;tenda;24;M;DX;1106;riparato
1;A;corrotto;gonna;24;M;DX;1253;corrotto
1;A;miracolo;applauso;24;M;DX;1462;miracolo
1;A;giardino;salute;24;M;DX;2620;salute
1;A;gatto;spaventato;24;M;DX;2088;spaventato
1;A;grave;caviglia;24;M;DX;1228;grave
1;A;elefante;innocente;24;M;DX;1908;innocente
1;A;bocca;riverente;24;M;DX;1790;riverente
1;A;giocattolo;insipido;24;M;DX;2200;insipido
1;A;leggenda;scala;24;M;DX;1473;leggenda
1;A;ottimismo;profumo;24;M;DX;1803;ottimismo
1;A;sedile;agile;24;M;DX;1415;agile
1;A;statua;audace;24;M;DX;2011;audace
1;A;occhio;inganno;24;M;DX;2427;inganno
1;A;umano;morale;24;M;DX;2859;morale
1;A;causa;stomaco;24;M;DX;2333;causa
1;A;febbre;pino;24;M;DX;1825;febbre
1;A;rancido;insalata;24;M;DX;1393;rancido
1;A;latte;fetore;24;M;DX;1151;fetore
