condition;ID;gender;age;text;text2;type;resp
1;1;Femmina;24;ulivo;ambizione;trackpad;ambizione
1;1;Femmina;24;orecchio;disturbare;trackpad;disturbare
1;1;Femmina;24;leggenda;scala;trackpad;leggenda
1;1;Femmina;24;caos;quaderno;trackpad;caos
1;1;Femmina;24;ispirato;geranio;trackpad;ispirato
1;1;Femmina;24;coltello;demonio;trackpad;demonio
1;1;Femmina;24;maniaco;ossessione;trackpad;ossessione
1;1;Femmina;24;precipizio;orrore;trackpad;orrore
1;1;Femmina;24;idiota;scimmia;trackpad;idiota
1;1;Femmina;24;dentista;fiducioso;trackpad;fiducioso
1;1;Femmina;24;insolente;vasca;trackpad;insolente
1;1;Femmina;24;dono;perspicacia;trackpad;perspicacia
1;1;Femmina;24;finestra;triste;trackpad;triste
1;1;Femmina;24;giardino;salute;trackpad;salute
1;1;Femmina;24;maglia;vincere;trackpad;vincere
1;1;Femmina;24;fastidio;naso;trackpad;fastidio
1;1;Femmina;24;disprezzo;sorriso;trackpad;disprezzo
1;1;Femmina;24;paralisi;sedia;trackpad;paralisi
1;1;Femmina;24;riparato;tenda;trackpad;riparato
1;1;Femmina;24;poesia;penna;trackpad;poesia
1;1;Femmina;24;buio;balcone;trackpad;buio
1;1;Femmina;24;laureato;dio;trackpad;dio
1;1;Femmina;24;camera;cortesia;trackpad;cortesia
1;1;Femmina;24;incidente;colpa;trackpad;colpa
1;1;Femmina;24;veloce;vespa;trackpad;veloce
1;1;Femmina;24;gatto;spaventato;trackpad;spaventato
1;1;Femmina;24;mobilita;gomma;trackpad;mobilita
1;1;Femmina;24;stanco;divano;trackpad;stanco
1;1;Femmina;24;causa;stomaco;trackpad;causa
1;1;Femmina;24;estasi;sughero;trackpad;estasi
1;1;Femmina;24;libreria;spazio;trackpad;spazio
1;1;Femmina;24;prestigio;lusso;trackpad;prestigio
1;1;Femmina;24;miracolo;applauso;trackpad;miracolo
1;1;Femmina;24;vaso;gloria;trackpad;gloria
1;1;Femmina;24;scrivania;pensieroso;trackpad;pensieroso
1;1;Femmina;24;umano;morale;trackpad;morale
1;1;Femmina;24;elefante;innocente;trackpad;innocente
1;1;Femmina;24;muscoloso;debole;trackpad;debole
1;1;Femmina;24;infuriato;forchetta;trackpad;forchetta
1;1;Femmina;24;gomito;astio;trackpad;astio
1;1;Femmina;24;vetro;giustizia;trackpad;giustizia
1;1;Femmina;24;giocattolo;insipido;trackpad;insipido
1;1;Femmina;24;aereo;allerta;trackpad;allerta
1;1;Femmina;24;grato;abbraccio;trackpad;grato
1;1;Femmina;24;meraviglia;cornice;trackpad;meraviglia
1;1;Femmina;24;attico;modesto;trackpad;modesto
1;1;Femmina;24;guarire;ospedale;trackpad;guarire
1;1;Femmina;24;dollaro;utile;trackpad;utile
1;1;Femmina;24;musica;violino;trackpad;musica
1;1;Femmina;24;rancido;insalata;trackpad;rancido
1;1;Femmina;24;infedele;sposa;trackpad;infedele
1;1;Femmina;24;sedile;agile;trackpad;agile
1;1;Femmina;24;diavolo;prigione;trackpad;diavolo
1;1;Femmina;24;evidente;serbatoio;trackpad;evidente
1;1;Femmina;24;sfera;fase;trackpad;fase
1;1;Femmina;24;bicicletta;passione;trackpad;passione
1;1;Femmina;24;frigido;forcina;trackpad;frigido
1;1;Femmina;24;ricatto;schiaffo;trackpad;ricatto
1;1;Femmina;24;pentola;mente;trackpad;mente
1;1;Femmina;24;appetitoso;pizza;trackpad;appetitoso
1;1;Femmina;24;rosso;bicchiere;trackpad;rosso
1;1;Femmina;24;piatto;insipido;trackpad;insipido
1;1;Femmina;24;abito;solenne;trackpad;solenne
1;1;Femmina;24;ostile;nuvoloso;trackpad;ostile
1;1;Femmina;24;gattino;dettaglio;trackpad;dettaglio
1;1;Femmina;24;latte;fetore;trackpad;fetore
1;1;Femmina;24;freddo;cappotto;trackpad;freddo
1;1;Femmina;24;vittoria;ombrello;trackpad;vittoria
1;1;Femmina;24;caramella;melodia;trackpad;melodia
1;1;Femmina;24;corrotto;gonna;trackpad;corrotto
1;1;Femmina;24;cavallo;arte;trackpad;arte
1;1;Femmina;24;carcere;pena;trackpad;pena
1;1;Femmina;24;fetido;calza;trackpad;fetido
