Cit2;Cit1;ID;age;gender;hand;resp;RTs;accuracy
Bologna;Bolzano;manfredi25;22;M;DX;l;976,6;1
Bologna;Bolzano;valentina48;21;FALSE;DX;a;1062,8;0
Bologna;Bolzano;sara71;21;FALSE;DX;l;1611,9;1
Bologna;Bolzano;serena;25;FALSE;DX;a;1707,8;0
Bologna;Bolzano;SF2002;20;FALSE;SX;l;2766,5;1
Bologna;Bolzano;arianna18;21;FALSE;DX;l;1370,2;1
Bologna;Bolzano;GiorgioLazzari;24;M;DX;l;2136,7;1
Bologna;Bolzano;SD1999;23;FALSE;DX;a;1409,6;0
Bologna;Bolzano;martina49;22;FALSE;DX;l;1179,8;1
Bologna;Bolzano;sean27;27;M;DX;l;1883;1
Bologna;Bolzano;federica17;22;FALSE;DX;l;1339,8;1
Bologna;Bolzano;andra12;23;FALSE;DX;a;977,315;0
Bologna;Bolzano;ilaria51;24;FALSE;DX;a;871;0
Bologna;Bolzano;valentina45;21;FALSE;DX;l;1019,4;1
Bologna;Bolzano;LF1998;24;FALSE;DX;l;1410;1
Bologna;Bolzano;gaia4;19;FALSE;DX;l;1327,7;1
Bologna;Bolzano;emanuela36;20;FALSE;DX;l;1522;1
Bologna;Bolzano;laura9;26;FALSE;DX;a;717,3;0
Bologna;Bolzano;martina3;21;FALSE;DX;l;1331,2;1
Bologna;Bolzano;  iliaria37;21;FALSE;SX;l;1593,3;1
Bologna;Bolzano;edoardo52;23;M;DX;a;1384;0
Bologna;Bolzano;lorenzo64;20;M;DX;l;1926;1
Bologna;Bolzano;vittoria67;23;FALSE;DX;a;1432,4;0
Bologna;Bolzano;ilenia70;24;FALSE;DX;l;1908;1
Bologna;Bolzano;CAL1999;23;FALSE;DX;a;1267,4;0
Bologna;Bolzano;eleonora13;20;FALSE;DX;l;2069,2;1
Bologna;Bolzano;Eleonora;28;FALSE;DX;a;1580,4;0
Bologna;Bolzano;denise33;21;FALSE;DX;a;1321,6;0
Bologna;Bolzano;SB2001;21;FALSE;DX;a;1299;0
Bologna;Bolzano;samuele47;24;M;DX;l;1489,6;1
Bologna;Bolzano;giulia28;25;FALSE;dx;l;1039;1
Bologna;Bolzano;Laura66;20;FALSE;DX;l;2108;1
Bologna;Bolzano;elide10;24;FALSE;DX;l;1272,2;1
Bologna;Bolzano;riccardo72;22;M;DX;a;740,1;0
Bologna;Bolzano;lucrezia26;21;FALSE;DX;a;660,4;0
Bologna;Bolzano;lucrezia32;22;FALSE;DX ;a;2737;0
Bologna;Bolzano;cristina16;20;FALSE;DX;l;2219,6;1
Bologna;Bolzano;giulia23;22;FALSE;DX;l;1905;1
Bologna;Bolzano;gf2002;20;f;dx;a;1419,8;0
Bologna;Bolzano;francesco68;27;M;SX;l;1716,9;1
Bologna;Bolzano;susanna2;21;FALSE;DX;l;1566,9;1
Bologna;Bolzano;alex35;28;M;DX;l;1092,7;1
