"Id_Session"	"Device"	"Age"	"Gender"	"Raising"	"Education"	"Proficiency"	"First_Contact"	"Mother"	"Father"	"Exposure"	"Languages"
1	"PC"	60	"Home"	"Catalunya"	3	7	0	"Català"	"Català"	80	2
2	"MB"	36	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	70	3
4	"MB"	36	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	70	3
5	"MB"	36	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	70	3
6	"MB"	34	"Home"	"Catalunya"	8	7	0	"Castellà"	"Català"	90	4
7	"MB"	30	"Home"	"Catalunya"	7	7	0	"Castellà"	"Català"	70	3
8	"PC"	33	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
9	"MB"	63	"Dona"	"Catalunya"	7	4	0	"Català"	"Castellà"	70	2
12	"PC"	51	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	80	3
13	"MB"	63	"Dona"	"Catalunya"	7	4	0	"Català"	"Castellà"	70	2
14	"PC"	51	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	80	3
17	"PC"	51	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	80	3
20	"MB"	48	"Dona"	"Catalunya"	5	5	0	"Català"	"Català"	70	2
21	"MB"	70	"Home"	"Catalunya"	7	4	0	"Català"	"Català"	90	2
23	"MB"	28	"Dona"	"Catalunya"	8	7	0	"Castellà"	"Català"	50	3
27	"MB"	27	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	80	3
28	"PC"	36	"Dona"	"Catalunya"	8	7	0	"Castellà"	"Català"	30	3
32	"MB"	24	"Dona"	"Catalunya"	7	5	0	"Català"	"Castellà"	90	3
33	"MB"	25	"Dona"	"Catalunya"	5	7	0	"Català"	"Català"	100	3
34	"MB"	42	"Dona"	"Catalunya"	7	5	0	"Català"	"Castellà"	80	2
37	"MB"	41	"Home"	"Balears"	7	4	0	"Català"	"Català"	20	3
39	"MB"	39	"Home"	"Balears"	7	5	0	"Català"	"Català"	80	2
40	"MB"	36	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	70	3
42	"MB"	26	"Home"	"Catalunya"	4	7	0	"Català"	"Català"	50	2
43	"MB"	42	"Dona"	"Catalunya"	7	7	0	"Castellà"	"Català"	50	3
44	"MB"	42	"Home"	"Balears"	7	5	0	"Català"	"Català"	100	3
46	"PC"	56	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	80	2
47	"MB"	30	"Home"	"Catalunya"	8	6	0	"Català"	"Castellà"	50	3
48	"MB"	25	"Dona"	"Catalunya"	8	5	0	"Català"	"Català"	90	3
49	"MB"	25	"Dona"	"Catalunya"	8	5	0	"Català"	"Català"	90	3
50	"MB"	40	"Home"	"Balears"	7	5	0	"Català"	"Català"	80	3
52	"MB"	51	"Dona"	"Balears"	7	5	0	"Català"	"Català"	100	4
54	"MB"	37	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	90	4
55	"MB"	39	"Home"	"Catalunya"	3	7	0	"Català"	"Català"	10	2
57	"MB"	29	"Home"	"Catalunya"	5	7	0	"Català"	"Català"	90	4
59	"MB"	43	"Dona"	"Catalunya"	8	5	0	"Català"	"Català"	70	3
60	"MB"	36	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
61	"MB"	29	"Home"	"Catalunya"	5	7	0	"Català"	"Català"	90	4
62	"MB"	39	"Home"	"Catalunya"	2	5	0	"Català"	"Català"	90	1
66	"MB"	25	"Home"	"Catalunya"	8	7	0	"Català"	"Castellà"	80	3
