"rt","stimulus","key_press","trial_type","trial_id","time_elapsed","internal_node_id","button_pressed","responses","question_order","mod","head","type","participant_id","gender","age","lang","stim","comp","selected"
54654.2499999996,"",NA,"survey-multi-choice",5,169690,"0.0-5.0-0.0",NA,"stove LOCATION IS rear","[0]","rear","stove","outtrain","110435","female",70,"english","rear stove","rearstove","H_location_is_M"
26455.0150000005,"",NA,"survey-multi-choice",6,196403,"0.0-5.0-0.1",NA,"buy FOR protein","[0]","protein","buy","outtrain","110435","female",70,"english","protein buy","proteinbuy","H_for_M"
32527.0299999993,"",NA,"survey-multi-choice",7,229183,"0.0-5.0-0.2",NA,"father IS fine","[0]","fine","father","outtrain","110435","female",70,"english","fine father","finefather","H_is_M"
13026.4649999999,"",NA,"survey-multi-choice",8,242464,"0.0-5.0-0.3",NA,"gown FOR mouse","[0]","mouse","gown","intrain","110435","female",70,"english","mouse gown","mousegown","H_for_M"
42246.7100000003,"",NA,"survey-multi-choice",9,284969,"0.0-5.0-0.4",NA,"bush MADE OF cable","[0]","cable","bush","outtrain","110435","female",70,"english","cable bush","cablebush","H_made_of_M"
15208.4949999998,"",NA,"survey-multi-choice",10,300431,"0.0-5.0-0.5",NA,"mayor MADE OF salt","[0]","salt","mayor","outtrain","110435","female",70,"english","salt mayor","saltmayor","H_made_of_M"
70471.4299999996,"",NA,"survey-multi-choice",11,371159,"0.0-5.0-0.6",NA,"bin LOCATION IS chair","[0]","chair","bin","intrain","110435","female",70,"english","chair bin","chairbin","H_location_is_M"
7472.85000000009,"",NA,"survey-multi-choice",12,378890,"0.0-5.0-0.7",NA,"man MADE OF snow","[0]","snow","man","catch","110435","female",70,"english","snow man","snowman","H_made_of_M"
34664.6300000002,"",NA,"survey-multi-choice",13,413808,"0.0-5.0-0.8",NA,"ball USED BY team","[0]","team","ball","intrain","110435","female",70,"english","team ball","teamball","H_used_by_M"
17240.9850000004,"",NA,"survey-multi-choice",14,431303,"0.0-5.0-0.9",NA,"ware MADE OF stone","[0]","stone","ware","catch","110435","female",70,"english","stone ware","stoneware","H_made_of_M"
12271.6700000001,"",NA,"survey-multi-choice",15,443832,"0.0-5.0-0.10",NA,"brush FOR wood","[0]","wood","brush","intrain","110435","female",70,"english","wood brush","woodbrush","H_for_M"
7277.01499999966,"",NA,"survey-multi-choice",16,451361,"0.0-5.0-0.11",NA,"fish MADE OF tin","[0]","tin","fish","intrain","110435","female",70,"english","tin fish","tinfish","H_made_of_M"
52111.0149999995,"",NA,"survey-multi-choice",17,503729,"0.0-5.0-0.12",NA,"coat CAUSED BY paint","[0]","paint","coat","intrain","110435","female",70,"english","paint coat","paintcoat","H_caused_by_M"
14209.3900000009,"",NA,"survey-multi-choice",18,518192,"0.0-5.0-0.13",NA,"singer LOCATION IS lodging","[0]","lodging","singer","outtrain","110435","female",70,"english","lodging singer","lodgingsinger","H_location_is_M"
24536.9700000001,"",NA,"survey-multi-choice",19,542983,"0.0-5.0-0.14",NA,"time FOR tea","[0]","tea","time","catch","110435","female",70,"english","tea time","teatime","H_for_M"
18824.2399999999,"",NA,"survey-multi-choice",20,562065,"0.0-5.0-0.15",NA,"weed LOCATION IS back","[0]","back","weed","intrain","110435","female",70,"english","back weed","backweed","H_location_is_M"
7154.36500000034,"",NA,"survey-multi-choice",21,569473,"0.0-5.0-0.16",NA,"comb FOR pony","[0]","pony","comb","intrain","110435","female",70,"english","pony comb","ponycomb","H_for_M"
8918.01000000036,"",NA,"survey-multi-choice",22,578645,"0.0-5.0-0.17",NA,"stain CAUSED BY fear","[0]","fear","stain","outtrain","110435","female",70,"english","fear stain","fearstain","H_caused_by_M"
50066.9250000002,"",NA,"survey-multi-choice",23,628968,"0.0-5.0-0.18",NA,"fusion BY turbo","[0]","turbo","fusion","outtrain","110435","female",70,"english","turbo fusion","turbofusion","H_by_M"
31031.9599999994,"",NA,"survey-multi-choice",24,660254,"0.0-5.0-0.19",NA,"scheme LOCATION IS west","[0]","west","scheme","outtrain","110435","female",70,"english","west scheme","westscheme","H_location_is_M"
