participant_id,age,trial_id,stimulus,response
497,37.0,1,take crest,crest CAUSES take
497,37.0,2,set boat,boat ABOUT set
497,37.0,3,sweat band,band FOR sweat
497,37.0,4,music serial,serial ABOUT music
497,37.0,5,stone ware,ware MADE OF stone
497,37.0,6,number sense,sense ABOUT number
497,37.0,7,torpedo wit,wit HAS torpedo
497,37.0,8,body girl,girl FOR body
497,37.0,9,broad driver,driver IS broad
497,37.0,10,patron stays,stays LOCATION IS patron
497,37.0,11,fort shape,shape IS fort
497,37.0,12,girl man,man IS girl
497,37.0,13,ship head,head IS ship
497,37.0,14,sound craft,craft ABOUT sound
497,37.0,15,band hole,hole IS band
497,37.0,16,copper wood,wood USES copper
497,37.0,17,crew day,day MADE OF crew
497,37.0,18,level trunk,trunk USED BY level
497,37.0,19,soul mother,mother CAUSES soul
497,37.0,20,slap chord,chord MAKES slap
497,37.0,21,ship club,club IS ship
497,37.0,22,brick shadow,brick HAS shadow
497,37.0,23,process tower,tower BY process
497,37.0,24,techno lapse,lapse IS techno
497,37.0,25,mile set,set LOCATION IS mile
497,37.0,26,comic ends,ends DERIVED FROM comic
497,37.0,27,chapter spot,spot USES chapter
497,37.0,28,crank pump,pump USES crank
497,37.0,29,white rush,rush IS white
497,37.0,30,window hole,window LOCATION IS hole
497,37.0,31,battle note,note DURING battle
497,37.0,32,farm mill,mill USES farm
497,37.0,33,sage medal,medal USED BY sage
497,37.0,34,guess county,county USES guess
497,37.0,35,high robin,robin IS high
497,37.0,36,toe bridge,bridge USES toe
497,37.0,37,buffet tide,tide IS buffet
497,37.0,38,tea time,time LOCATION IS tea
497,37.0,39,night ship,night LOCATION IS ship
497,37.0,40,sand ache,ache FOR sand
497,37.0,41,bed maid,maid FOR bed
497,37.0,42,goal game,game IS goal
497,37.0,43,weather sail,weather HAS sail
497,37.0,44,rail piece,piece MAKES rail
497,37.0,45,school mill,mill LOCATION IS school
497,37.0,46,web engine,engine HAS web
497,37.0,47,saw meat,meat CAUSED BY saw
497,37.0,48,snow man,man MADE OF snow
497,37.0,49,boat ship,ship USES boat
497,37.0,50,beach stack,stack DURING beach
497,37.0,51,major poster,poster FOR major
497,37.0,52,farm flour,flour MAKES farm
497,37.0,53,chair soil,chair HAS soil
497,37.0,54,dish panel,panel USED BY dish
497,37.0,55,harvest cycle,cycle MADE OF harvest
1776,27.0,1,censor child,child IS censor
1776,27.0,2,dot deck,deck HAS dot
1776,27.0,3,pitch view,view LOCATION IS pitch
1776,27.0,4,drug box,box FOR drug
1776,27.0,5,dog boat,boat FOR dog
1776,27.0,6,cloak robe,robe MAKES cloak
1776,27.0,7,stand quake,quake CAUSES stand
1776,27.0,8,sweat band,band MAKES sweat
1776,27.0,9,tea time,time FOR tea
1776,27.0,10,fist medium,fist LOCATION IS medium
1776,27.0,11,life girl,girl HAS life
1776,27.0,12,hog case,case FOR hog
1776,27.0,13,paint paper,paper FOR paint
1776,27.0,14,film bed,bed HAS film
1776,27.0,15,razor story,story USES razor
1776,27.0,16,part brush,part HAS brush
1776,27.0,17,script flat,flat CAUSED BY script
1776,27.0,18,grass soil,soil FOR grass
1776,27.0,19,tow motor,motor FOR tow
