"","participant_id","rt","trial_id","gender","age","language","speech_therapy","mental_conditions","sentence","test_item","phenomenon","condition","response","accuracy","repetition","stability"
"1","277486",1920.29999995232,18,"female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical","c",1,1,NA
"2","277486",2137.90000009537,22,"female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical","c",1,2,0
"3","277486",1145.70000004768,42,"female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical","c",1,3,0
"4","277486",2403.5,80,"female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical","c",1,4,0
"5","277486",1170.70000004768,112,"female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical","c",1,5,0
"6","277486",3195.70000004768,10,"female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical","n",1,1,NA
"7","277486",2228,40,"female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical","n",1,2,0
"8","277486",1960.40000009537,46,"female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical","n",1,3,0
"9","277486",1812.40000009537,61,"female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical","n",1,4,0
"10","277486",1470.40000009537,88,"female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical","n",1,5,0
"11","277486",4239.59999990463,8,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,1,NA
"12","277486",2078.60000014305,16,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,2,0
"13","277486",3311.89999985695,19,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,3,0
"14","277486",3619,29,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,4,0
"15","277486",2492.5,39,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,5,0
"16","277486",1198.80000019073,50,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,6,0
"17","277486",1217.39999985695,58,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,7,0
"18","277486",645.900000095367,71,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,8,0
"19","277486",448.400000095367,101,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,9,0
"20","277486",355.600000143051,105,"female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical","c",1,10,0
"21","277486",26799.1999998093,11,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,1,NA
"22","277486",3130.5,21,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,2,0
"23","277486",3137.5,26,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,3,0
"24","277486",1938.19999980927,47,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,4,0
"25","277486",2082.70000004768,53,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,5,0
"26","277486",2036.89999985695,55,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,6,0
"27","277486",1368.20000004768,64,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,7,0
"28","277486",671.299999952316,67,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,8,0
"29","277486",708.700000047684,73,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,9,0
"30","277486",408.399999856949,98,"female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical","c",0,10,0
"31","277486",5270.29999995232,9,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,1,NA
"32","277486",2785.29999995232,12,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,2,0
"33","277486",3662.90000009537,23,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,3,0
"34","277486",3756.5,28,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,4,0
"35","277486",1734.70000004768,45,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,5,0
"36","277486",1087.20000004768,48,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,6,0
"37","277486",1425.79999995232,49,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,7,0
"38","277486",849.700000047684,65,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,8,0
"39","277486",429.300000190735,82,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,9,0
"40","277486",349.600000143051,106,"female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical","c",1,10,0
"41","277486",4422.10000014305,7,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,1,NA
"42","277486",2630.5,20,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,2,0
"43","277486",3735,30,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,3,0
"44","277486",2915.60000014305,33,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,4,0
"45","277486",625.5,75,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,5,0
"46","277486",367,92,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,6,0
"47","277486",376.799999952316,96,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,7,0
"48","277486",439.5,100,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,8,0
"49","277486",357.400000095367,102,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,9,0
"50","277486",370,109,"female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical","c",1,10,0
"51","277486",3597.09999990463,17,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,1,NA
"52","277486",2371.29999995232,56,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,2,0
"53","277486",1106.40000009537,59,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,3,0
"54","277486",1268.29999995232,60,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,4,0
"55","277486",639.5,78,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,5,0
"56","277486",450.299999952316,86,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,6,0
"57","277486",325.900000095367,91,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,7,0
"58","277486",376.300000190735,111,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,8,0
"59","277486",519.300000190735,113,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,9,0
"60","277486",335.200000047684,114,"female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical","c",1,10,0
"61","277486",2484.89999985695,13,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,1,NA
"62","277486",4304.5,35,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,2,0
"63","277486",2139.80000019073,41,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,3,0
"64","277486",1685.09999990463,68,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,4,0
"65","277486",860,72,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,5,0
"66","277486",393,93,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,6,0
"67","277486",327.700000047684,94,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,7,0
"68","277486",358.200000047684,99,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,8,0
"69","277486",355.900000095367,107,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,9,0
"70","277486",463.5,110,"female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical","c",1,10,0
"71","277486",6965.40000009537,24,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,1,NA
"72","277486",3632,32,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,2,0
"73","277486",3319.5,36,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,3,0
"74","277486",941.700000047684,57,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,4,0
"75","277486",959.700000047684,62,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,5,0
"76","277486",1018.59999990463,63,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,6,0
"77","277486",519.600000143051,77,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,7,0
"78","277486",561.099999904633,81,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,8,0
"79","277486",1118.20000004768,89,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,9,0
"80","277486",308.300000190735,90,"female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical","c",0,10,0
"81","277486",4525.79999995232,6,"female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical","c",0,1,NA
"82","277486",2655.10000014305,14,"female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical","c",0,2,0
