"word","ID","instruction"
"desire","60f154e3b41e8202276ccc73","novel compound"
"pregnancy","60f154e3b41e8202276ccc73","novel compound"
"sympathy","60f154e3b41e8202276ccc73","novel compound"
"destiny","60f154e3b41e8202276ccc73","novel compound"
"genius","60f154e3b41e8202276ccc73","novel compound"
"size","60f154e3b41e8202276ccc73","novel compound"
"mix","60f154e3b41e8202276ccc73","novel compound"
"operation","60f154e3b41e8202276ccc73","novel compound"
"promotion","60f154e3b41e8202276ccc73","novel compound"
"sword","60f154e3b41e8202276ccc73","novel compound"
"stretch","60f154e3b41e8202276ccc73","novel compound"
"basis","60f154e3b41e8202276ccc73","novel compound"
"breast","60f154e3b41e8202276ccc73","novel compound"
"maintenance","60f154e3b41e8202276ccc73","novel compound"
"accent","60f154e3b41e8202276ccc73","novel compound"
"label","60f154e3b41e8202276ccc73","novel compound"
"miracle","60f154e3b41e8202276ccc73","completely novel"
"inventor","60f154e3b41e8202276ccc73","completely novel"
"storm","60f154e3b41e8202276ccc73","completely novel"
"acid","60f154e3b41e8202276ccc73","completely novel"
"transcript","60f154e3b41e8202276ccc73","completely novel"
"storm","60f154e3b41e8202276ccc73","completely novel"
"cancer","60f154e3b41e8202276ccc73","completely novel"
"colony","60f154e3b41e8202276ccc73","completely novel"
"pain","60f154e3b41e8202276ccc73","completely novel"
"policeman","60f154e3b41e8202276ccc73","completely novel"
"assignment","60f154e3b41e8202276ccc73","completely novel"
"assassination","60f154e3b41e8202276ccc73","completely novel"
"pie","60f154e3b41e8202276ccc73","completely novel"
"counsel","60f154e3b41e8202276ccc73","completely novel"
"guilt","60f154e3b41e8202276ccc73","completely novel"
"method","60f154e3b41e8202276ccc73","completely novel"
"politics","60f154e3b41e8202276ccc73","existing"
"opponent","60f154e3b41e8202276ccc73","existing"
"limb","60f154e3b41e8202276ccc73","existing"
"victim","60f154e3b41e8202276ccc73","existing"
"hunger","60f154e3b41e8202276ccc73","existing"
"abuse","60f154e3b41e8202276ccc73","existing"
"economics","60f154e3b41e8202276ccc73","existing"
"shame","60f154e3b41e8202276ccc73","existing"
"electronics","60f154e3b41e8202276ccc73","existing"
"democracy","60f154e3b41e8202276ccc73","existing"
"passion","60f154e3b41e8202276ccc73","existing"
"hurricane","60f154e3b41e8202276ccc73","existing"
"decision","60f154e3b41e8202276ccc73","existing"
"hunting","60f154e3b41e8202276ccc73","existing"
"conservative","60f154e3b41e8202276ccc73","existing"
"charm","60f154e3b41e8202276ccc73","existing"
"mining","5992edfc3ae1c8000110610b","existing"
"trench","5992edfc3ae1c8000110610b","existing"
"payment","5992edfc3ae1c8000110610b","existing"
"welfare","5992edfc3ae1c8000110610b","existing"
"romance","5992edfc3ae1c8000110610b","existing"
"expertise","5992edfc3ae1c8000110610b","existing"
"philosopher","5992edfc3ae1c8000110610b","existing"
"chaos","5992edfc3ae1c8000110610b","existing"
"drain","5992edfc3ae1c8000110610b","existing"
"treasure","5992edfc3ae1c8000110610b","existing"
"recipe","5992edfc3ae1c8000110610b","existing"
"force","5992edfc3ae1c8000110610b","existing"
"error","5992edfc3ae1c8000110610b","existing"
"darkness","5992edfc3ae1c8000110610b","existing"
"database","5992edfc3ae1c8000110610b","existing"
"assurance","5992edfc3ae1c8000110610b","existing"
"suicide","5992edfc3ae1c8000110610b","novel compound"
"assessment","5992edfc3ae1c8000110610b","novel compound"
"merit","5992edfc3ae1c8000110610b","novel compound"
"county","5992edfc3ae1c8000110610b","novel compound"
"sea","5992edfc3ae1c8000110610b","novel compound"
"pause","5992edfc3ae1c8000110610b","novel compound"
"sense","5992edfc3ae1c8000110610b","novel compound"
"laughter","5992edfc3ae1c8000110610b","novel compound"
"crisis","5992edfc3ae1c8000110610b","novel compound"
"victory","5992edfc3ae1c8000110610b","novel compound"
"effect","5992edfc3ae1c8000110610b","novel compound"
"scent","5992edfc3ae1c8000110610b","novel compound"
"notion","5992edfc3ae1c8000110610b","novel compound"
"defense","5992edfc3ae1c8000110610b","novel compound"
"orientation","5992edfc3ae1c8000110610b","novel compound"
"definition","5992edfc3ae1c8000110610b","novel compound"
"innocence","5992edfc3ae1c8000110610b","completely novel"
"spectrum","5992edfc3ae1c8000110610b","completely novel"
"lecture","5992edfc3ae1c8000110610b","completely novel"
"charity","5992edfc3ae1c8000110610b","completely novel"
"terror","5992edfc3ae1c8000110610b","completely novel"
"input","5992edfc3ae1c8000110610b","completely novel"
"fortune","5992edfc3ae1c8000110610b","completely novel"
"cartoon","5992edfc3ae1c8000110610b","completely novel"
"trick","5992edfc3ae1c8000110610b","completely novel"
"intention","5992edfc3ae1c8000110610b","completely novel"
"battalion","5992edfc3ae1c8000110610b","completely novel"
"region","5992edfc3ae1c8000110610b","completely novel"
"assistant","5992edfc3ae1c8000110610b","completely novel"
"cake","5992edfc3ae1c8000110610b","completely novel"
"honesty","5992edfc3ae1c8000110610b","completely novel"
"pension","5992edfc3ae1c8000110610b","completely novel"
"fear","5f6674b8ff4a11134f4ff972","completely novel"
"mystery","5f6674b8ff4a11134f4ff972","completely novel"
"village","5f6674b8ff4a11134f4ff972","completely novel"
"criminal","5f6674b8ff4a11134f4ff972","completely novel"
"criticism","5f6674b8ff4a11134f4ff972","completely novel"
"reference","5f6674b8ff4a11134f4ff972","completely novel"
"curse","5f6674b8ff4a11134f4ff972","completely novel"
"draft","5f6674b8ff4a11134f4ff972","completely novel"
"warning","5f6674b8ff4a11134f4ff972","completely novel"
"thief","5f6674b8ff4a11134f4ff972","completely novel"
"illusion","5f6674b8ff4a11134f4ff972","completely novel"
"decline","5f6674b8ff4a11134f4ff972","completely novel"
"liability","5f6674b8ff4a11134f4ff972","completely novel"
"serial","5f6674b8ff4a11134f4ff972","completely novel"
"assumption","5f6674b8ff4a11134f4ff972","completely novel"
"obstacle","5f6674b8ff4a11134f4ff972","completely novel"
"regime","5f6674b8ff4a11134f4ff972","existing"
"reach","5f6674b8ff4a11134f4ff972","existing"
"rumor","5f6674b8ff4a11134f4ff972","existing"
"survival","5f6674b8ff4a11134f4ff972","existing"
"sunshine","5f6674b8ff4a11134f4ff972","existing"
"fuel","5f6674b8ff4a11134f4ff972","existing"
"union","5f6674b8ff4a11134f4ff972","existing"
"accountant","5f6674b8ff4a11134f4ff972","existing"
"reunion","5f6674b8ff4a11134f4ff972","existing"
"dark","5f6674b8ff4a11134f4ff972","existing"
"evolution","5f6674b8ff4a11134f4ff972","existing"
"deposition","5f6674b8ff4a11134f4ff972","existing"
"pride","5f6674b8ff4a11134f4ff972","existing"
"glow","5f6674b8ff4a11134f4ff972","existing"
"cloth","5f6674b8ff4a11134f4ff972","existing"
"correspondence","5f6674b8ff4a11134f4ff972","existing"
"precedent","5f6674b8ff4a11134f4ff972","novel compound"
"violence","5f6674b8ff4a11134f4ff972","novel compound"
"heaven","5f6674b8ff4a11134f4ff972","novel compound"
"flight","5f6674b8ff4a11134f4ff972","novel compound"
"platinum","5f6674b8ff4a11134f4ff972","novel compound"
"mineral","5f6674b8ff4a11134f4ff972","novel compound"
"script","5f6674b8ff4a11134f4ff972","novel compound"
"loan","5f6674b8ff4a11134f4ff972","novel compound"
"community","5f6674b8ff4a11134f4ff972","novel compound"
"understanding","5f6674b8ff4a11134f4ff972","novel compound"
"experiment","5f6674b8ff4a11134f4ff972","novel compound"
"globe","5f6674b8ff4a11134f4ff972","novel compound"
"association","5f6674b8ff4a11134f4ff972","novel compound"
"competition","5f6674b8ff4a11134f4ff972","novel compound"
"middle","5f6674b8ff4a11134f4ff972","novel compound"
"ability","5f6674b8ff4a11134f4ff972","novel compound"
"arrangement","5d2466b24813f6000188f4b4","existing"
"winter","5d2466b24813f6000188f4b4","existing"
"process","5d2466b24813f6000188f4b4","existing"
"conversation","5d2466b24813f6000188f4b4","existing"
"opposition","5d2466b24813f6000188f4b4","existing"
"dragon","5d2466b24813f6000188f4b4","existing"
"nature","5d2466b24813f6000188f4b4","existing"
"skull","5d2466b24813f6000188f4b4","existing"
