participant,age,trial_index,stimulus,response
1,41,1,epic,awesome
1,41,2,minimum,smallest
1,41,3,email,internet-letter
1,41,4,application,submission
1,41,5,strength,power
1,41,6,snack,taster
1,41,7,vacation,holiday
1,41,8,closure,ending
1,41,9,programming,inputting
1,41,10,insert,add
1,41,11,extreme,major
1,41,12,gold,yellow
1,41,13,creation,beginning
1,41,14,leap,jump
1,41,15,commission,undertake
1,41,16,outlook,viewpoint
1,41,17,philosophy,belief
1,41,18,land,earth
1,41,19,seizure,fit
1,41,20,concentration,collection
1,41,21,intent,meaning
1,41,22,gram,measurement
1,41,23,language,tongue
1,41,24,tomb,crypt
1,41,25,smoke,fumes
1,41,26,quote,repeat
1,41,27,encounter,meet
1,41,28,appreciation,respect
1,41,29,river,stream
1,41,30,category,bracket
1,41,31,scout,look
1,41,32,pattern,decoration
1,41,33,reaction,reply
1,41,34,id,ego
1,41,35,management,supervisors
1,41,36,obsession,fascination
1,41,37,photographer,snapper
1,41,38,plot,scheme
1,41,39,discipline,teaching
1,41,40,debt,owing
1,41,41,audience,listeners
1,41,42,program,scheme
1,41,43,type,sort
1,41,44,skill,attribute
1,41,45,smell,odour
1,41,46,article,reading
1,41,47,principle,value
1,41,48,rally,race
2,41,1,arrangement,plan
2,41,2,detail,minutiae
2,41,3,travel,journey
2,41,4,coal,sootylumps
2,41,5,length,longness
2,41,6,purity,cleanliness
2,41,7,purpose,usefulness
2,41,8,code,key
2,41,9,trip,travels
2,41,10,gravity,weight
2,41,11,branch,limb
2,41,12,trade,exchange
2,41,13,jungle,tropicforest
2,41,14,military,forces
2,41,15,mistake,error
2,41,16,burst,pop
2,41,17,loyalty,devotion
2,41,18,graduation,qualified
2,41,19,dragon,firebreather
2,41,20,opposition,enemy
2,41,21,conversation,verbalswap
2,41,22,enthusiasm,keenness
2,41,23,log,treefuel
2,41,24,warrior,fighter
2,41,25,south,downwards
2,41,26,communication,infoexchange
2,41,27,syndrome,symptoms
2,41,28,symbol,logosignifier
2,41,29,injury,ouchie
2,41,30,analyst,patternfinder
2,41,31,parliament,governmenthouse
2,41,32,gaming,playing
2,41,33,price,cost
2,41,34,album,mediacompilation
2,41,35,seminar,edumeeting
2,41,36,territory,ruledarea
2,41,37,skull,headbone
2,41,38,nature,mothercreation
2,41,39,forum,ideaswap
2,41,40,performance,results
2,41,41,refuge,shelter
2,41,42,danger,risky
2,41,43,cruise,sail
2,41,44,process,method
2,41,45,winter,snowseason
2,41,46,clause,tiein
2,41,47,practice,rehearse
2,41,48,scenario,pictureoccurence
3,33,1,assignment,task
3,33,2,stretch,pull
3,33,3,decision,answer
3,33,4,counsel,advice
3,33,5,mix,combine
3,33,6,charm,personable
3,33,7,transcript,description
3,33,8,method,instructions
3,33,9,politics,governance
3,33,10,hunting,killing
3,33,11,breast,boob
3,33,12,label,sign
3,33,13,storm,poor-weather
3,33,14,pie,tart
3,33,15,hurricane,whirlwind
3,33,16,pregnancy,with-baby
3,33,17,shame,guilt
3,33,18,inventor,idea-maker
3,33,19,accent,country-voice
3,33,20,storm,weather
3,33,21,sword,weapon
3,33,22,size,smallness
3,33,23,sympathy,compassion
3,33,24,destiny,calling
3,33,25,abuse,hurt
3,33,26,limb,arm
3,33,27,genius,intelligent
3,33,28,cancer,disease
3,33,29,assassination,murder
3,33,30,acid,nonakaline
3,33,31,miracle,surprise
3,33,32,operation,task
3,33,33,promotion,advancing
3,33,34,passion,love
3,33,35,pain,bad-feeling
3,33,36,victim,receiver
3,33,37,maintenance,looking-after
3,33,38,hunger,foodneeding
3,33,39,colony,group
3,33,40,democracy,equalsay
3,33,41,conservative,nonlabour
3,33,42,electronics,wires
3,33,43,opponent,opposition
3,33,44,economics,financialsystem
3,33,45,desire,want
3,33,46,basis,framework
3,33,47,policeman,officer
3,33,48,guilt,shame
4,54,1,cloth,fabric
4,54,2,heaven,skies
4,54,3,flight,skymoving
4,54,4,fear,dread
4,54,5,understanding,knowing
4,54,6,correspondence,communication
4,54,7,script,text
4,54,8,dark,black
4,54,9,deposition,layering
4,54,10,assumption,guess
4,54,11,warning,alert
4,54,12,criticism,diss
4,54,13,pride,self-respect
4,54,14,experiment,procedure
4,54,15,rumor,gossip
4,54,16,competition,challenge
4,54,17,ability,skills
4,54,18,village,hamlet
4,54,19,mystery,unknown
4,54,20,thief,stealer
4,54,21,reference,allusion
4,54,22,community,gathered
4,54,23,liability,costly
4,54,24,union,together
4,54,25,loan,borrow
4,54,26,violence,force
4,54,27,illusion,magic
4,54,28,middle,centre
4,54,29,accountant,numberperson
4,54,30,obstacle,challenge
4,54,31,reach,stretch
4,54,32,precedent,example
4,54,33,survival,remaining
4,54,34,draft,version
4,54,35,serial,predictable
4,54,36,association,connection
4,54,37,decline,reject
4,54,38,reunion,meet
4,54,39,fuel,gas
4,54,40,criminal,crimedoer
4,54,41,mineral,rock
4,54,42,platinum,metal
4,54,43,glow,emit
4,54,44,regime,system
4,54,45,globe,earthshaped
4,54,46,curse,hex
4,54,47,evolution,genechanging
4,54,48,sunshine,solar
5,60,1,deposition,explace
5,60,2,decline,reject
5,60,3,dark,lightless
5,60,4,precedent,forerunner
5,60,5,evolution,development
5,60,6,ability,skill
5,60,7,reunion,gathering
5,60,8,serial,ongoing
5,60,9,flight,ranfly
5,60,10,mystery,unknown
5,60,11,loan,borrowings
5,60,12,curse,swear
5,60,13,sunshine,daymoon
5,60,14,liability,fault
5,60,15,reference,accordance
5,60,16,union,jobsaftynet
5,60,17,criminal,badsort
5,60,18,village,hamlet
5,60,19,community,parishoners
5,60,20,illusion,eyemagic
5,60,21,fuel,energy
5,60,22,script,writing
5,60,23,globe,world
5,60,24,obstacle,blockage
5,60,25,reach,outstretch
5,60,26,criticism,feedback
5,60,27,middle,center
5,60,28,rumor,gossip
