spelling	lexicality	rt	zscore	accuracy	rt.sd	zscore.sd	accuracy.sd	sub50.rt	sub50.zscore	sub50.accuracy	sub50.rt.sd	sub50.zscore.sd	sub50.accuracy.sd
aad	N	628.027027027027	-0.219620910969226	0.948717948717949	155.487849915907	0.747553298675528	0.223455865030959	628.027027027027	-0.219620910969226	0.948717948717949	155.487849915907	0.747553298675528	0.223455865030959
aaf	N	586.105263157895	-0.393555239918089	1	134.482951692305	0.875317310277576	0	586.368421052632	-0.365549485755044	1	135.520502299045	0.874101124169648	0
aagst	N	746.647058823529	0.482108469775827	0.897435897435897	185.379362447362	0.98528556787403	0.307354740604728	743.264705882353	0.466622249011704	0.897435897435897	183.156384384547	0.980430495950062	0.307354740604728
aakbeest	N	600.923076923077	-0.448639591339629	1	158.736024600822	0.574132219242039	0	600.923076923077	-0.448639591339629	1	158.736024600822	0.574132219242039	0
aakje	N	631.078947368421	-0.298977595550493	0.974358974358974	134.703755355855	0.551948207884852	0.160128153805087	625.605263157895	-0.321036121954987	0.974358974358974	136.829651337216	0.567441294914045	0.160128153805087
aaks	N	623.638888888889	-0.0394122934850041	0.974358974358974	102.677623874165	1.19241681987215	0.160128153805087	623.638888888889	-0.0394122934850041	0.974358974358974	102.677623874165	1.19241681987215	0.160128153805087
aakst	N	603.717948717949	-0.399647041108067	1	138.122361602417	0.561700925545422	0	606.948717948718	-0.372741138444490	1	139.618643891127	0.603908278562501	0
aakwes	N	603.21052631579	-0.302987982954628	1	107.135720415297	0.844505699614745	0	603.21052631579	-0.302987982954628	1	107.135720415297	0.844505699614745	0
aalde	N	708.891891891892	0.191509847103014	0.948717948717949	214.184601555629	0.962468511653343	0.223455865030959	707.837837837838	0.188919242289014	0.948717948717949	215.042051897028	0.96395177516954	0.223455865030959
aalden	N	723.828571428571	0.165118706564118	0.897435897435897	209.639113676798	0.850512078700751	0.307354740604728	723.828571428571	0.165118706564118	0.897435897435897	209.639113676798	0.850512078700751	0.307354740604728
aalder	N	616.25	-0.35661899394887	0.923076923076923	126.190870170095	0.623579949856664	0.269952762399508	616.583333333333	-0.333079785108603	0.923076923076923	124.983741799827	0.660298613216435	0.269952762399508
aalgees	N	632.648648648649	-0.223048440664853	0.974358974358974	207.368863008276	0.965506883631353	0.160128153805087	629.891891891892	-0.237220935965252	0.974358974358974	209.260707118043	0.974295983779108	0.160128153805087
aanbok	N	757.441176470588	0.458078759200902	0.897435897435897	196.667723342277	0.911145246072129	0.307354740604728	759.323529411765	0.497049574678476	0.897435897435897	198.176799025553	0.963201310419294	0.307354740604728
