spelling	coltheart.N	OLD20	celex.frequency	celex.cd	celex.frequency.lemma	subtlex.frequency	subtlex.cd	subtlex.frequency.lemma	subtlex.frequency.million	subtlex.log10.frequency	subtlex.cd.percentage	subtlex.log10.cd	subtlex.dominant.pos	subtlex.dominant.pos.frequency	subtlex.dominant.pos.lemma	subtlex.dominant.pos.lemma.frequency	subtlex.all.pos	subtlex.all.pos.frequency	subtlex.all.pos.lemma.frequency	summed.monogram	summed.bigram	summed.trigram	stress	nchar	nsyl	celex.morphology	celex.flection	celex.synclass
aad	13	1	NA	NA	NA	3	3	3	0.0686	0.6021	0.0372	0.6021	SPEC	3	aad	3	.SPEC.	.3.	.3.	1922651	94576	7190	NA	NA	NA	NA	NA	NA
aaf	17	1	NA	NA	NA	1	1	1	0.0229	0.301	0.0124	0.301	SPEC	1	aaf	1	.SPEC.	.1.	.1.	1805100	77228	9294	NA	NA	NA	NA	NA	NA
aagst	1	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2317538	168314	22095	NA	NA	NA	NA	NA	NA
aaide	2	1.4	173	92	446	11	11	142	0.2515	1.0792	0.1363	1.0792	WW	11	aaien	142	.WW.	.11.	.142.	2754306	211373	35423	10	5	2	monomorphemic	singular past	Verb
aaien	0	1.25	131	63	473	92	75	143	2.1038	1.9685	0.9294	1.8808	WW	91	aaien	142	.WW.SPEC.	.91.1.	.142.1.	2875429	317860	80846	10	5	2	monomorphemic	infinitive.plural.plural present	Noun.Verb
aak	24	1	23	18	41	5	3	7	0.1143	0.7782	0.0372	0.6021	N	5	aak	7	.N.	.5.	.7.	1862809	75056	8116	1	3	1	monomorphemic	singular	Noun
aakbeest	1	2.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3569839	242935	26742	NA	NA	NA	NA	NA	NA
aakje	10	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2510668	146898	12079	NA	NA	NA	NA	NA	NA
aaks	7	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064618	105373	7698	NA	NA	NA	NA	NA	NA
aakst	4	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2295191	163073	18899	NA	NA	NA	NA	NA	NA
aakwes	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2709560	144067	17685	NA	NA	NA	NA	NA	NA
aal	20	1	65	37	75	35	29	49	0.8004	1.5563	0.3594	1.4771	N	32	aal	46	.N.VZ.	.32.3.	.46.3.	1919234	83336	10710	1	3	1	monomorphemic	singular	Noun
aalbes	0	2	0	0	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2789865	156843	21631	10	6	2	complex	singular	Noun
aalde	9	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2686851	225073	41519	NA	NA	NA	NA	NA	NA
aalden	9	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2969765	379381	105606	NA	NA	NA	NA	NA	NA
aalder	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2952520	304356	49179	NA	NA	NA	NA	NA	NA
aalgees	1	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3456991	230201	22975	NA	NA	NA	NA	NA	NA
aalmoes	1	2.55	51	34	91	42	31	67	0.9605	1.6335	0.3841	1.5051	N	35	aalmoes	60	.N.SPEC.	.35.7.	.60.7.	3006896	166581	21718	10	7	2	undetermined	singular	Noun
aaltje	1	1.5	4	3	75	2	2	2	0.0457	0.4771	0.0248	0.4771	SPEC	2	aaltje	2	.SPEC.	.2.	.2.	2797666	164164	20551	10	6	2	lexicalised.monomorphemic	singular diminutive	Noun
aaltjes	2	1.4	0	0	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2999475	156459	30565	10	7	2	lexicalised.monomorphemic	diminutive plural	Noun
aam	22	1	10	8	12	1	1	1	0.0229	0.301	0.0124	0.301	ADJ	1	aam	1	.ADJ.	.1.	.1.	1836979	71881	6826	1	3	1	monomorphemic	singular	Noun
aambeeld	1	2.8	58	37	58	22	17	24	0.5031	1.3617	0.2107	1.2553	N	21	aambeeld	23	.N.WW.	.21.1.	.23.1.	3431792	218551	22191	10	8	2	undetermined	singular	Noun
aan	20	1	268271	835	268271	167857	8050	167857	3838.5369	5.2249	99.7522	3.9058	VZ	167855	aan	167855	.VZ.SPEC.	.167855.2.	.167855.2.	2043774	169782	17631	1	3	1	monomorphemic	headword.positive	Adjective.Preposition
aanblik	0	1.9	647	227	649	96	85	96	2.1953	1.9868	1.0533	1.9345	N	96	aanblik	96	.N.	.96.	.96.	2592922	141520	17705	10	7	2	complex	singular.singular 1p present	Noun.Verb
aanbod	2	1.8	1482	313	1482	1174	881	1174	26.8469	3.07	10.917	2.9455	N	1174	aanbod	1174	.N.	.1174.	.1174.	2472469	139596	16415	10	6	2	undetermined	singular	Noun
aanbok	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2412627	117343	16343	NA	NA	NA	NA	NA	NA
aanbol	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2469052	125983	16965	NA	NA	NA	NA	NA	NA
aanbouw	0	1.95	83	59	119	32	27	32	0.7318	1.5185	0.3346	1.4472	N	31	aanbouw	31	.N.VNW.	.31.1.	.31.1.	2432143	119589	20138	10	7	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aand	10	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2205565	170994	37146	NA	NA	NA	NA	NA	NA
aandacht	1	1.95	8446	711	8446	2479	1853	2479	56.6895	3.3945	22.9616	3.2681	N	2478	aandacht	2478	.N.WW.	.2478.1.	.2478.1.	2804435	246466	49423	10	8	2	undetermined	singular	Noun
aandeel	3	1.85	1106	252	1632	435	307	1109	9.9475	2.6395	3.8042	2.4886	N	428	aandeel	1102	.N.ADJ.SPEC.	.428.6.1.	.1102.6.1.	3575591	310223	57130	10	7	2	complex	singular	Noun
aandge	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935687	269182	27137	NA	NA	NA	NA	NA	NA
aandoen	2	1.8	434	239	1258	1520	1262	3672	34.7592	3.1821	15.6382	3.1014	WW	1519	aandoen	3671	.WW.N.	.1519.1.	.3671.1.	3298213	396473	96130	10	7	2	complex	infinitive.plural present	Verb
aandrang	3	2.1	378	182	378	29	26	29	0.6632	1.4771	0.3222	1.4314	N	29	aandrang	29	.N.	.29.	.29.	3109217	252369	41420	10	8	2	undetermined	singular	Noun
aandrift	0	2	68	34	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2971876	217887	27621	10	8	2	complex	singular	Noun
aaneen	3	1.8	140	85	140	9	9	9	0.2058	1	0.1115	1	BW	9	aaneen	9	.BW.	.9.	.9.	3538340	369508	94130	1	6	2	undetermined	headword	Adverb
aangaan	4	1.75	372	194	1176	254	235	606	5.8084	2.4065	2.912	2.3729	WW	254	aangaan	606	.WW.	.254.	.606.	2912530	276061	32744	10	7	2	complex	infinitive.plural present	Verb
aangiep	5	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3085229	175089	22008	NA	NA	NA	NA	NA	NA
