environment	participant	block	order	trial	spelling	lexicality	response	accuracy	previous.accuracy	rt	zscore	rt.raw	previous.rt	microsec.error	unix.seconds	unix.microseconds	trial.day	trial.session	order.in.block	order.in.subblock
GC4	1	50	24701	19302	schoden	N	N	1	NA	756	1.46997029808601	756	NA	146	1237969254	47125	1501	1501	201	1
GC4	1	50	24702	24496	verboor	N	N	1	1	603	0.266455843102490	603	756	10	1237969255	687125	1502	1502	202	2
GC4	1	50	24703	20676	snerven	N	N	1	1	553	-0.126849534343105	553	603	11	1237969257	265125	1503	1503	203	3
GC4	1	50	24825	2004	prokje	N	N	1	1	447	-0.960656934527766	447	543	336	1237969456	484125	1625	1625	325	25
GC4	1	50	24705	17636	penk	N	N	1	1	524	-0.35496665326155	524	489	11	1237969260	344125	1505	1505	205	5
GC4	1	50	24706	7280	gestard	N	N	1	1	700	1.02946827534694	700	524	919	1237969262	94125	1506	1506	206	6
GC4	1	50	24707	4220	moeen	N	N	1	1	502	-0.528021019337612	502	700	174	1237969263	625125	1507	1507	207	7
GC4	1	50	25072	17682	quank	N	N	1	1	472	-0.764004245804968	472	552	149	1237969866	328125	1872	1872	72	72
GC4	1	50	24709	7812	noetig	N	N	1	1	730	1.2654515018143	730	504	149	1237969266	922125	1509	1509	209	9
GC4	1	50	24952	23284	teelbank	N	W	0	1	NA	NA	593	429	145	1237969663	969125	1752	1752	452	52
GC4	1	50	24751	11516	koeddier	N	N	1	0	464	-0.826933106196264	464	1062	176	1237969334	31125	1551	1551	251	51
GC4	1	50	24833	2548	boezier	N	N	1	1	485	-0.661744847669114	485	499	11	1237969468	640125	1633	1633	333	33
GC4	1	50	24713	20570	zwee	N	N	1	1	694	0.982271630053472	694	651	11	1237969273	265125	1513	1513	213	13
GC4	1	50	24714	4092	rua's	N	N	1	1	465	-0.819066998647352	465	694	151	1237969274	765125	1514	1514	214	14
GC4	1	50	24836	5496	erleer	N	N	1	1	491	-0.614548202375642	491	522	183	1237969473	219125	1636	1636	336	36
GC4	1	50	25080	18966	carans	N	N	1	1	638	0.541769607314406	638	626	10	1237969878	984125	1880	1880	80	80
GC4	1	50	24717	1936	blooi	N	N	1	0	607	0.297920273298137	607	644	11	1237969279	687125	1517	1517	217	17
GC4	1	50	24718	23688	bratten	N	N	1	1	573	0.0304726166351329	573	607	153	1237969281	297125	1518	1518	218	18
GC4	1	50	24719	7814	googje	N	N	1	1	620	0.400179671433992	620	573	149	1237969282	937125	1519	1519	219	19
GC4	1	50	24720	6474	gazat	N	N	1	1	474	-0.748272030707145	474	620	147	1237969284	453125	1520	1520	220	20
GC4	1	50	24721	25688	meertuin	N	N	1	1	523	-0.362832760810462	523	474	10	1237969286	15125	1521	1521	221	21
GC4	1	50	25086	7736	flowe	N	N	1	1	515	-0.425761621201757	515	613	158	1237969888	609125	1886	1886	86	86
GC4	1	50	24844	13398	nopaal	N	N	1	1	432	-1.07864854776144	432	494	11	1237969485	687125	1644	1644	344	44
GC4	1	50	25006	10644	kegslom	N	N	1	0	753	1.44637197543927	753	829	149	1237969759	734125	1806	1806	6	6
GC4	1	50	25089	17056	vozing	N	N	1	1	514	-0.433627728750669	514	413	330	1237969893	390125	1889	1889	89	89
GC4	1	50	25090	5806	fonheid	N	N	1	1	515	-0.425761621201757	515	514	11	1237969894	937125	1890	1890	90	90
GC4	1	50	25091	3972	zen	N	N	1	1	485	-0.661744847669114	485	515	148	1237969896	453125	1891	1891	91	91
GC4	1	50	24728	14692	mondoor	N	N	1	1	539	-0.236975040027872	539	422	155	1237969296	719125	1528	1528	228	28
GC4	1	50	25093	15218	niert	N	N	1	1	568	-0.0088579211094266	568	518	11	1237969899	609125	1893	1893	93	93
GC4	1	50	24730	17726	roofwerk	N	W	0	1	NA	NA	461	491	11	1237969299	734125	1530	1530	230	30
GC4	1	50	24973	26982	kilken	N	N	1	1	490	-0.622414309924554	490	421	11	1237969696	437125	1773	1773	473	73
GC4	1	50	24974	25430	muitje	N	W	0	1	NA	NA	1549	490	147	1237969699	31125	1774	1774	474	74
GC4	1	50	24975	8102	krienel	N	N	1	0	435	-1.05505022511471	435	1549	10	1237969700	500125	1775	1775	475	75
GC4	1	50	24855	11966	kleeg	N	N	1	1	516	-0.417895513652845	516	465	155	1237969502	672125	1655	1655	355	55
GC4	1	50	24856	7054	gegijns	N	N	1	1	501	-0.535887126886524	501	516	10	1237969504	203125	1656	1656	356	56
GC4	1	50	24736	22310	strohaak	N	W	0	1	NA	NA	1520	461	243	1237969310	203125	1536	1536	236	36
GC4	1	50	24737	7090	gesmaafd	N	N	1	0	505	-0.504422696690876	505	1520	11	1237969311	734125	1537	1537	237	37
GC4	1	50	24738	21216	spleken	N	N	1	1	523	-0.362832760810462	523	505	162	1237969313	281125	1538	1538	238	38
GC4	1	50	24860	20062	sfeeltjes	N	N	1	1	480	-0.701075385413673	480	577	11	1237969510	640125	1660	1660	360	60
GC4	1	50	24780	12646	bonge	N	N	1	1	365	-1.60567775353854	365	441	10	1237969379	437125	1580	1580	280	80
GC4	1	50	24983	1978	blaamschap	N	N	1	1	596	0.211393090260106	596	631	157	1237969713	672125	1783	1783	483	83
GC4	1	50	24742	15572	arweg	N	N	1	1	481	-0.693209277864761	481	494	148	1237969319	422125	1542	1542	242	42
GC4	1	50	24743	21816	stijt	N	N	1	1	595	0.203526982711195	595	481	11	1237969321	62125	1543	1543	243	43
GC4	1	50	25108	19910	sorves	N	N	1	1	640	0.55750182241223	640	510	157	1237969931	890125	1908	1908	108	8
GC4	1	50	24745	18332	moepe	N	N	1	1	533	-0.284171685321343	533	448	11	1237969324	109125	1545	1545	245	45
GC4	1	50	24746	15362	nom	N	N	1	1	486	-0.653878740120202	486	533	161	1237969325	640125	1546	1546	246	46
GC4	1	50	24747	19032	scheem	N	N	1	1	504	-0.512288804239788	504	486	11	1237969327	172125	1547	1547	247	47
GC4	1	50	24748	10372	kint	N	N	1	1	538	-0.244841147576783	538	504	208	1237969328	734125	1548	1548	248	48
GC4	1	50	24749	17678	pyvlans	N	N	1	1	666	0.762020618683939	666	538	138	1237969330	437125	1549	1549	249	49
GC4	1	50	25113	8340	gitpen	N	N	1	1	703	1.05306659799368	703	477	11	1237969939	844125	1913	1913	113	13
GC4	1	50	25155	24324	verkleef	N	N	1	1	614	0.352983026140521	614	600	11	1237970009	906125	1955	1955	155	55
GC4	1	50	24752	21408	stogje	N	N	1	1	NA	2.97239683992818	947	464	11	1237969336	15125	1552	1552	252	52
GC4	1	50	25116	17558	tjalm	N	N	1	1	667	0.769886726232851	667	505	11	1237969944	656125	1916	1916	116	16
GC4	1	50	24754	8482	tagen	N	N	1	1	517	-0.410029406103933	517	515	11	1237969339	125125	1554	1554	254	54
GC4	1	50	24755	22880	zerten	N	N	1	1	469	-0.787602568451704	469	517	11	1237969340	625125	1555	1555	255	55
GC4	1	50	24756	1452	bopjes	N	N	1	1	521	-0.378564975908286	521	469	164	1237969342	172125	1556	1556	256	56
GC4	1	50	25121	5144	muben	N	N	1	1	536	-0.260573362674607	536	752	11	1237969952	906125	1921	1921	121	21
GC4	1	50	25122	98	aanrus	N	N	1	1	488	-0.638146525022378	488	536	11	1237969954	422125	1922	1922	122	22
GC4	1	50	25123	22850	zimpel	N	N	1	1	475	-0.740405923158233	475	488	11	1237969955	922125	1923	1923	123	23
GC4	1	50	24760	6994	gezijd	N	N	1	1	577	0.0619370468307805	577	411	151	1237969348	344125	1560	1560	260	60
GC4	1	50	24882	21826	stoogjes	N	W	0	1	NA	NA	476	524	151	1237969543	906125	1682	1682	382	82
GC4	1	50	25126	21254	struitjes	N	N	1	0	681	0.880012231917617	681	702	150	1237969960	937125	1926	1926	126	26
GC4	1	50	25005	2452	barkje	N	W	0	1	NA	NA	829	591	11	1237969757	937125	1805	1805	5	5
GC4	1	50	24804	14590	dijkes	N	N	1	1	561	-0.0639206739518099	561	529	11	1237969423	765125	1604	1604	304	4
GC4	1	50	24765	22542	fossen	N	N	1	1	700	1.02946827534694	700	540	11	1237969356	109125	1565	1565	265	65
GC4	1	50	24766	21882	starken	N	N	1	1	613	0.345116918591609	613	700	146	1237969357	750125	1566	1566	266	66
GC4	1	50	25130	9234	hoel	N	N	1	1	581	0.093401477026428	581	566	11	1237969967	234125	1930	1930	130	30
GC4	1	50	24889	16186	partgers	N	N	1	1	626	0.447376316727463	626	430	147	1237969555	344125	1689	1689	389	89
GC4	1	50	24769	16638	digant	N	N	1	1	471	-0.77187035335388	471	418	10	1237969362	312125	1569	1569	269	69
GC4	1	50	24770	17506	proei	N	N	1	1	698	1.01373606024912	698	471	11	1237969364	47125	1570	1570	270	70
GC4	1	50	24892	19466	scherte	N	N	1	1	439	-1.02358579491906	439	434	147	1237969559	797125	1692	1692	392	92
GC4	1	50	25136	12116	kreep	N	N	1	1	NA	2.84653911914559	931	481	11	1237969977	94125	1936	1936	136	36
GC4	1	50	24894	13874	walge	N	N	1	1	NA	3.42863107776507	1005	475	11	1237969563	359125	1694	1694	394	94
GC4	1	50	24774	10400	katsen	N	N	1	1	675	0.832815586624146	675	715	11	1237969370	500125	1574	1574	274	74
GC4	1	50	25139	21220	sprestjes	N	N	1	1	657	0.691225650743732	657	630	148	1237969982	15125	1939	1939	139	39
GC4	1	50	24776	25422	veentuig	N	N	1	1	482	-0.68534317031585	482	430	69	1237969373	500125	1576	1576	276	76
GC4	1	50	24777	17858	radgort	N	N	1	1	534	-0.276305577772431	534	482	10	1237969375	62125	1577	1577	277	77
GC4	1	50	24778	23062	tim	N	N	1	1	469	-0.787602568451704	469	534	10	1237969376	562125	1578	1578	278	78
GC4	1	50	24779	344	akhums	N	N	1	1	441	-1.00785357982124	441	469	10	1237969378	31125	1579	1579	279	79
GC4	1	50	24820	19728	schraam	N	N	1	1	663	0.738422296037203	663	401	11	1237969449	125	1620	1620	320	20
GC4	1	50	24781	22594	sapel	N	N	1	1	709	1.10026324328715	709	365	10	1237969381	187125	1581	1581	281	81
GC4	1	50	24903	8914	helf	N	W	0	1	NA	NA	427	556	146	1237969587	312125	1703	1703	403	3
GC4	1	50	24783	7752	fraaiend	N	W	0	0	NA	NA	450	429	11	1237969384	140125	1583	1583	283	83
GC4	1	50	25148	13380	begen	N	N	1	1	NA	2.63415421532497	904	551	11	1237969998	719125	1948	1948	148	48
GC4	1	50	25149	23634	troccoirs	N	N	1	1	569	-0.000991813560514698	569	904	11	1237970000	312125	1949	1949	149	49
GC4	1	50	24786	14766	kessen	N	N	1	1	533	-0.284171685321343	533	565	215	1237969388	890125	1586	1586	286	86
GC4	1	50	24787	5294	aarst	N	N	1	1	453	-0.913460289234294	453	533	11	1237969390	390125	1587	1587	287	87
GC4	1	50	24909	4174	keiper	N	N	1	1	750	1.42277365279254	750	508	11	1237969597	78125	1709	1709	409	9
GC4	1	50	24789	5426	opke	N	N	1	1	437	-1.03931801001688	437	633	11	1237969393	515125	1589	1589	289	89
GC4	1	50	25154	3840	retje	N	N	1	1	600	0.242857520455754	600	535	11	1237970008	265125	1954	1954	154	54
GC4	1	50	25032	962	beglank	N	N	1	1	519	-0.394297191006109	519	518	225	1237969801	625125	1832	1832	32	32
GC4	1	50	24872	25114	visats	N	N	1	1	434	-1.06291633266362	434	529	156	1237969528	703125	1672	1672	372	72
GC4	1	50	24793	3838	daleeft	N	N	1	1	467	-0.803334783549528	467	514	157	1237969399	531125	1593	1593	293	93
GC4	1	50	24955	19896	seriet	N	N	1	1	539	-0.236975040027872	539	655	67	1237969668	812125	1755	1755	455	55
GC4	1	50	25159	18580	rostchomp	N	N	1	1	465	-0.819066998647352	465	529	165	1237970016	203125	1959	1959	159	59
GC4	1	50	24917	15178	nijkje	N	N	1	1	801	1.82394513778704	801	729	153	1237969609	656125	1717	1717	417	17
GC4	1	50	24797	20422	brube	N	N	1	1	473	-0.756138138256057	473	471	150	1237969405	703125	1597	1597	297	97
GC4	1	50	25161	2560	houber	N	N	1	1	470	-0.779736460902792	470	499	10	1237970019	250125	1961	1961	161	61
GC4	1	50	24799	22206	struisjes	N	W	0	1	NA	NA	767	476	165	1237969409	31125	1599	1599	299	99
GC4	1	50	25042	21512	stempen	N	N	1	1	749	1.41490754524363	749	874	148	1237969818	703125	1842	1842	42	42
GC4	1	50	25165	23356	zeewen	N	N	1	1	632	0.494572962020935	632	602	11	1237970025	656125	1965	1965	165	65
GC4	1	50	24802	19362	scheun	N	N	1	1	745	1.38344311504798	745	520	10	1237969420	594125	1602	1602	302	2
GC4	1	50	24803	11344	vrokken	N	N	1	1	529	-0.315636115516990	529	745	158	1237969422	172125	1603	1603	303	3
GC4	1	50	24924	13334	limben	N	N	1	1	469	-0.787602568451704	469	600	68	1237969620	703125	1724	1724	424	24
GC4	1	50	25169	23986	veekheid	N	N	1	1	452	-0.921326396783206	452	431	11	1237970031	922125	1969	1969	169	69
GC4	1	50	24806	2180	boggy's	N	N	1	1	515	-0.425761621201757	515	481	11	1237969426	844125	1606	1606	306	6
GC4	1	50	25171	14682	denster	N	N	1	1	428	-1.11011297795709	428	440	11	1237970034	859125	1971	1971	171	71
GC4	1	50	25172	10758	riest	N	N	1	1	496	-0.575217664631083	496	428	11	1237970036	390125	1972	1972	172	72
GC4	1	50	25051	19670	schronen	N	N	1	1	525	-0.347100545712638	525	508	151	1237969832	672125	1851	1851	51	51
GC4	1	50	24931	21640	stankers	N	N	1	1	642	0.573234037510054	642	512	11	1237969631	625125	1731	1731	431	31
GC4	1	50	25175	842	bankhaaf	N	N	1	1	502	-0.528021019337612	502	467	10	1237970041	125	1975	1975	175	75
GC4	1	50	24812	18758	moelden	N	N	1	1	589	0.156330337417723	589	525	150	1237969436	547125	1612	1612	312	12
GC4	1	50	24813	8934	lezel	N	N	1	1	619	0.39231356388508	619	589	10	1237969438	187125	1613	1613	313	13
GC4	1	50	24814	12816	leergrecht	N	N	1	1	553	-0.126849534343105	553	619	11	1237969439	781125	1614	1614	314	14
GC4	1	50	25179	7414	gevolkt	N	N	1	1	661	0.72269008093938	661	517	146	1237970047	500125	1979	1979	179	79
GC4	1	50	24816	15736	ontnaak	N	N	1	0	521	-0.378564975908286	521	536	11	1237969442	890125	1616	1616	316	16
GC4	1	50	24817	23280	zaampjes	N	N	1	1	410	-1.25170291383751	410	521	11	1237969444	328125	1617	1617	317	17
GC4	1	50	24818	17042	poetvas	N	N	1	1	496	-0.575217664631083	496	410	11	1237969445	875125	1618	1618	318	18
GC4	1	50	24819	23972	uurbert	N	N	1	1	401	-1.32249788177771	401	496	150	1237969447	312125	1619	1619	319	19
GC4	1	50	24981	8498	harmstoer	N	N	1	1	519	-0.394297191006109	519	651	152	1237969710	390125	1781	1781	481	81
GC4	1	50	24821	7666	fredde	N	N	1	1	451	-0.929192504332118	451	663	148	1237969450	500125	1621	1621	321	21
GC4	1	50	24822	32	oondijl	N	N	1	1	439	-1.02358579491906	439	451	161	1237969451	969125	1622	1622	322	22
GC4	1	50	24823	13406	lerken	N	N	1	1	427	-1.11797908550600	427	439	222	1237969453	422125	1623	1623	323	23
GC4	1	50	24945	2216	boof	N	W	0	1	NA	NA	375	551	11	1237969652	937125	1745	1745	445	45
GC4	1	50	24946	4986	treppel	N	N	1	0	638	0.541769607314406	638	375	191	1237969654	625125	1746	1746	446	46
GC4	1	50	25190	18270	reedling	N	N	1	1	602	0.258589735553578	602	505	11	1237970065	875125	1990	1990	190	90
GC4	1	50	25191	976	bevank	N	N	1	1	504	-0.512288804239788	504	602	144	1237970067	406125	1991	1991	191	91
GC4	1	50	24828	3622	cetven	N	N	1	1	456	-0.889861966587559	456	519	11	1237969461	15125	1628	1628	328	28
GC4	1	50	24829	17992	rijds	N	N	1	1	524	-0.35496665326155	524	456	10	1237969462	594125	1629	1629	329	29
GC4	1	50	25194	16778	vronken	N	N	1	1	725	1.22612096406974	725	583	10	1237970072	453125	1994	1994	194	94
GC4	1	50	24951	4118	deu	N	N	1	1	429	-1.10224687040818	429	508	10	1237969662	328125	1751	1751	451	51
GC4	1	50	24912	24408	veroond	N	N	1	1	427	-1.11797908550600	427	454	142	1237969601	562125	1712	1712	412	12
GC4	1	50	24873	26056	meerdig	N	N	1	1	582	0.10126758457534	582	434	11	1237969530	328125	1673	1673	373	73
GC4	1	50	25115	220	adim	N	N	1	1	505	-0.504422696690876	505	553	11	1237969942	969125	1915	1915	115	15
GC4	1	50	24835	26972	wurken	N	N	1	1	522	-0.370698868359374	522	472	11	1237969471	703125	1635	1635	335	35
GC4	1	50	24876	26112	kechtte	N	N	1	1	491	-0.614548202375642	491	488	10	1237969534	875125	1676	1676	376	76
GC4	1	50	24958	13208	looswacht	N	N	1	1	462	-0.842665321294087	462	458	149	1237969673	422125	1758	1758	458	58
GC4	1	50	24838	17020	poem	N	N	1	1	800	1.81607903023813	800	493	154	1237969476	594125	1638	1638	338	38
GC4	1	50	25081	2266	bijven	N	N	1	1	538	-0.244841147576783	538	638	10	1237969880	547125	1881	1881	81	81
GC4	1	50	24840	884	larst	N	N	1	1	535	-0.268439470223519	535	501	11	1237969479	703125	1640	1640	340	40
GC4	1	50	24841	16766	plakzaan	N	N	1	1	504	-0.512288804239788	504	535	161	1237969481	234125	1641	1641	341	41
GC4	1	50	24842	21954	stasjes	N	N	1	1	410	-1.25170291383751	410	504	11	1237969482	672125	1642	1642	342	42
GC4	1	50	25085	21852	starker	N	N	1	1	613	0.345116918591609	613	616	11	1237969887	62125	1885	1885	85	85
GC4	1	50	24897	15278	norf	N	N	1	1	510	-0.465092158946316	510	559	10	1237969567	984125	1697	1697	397	97
GC4	1	50	25167	23772	tump	N	N	1	1	577	0.0619370468307805	577	645	149	1237970028	953125	1967	1967	167	67
GC4	1	50	24967	11224	truis	N	N	1	1	465	-0.819066998647352	465	362	223	1237969687	156125	1767	1767	467	67
GC4	1	50	25007	4596	diekje	N	N	1	1	617	0.376581348787256	617	753	11	1237969761	375125	1807	1807	7	7
GC4	1	50	24848	24586	vervoed	N	N	1	1	594	0.195660875162283	594	562	11	1237969492	125125	1648	1648	348	48
GC4	1	50	25010	13202	dijf	N	N	1	1	647	0.612564575254613	647	552	11	1237969766	187125	1810	1810	10	10
GC4	1	50	24971	13014	beiker	N	N	1	1	466	-0.81120089109844	466	480	11	1237969693	437125	1771	1771	471	71
GC4	1	50	25133	34	uindien	N	N	1	1	482	-0.68534317031585	482	546	11	1237969971	953125	1933	1933	133	33
