stimulus,condition,rt,accuracy
aad,nonword,628.027027027027,0.948717948717949
aaf,nonword,586.105263157895,1
aagst,nonword,746.647058823529,0.897435897435897
aakbeest,nonword,600.923076923077,1
aakje,nonword,631.078947368421,0.974358974358974
aaks,nonword,623.638888888889,0.974358974358974
aakst,nonword,603.717948717949,1
aakwes,nonword,603.21052631579,1
aalde,nonword,708.891891891892,0.948717948717949
aalden,nonword,723.828571428571,0.897435897435897
aalder,nonword,616.25,0.923076923076923
aalgees,nonword,632.648648648649,0.974358974358974
aanbok,nonword,757.441176470588,0.897435897435897
aanbol,nonword,732.235294117647,0.923076923076923
aand,nonword,597.794871794872,1
aandge,nonword,609.871794871795,1
aangiep,nonword,709.324324324324,1
aankeen,nonword,613.692307692308,1
aankeerd,nonword,711.676470588235,0.897435897435897
aankrast,nonword,738.129032258065,0.923076923076923
aankruig,nonword,667.621621621622,0.974358974358974
aannicht,nonword,663.666666666667,0.948717948717949
aannorst,nonword,605.540540540541,0.974358974358974
aanpijk,nonword,665.815789473684,0.974358974358974
aanplok,nonword,651.28947368421,1
aanpunst,nonword,678.815789473684,0.974358974358974
aanrof,nonword,650,0.923076923076923
aanrus,nonword,676.205128205128,1
aans,nonword,664.756756756757,0.974358974358974
aanschijk,nonword,719.694444444444,0.923076923076923
aanschuw,nonword,821.533333333333,0.512820512820513
aanstaam,nonword,759.366666666667,0.923076923076923
aanveeldt,nonword,650.216216216216,0.974358974358974
aanweer,nonword,744.730769230769,0.666666666666667
aanwid,nonword,675.666666666667,0.948717948717949
aarbracht,nonword,721.677419354839,0.897435897435897
aarbrang,nonword,654.410256410256,1
aardgoo,nonword,602.692307692308,1
aardkil,nonword,693.972222222222,0.974358974358974
aardraan,nonword,650.184210526316,0.974358974358974
aardsomst,nonword,730.621621621622,0.974358974358974
aargrift,nonword,692.138888888889,0.974358974358974
aarhoop,nonword,622.435897435897,1
aarjang,nonword,632.435897435897,1
aarlang,nonword,665.157894736842,0.974358974358974
aarnert,nonword,596.282051282051,1
aarplag,nonword,632.702702702703,1
aarriens,nonword,621.052631578947,1
aarschaans,nonword,661.538461538462,1
aarschein,nonword,634.5,1
aarsien,nonword,611.684210526316,0.974358974358974
aarst,nonword,729.371428571429,0.923076923076923
aarstands,nonword,711.666666666667,0.948717948717949
aartol,nonword,620.025641025641,1
aarwel,nonword,703.461538461538,1
aarwouw,nonword,633.717948717949,1
