Recommended Column Name,Description
participant_id,Unique identifier assigned to each participant.
age,Age of the participant at the time of the experiment.
gender,Self-reported or observed gender identity of the participant.
education,Highest completed education level of the participant.
first_language,Participant's native or first-acquired language.
country_of_birth,Participant's country of birth.
country_of_residence,Participant's current country of residence.
trial_id,Unique identifier for a single trial within a session or condition.
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
response,Participant's response
rt,"Time taken by the participant to respond, in milliseconds."
childhood_location,The participant's self-reported state/province in which they lived the most between birth and 7 years of age. Free-text responses. This location information has not been preprocessed.
current_location,The participant's self-reported state/province in which they currently live. Free-text responses. This location information has not been preprocessed.
session_no,Sequential index indicating the session number for each participant. Each session consists of a fixed block of 90 trials.
