id	gender	childhood_location	current_location	native_language	education	age
1	female	kent	kent	english	high_school_graduate	68
2	male	uk	uk	english	doctorate	70
3	female	unitedkingdom	unitedkingdom	english	masters_degree	65
4	female	anglesey	derbyshire	english	some_high_school	72
5	male	england	england	english	bachelors_degree	66
6	female	uk	uk	english	some_college_no_degree	66
7	male	surrey	powys	english	masters_degree	74
8	female	uk	uk	english	high_school_graduate	73
9	male	monmouthshire	newport	english	associates_degree	66
10	female	california	nevada	english	bachelors_degree	66
11	female	california	newmexico	english	bachelors_degree	69
12	male	england	california	english	doctorate	66
13	female	florida	washington	english	some_college_no_degree	68
14	female	tx	ca	english	bachelors_degree	65
15	female	california	nevada	english	doctorate	74
16	female	oregon	washigton	english	high_school_graduate	66
17	female	california	california	english	bachelors_degree	81
18	female	springfield	illinois	english	masters_degree	69
19	male	ny	co	english	some_college_no_degree	78
20	male	newyork	newjersey	english	bachelors_degree	72
21	female	ia	ia	english	masters_degree	69
22	male	illinois	texas	english	some_college_no_degree	77
23	female	missouri	kansas	english	bachelors_degree	68
24	NA	pennsylvania	florida	english	some_college_no_degree	74
25	female	mass	tn	english	some_college_no_degree	76
26	male	wi	wisconsin	english	high_school_graduate	66
27	female	suffolk	suffolk	english	bachelors_degree	78
28	male	ontario	ontario	english	some_college_no_degree	67
29	female	maryland	florida	english	some_college_no_degree	71
30	female	michigan	michigan	english	masters_degree	68
31	male	quebec	ontario	english	bachelors_degree	69
32	female	il	ny	english	doctorate	71
33	female	maryland	michigan	english	masters_degree	67
34	female	southcarolina	florida	english	bachelors_degree	66
35	female	ma	ma	english	masters_degree	70
36	male	pa	pa	english	some_college_no_degree	75
37	female	louisiana	georgia	english	some_college_no_degree	67
38	female	ohio	florida	english	masters_degree	70
39	male	pensylvania	florida	english	bachelors_degree	73
40	female	scotland	england	english	masters_degree	71
41	male	staffordshire	staffordshire	english	bachelors_degree	66
42	male	hampshire	cornwall	english	some_college_no_degree	65
43	male	swanseawalesuk	swanseawalesuk	english	some_high_school	77
44	male	uk	wiltshire	english	masters_degree	85
45	female	england	england	english	high_school_graduate	76
46	female	newcastleupontyne	northumberland	english	associates_degree	66
47	male	leicestershire	leicestershire	english	bachelors_degree	66
48	female	uk	uk	english	high_school_graduate	68
49	male	liverpoollancashireslashmanchesteruk	liverpoolmerseysideslashlancashire	english	bachelors_degree	65
50	female	manchester	manchester	english	high_school_graduate	70
51	female	cumbria	cumbria	english	masters_degree	70
52	male	northeastengland	southeastengland	english	some_college_no_degree	75
53	female	cheshire	berkshire	english	bachelors_degree	70
54	female	britain	britain	english	bachelors_degree	80
55	female	surrey	hampshire	english	some_high_school	71
56	male	nottinghamshire	southyorkshire	english	bachelors_degree	66
57	male	london	surrey	english	bachelors_degree	71
58	male	hertfordshire	devon	english	some_college_no_degree	68
59	female	london	cornwall	english	bachelors_degree	72
60	male	surrey	northyorkshire	english	high_school_graduate	69
61	female	england	england	english	some_college_no_degree	72
62	male	cambridgeshire	oxfordshire	english	masters_degree	67
63	female	scotland	scotland	english	high_school_graduate	66
64	male	england	england	english	associates_degree	75
65	female	countydurhamengland	northumberland	english	bachelors_degree	66
66	male	england	england	english	some_college_no_degree	76
67	female	texas	texas	english	some_college_no_degree	71
68	male	yorkshire	merseyside	english	high_school_graduate	74
69	female	westyorkshire	westyorkshire	english	masters_degree	72
70	male	staffordshire	staffordshire	english	some_college_no_degree	67
71	female	berkshire	berkshire	english	high_school_graduate	67
72	male	westyorkshire	westyorkshire	english	some_college_no_degree	65
73	female	essexuk	uk	english	bachelors_degree	66
74	male	staffordshire	staffordshire	english	masters_degree	68
75	male	berkshire	berkshire	english	some_college_no_degree	67
76	female	uk	uk	english	associates_degree	76
77	female	eastyorkshire	eastyorkshire	english	bachelors_degree	67
78	female	unitedkingdom	unitedkingdom	english	masters_degree	65
79	female	kent	middlesex	english	some_college_no_degree	70
80	female	scotland	eastsussex	english	bachelors_degree	72
81	male	surrey	yorkshire	english	some_college_no_degree	83
82	female	london	kent	english	masters_degree	69
83	male	westmidlands	westmidlands	english	masters_degree	68
84	male	uk	uk	english	masters_degree	73
85	male	ohio	kentunitedkingdom	english	masters_degree	66
86	male	hampshire	kent	english	bachelors_degree	77
87	female	northeastengland	northeastengland	english	some_college_no_degree	65
88	female	berksuk	dorsetuk	english	doctorate	70
89	male	england	england	english	some_college_no_degree	69
90	female	london	gwynedd	english	bachelors_degree	65
91	female	lancashire	staffordshire	english	high_school_graduate	65
92	male	uk	uk	english	high_school_graduate	71
93	male	yorkshire	yorkshire	english	masters_degree	68
94	female	uk	england	english	bachelors_degree	66
95	male	fife	fife	english	some_college_no_degree	70
96	male	cardiff	cardiff	english	associates_degree	66
97	female	connecticut	reggioemilia	english	some_college_no_degree	71
