id	stimulus_word	rating	rt
1	sneaky	2	1.712
1	sting	2	1.747
1	stupendous	5	3.016
1	powwow	5	2.983
1	proclaim	5	1.504
1	wretched	1	2.266
1	oppressed	1	1.267
1	congratulations	8	1.684
1	diver	5	2.206
1	booger	NA	3.225
1	ratchet	4	2.385
1	shoot	1	1.553
1	tearful	1	1.434
1	refreshing	7	1.586
1	blabbermouth	2	1.767
1	presume	5	2.838
1	lacrosse	5	2.135
1	persistence	6	2.204
1	personnel	5	3.42
1	lettuce	5	1.169
1	saucer	5	1.421
1	imaging	5	1.125
1	lifeboat	6	1.483
1	extravagance	5	1.134
1	initiation	4	2.279
1	roomy	6	1.601
1	millionth	5	1.543
1	appliance	5	1.496
1	muskrat	5	1.246
1	legitimacy	5	2.065
1	discretionary	5	1.12
1	railing	5	1.1
1	shallow	4	1.941
1	flirtation	5	1.086
1	infamy	4	1.482
1	chancellor	5	1.398
1	tardy	4	1.782
1	leper	3	1.455
1	motivational	6	1.399
1	chug	5	1.607
1	ghoul	2	2.163
1	reprogram	4	1.586
1	battleship	5	1.08
1	waiver	5	0.99
1	pine	5	1.261
1	tap	5	1.011
1	representative	5	1.087
1	prissy	4	1.553
1	polygraph	5	2.205
1	declaration	5	0.878
1	stapler	5	0.989
1	dunce	4	1.419
1	waive	5	0.871
1	update	5	1.031
1	entree	6	2.365
1	softener	5	0.885
1	regal	5	1.024
1	stressful	3	1.872
1	onboard	5	1.427
1	zoo	5	1.364
1	torture	1	1.544
1	suitcase	5	1.203
1	squire	5	1.037
1	staph	2	1.962
1	seaside	8	2.405
1	automobile	4	1.474
1	managerial	4	1.482
1	spear	3	1.28
1	export	5	1.642
1	govern	5	1.391
1	tawdry	4	1.503
1	mildew	3	1.599
1	engraving	5	3.024
1	escape	5	1.358
1	mystique	6	1.239
1	misuse	4	1.489
1	aviator	5	1.447
1	provincial	5	1.703
1	axe	3	1.74
1	individuality	6	1.751
1	symbolic	6	1.217
1	regroup	5	1.002
1	collegiate	5	1.085
1	lace	6	2.065
1	heady	5	1.683
1	chicken	5	1.038
1	midair	4	2.142
1	hacienda	6	2.516
1	precaution	5	1.302
1	biggie	5	1.564
2	footloose	8	1.932
2	corrective	2	2.212
2	belongings	5	3.346
2	eternity	9	1.746
2	innkeeper	9	1.666
2	bonehead	6	2.681
2	isolate	2	2.382
2	crafty	7	2.649
2	grassy	4	3.464
2	everlasting	7	2.579
2	skeet	3	5.282
2	ethnic	4	5.366
2	airlock	2	2.15
2	admin	1	3.148
2	monument	6	2.017
2	camcorder	5	2.564
2	twit	4	2.898
2	origami	7	2.081
2	recap	4	2.352
2	stern	3	2.197
2	chastity	3	3.114
2	porker	3	2.28
2	merry	8	2.096
2	possessive	2	2.38
2	operator	5	2.715
2	objective	5	1.797
2	curious	6	1.596
2	migrate	4	1.897
2	count	5	1.584
2	regulation	2	2.161
2	paranormal	7	1.968
2	wagon	5	1.768
2	sourpuss	2	2.33
2	grope	1	1.747
2	tickle	8	3.014
2	quantity	5	1.831
2	soybean	5	1.266
2	cushy	4	2.847
2	enchantment	8	1.881
2	phone	9	2.664
2	rob	1	2.297
2	strategy	6	3.565
2	bustle	7	2.599
2	vagrancy	2	1.936
2	seniority	1	1.929
2	moth	6	3.33
2	fugitive	3	1.885
2	fictional	8	1.898
2	sap	2	1.732
2	race	1	2.297
2	tepee	8	2.514
2	tuxedo	8	1.781
2	involve	8	1.729
2	rattle	4	1.767
2	scintillating	9	2.196
2	touchy	2	2.129
2	shampoo	5	1.747
2	mope	1	1.834
2	synergy	5	2.4
2	tactic	5	1.6
2	researcher	9	2.147
2	library	9	1.916
2	ridge	5	3.03
2	infuriating	2	2.019
2	farmer	7	2.481
2	crash	1	1.582
2	martial	1	1.918
2	deco	5	2.814
2	reservation	2	2.367
2	preferential	6	2.68
2	mescaline	1	2.196
2	passageway	5	2.847
2	ruff	5	3.865
2	conducive	6	2.248
2	dweeb	8	2.747
2	bedspread	7	1.863
2	hideout	8	2.031
2	piazza	9	2.344
2	disrespect	3	2.53
2	toll	5	2.564
2	rye	6	2.232
2	technology	7	1.848
2	jury	3	2.133
2	assignment	1	2.007
2	unnecessary	1	1.164
2	clasp	4	3.551
2	spectacle	5	3.147
2	grandstand	7	2.113
2	blouse	7	1.279
2	skirmish	3	2.297
3	negativity	1	4.173
3	nourish	9	1.792
3	perm	3	4.176
3	pale	5	5.618
3	tempt	4	3.61
3	turkey	5	2.206
3	tropical	8	3.186
3	selection	7	2.856
3	hydrant	5	2.892
3	tiresome	1	2.274
3	prestigious	8	3.215
3	disinfect	5	2.443
3	hoodlum	4	2.722
3	plaster	7	4.048
3	sphinx	9	4.63
3	rehabilitation	9	2.406
3	try	5	4.45
3	homeland	9	1.928
3	mannequin	5	2.458
3	creek	7	3.916
3	materialize	7	2.571
3	booster	5	5.969
3	terminal	2	2.119
3	insinuate	3	4.373
3	adobe	5	4.579
3	fisherman	9	1.668
3	skunk	3	3.714
3	solicitor	1	2.116
3	insolent	1	2.648
3	download	3	2.89
3	trader	6	4.15
3	design	9	1.665
3	enroll	5	2.489
3	inlet	5	3.517
3	bunghole	5	3.875
3	savings	9	4.564
3	jungle	5	2.743
3	trampoline	5	2.407
3	roasted	9	1.894
3	fragment	5	1.958
3	steam	5	1.735
3	contagious	1	2.273
3	handy	9	2.257
3	wildcat	3	2.915
3	remarry	9	4.898
3	intolerable	1	1.805
3	brim	9	4.932
3	broadsword	5	1.919
3	uncouth	1	3.11
3	shaker	6	3.879
3	abolish	1	10.116
3	prenatal	5	4.342
3	prohibition	1	2.354
3	weirdness	8	3.329
3	tablecloth	5	2.06
3	gymnasium	6	2.57
3	outback	5	4.167
3	conservation	9	2.525
3	glisten	9	2.12
3	inseparable	1	3.392
3	hollow	5	4.847
3	guitarist	9	1.685
3	diarrhea	1	1.588
3	unhappiness	1	1.338
3	yarn	9	2.888
3	perish	1	2.324
3	northwestern	5	3.695
3	swamp	1	1.538
3	elastic	5	6.345
3	boar	9	3.345
3	repaint	9	2.521
3	marker	1	7.582
3	disgrace	1	1.787
3	fluffy	9	1.832
3	caterpillar	5	1.919
3	extinguisher	9	3.446
3	sulk	1	1.927
3	intrude	1	1.807
3	insecure	1	4.094
3	alternate	9	2.1
3	compulsion	2	3.282
3	checkup	2	2.555
3	fowl	9	2.778
3	crossword	8	3.306
3	vegetable	9	1.557
3	behave	2	2.692
3	demolition	1	2.157
3	adrenaline	8	3.206
3	spaceship	5	2.709
3	desecration	1	1.435
4	cranny	NA	3.575
4	bomb	1	1.583
4	skewer	5	2.549
4	commemorate	5	2.506
4	bitsy	5	1.774
4	hypochondriac	1	1.974
4	recognize	5	2.283
4	stroke	5	1.918
4	whit	5	1.917
4	hairline	5	1.967
4	equipment	7	2.055
4	zipper	5	1.65
4	frosted	5	1.933
4	sarcophagus	3	4.225
4	maximize	6	2.202
4	racial	5	3.184
4	lofty	5	1.265
4	bloodshot	3	2.5
4	coolant	3	2.3
4	tattletale	2	2.791
4	umbilical	5	2.318
4	hurricane	3	1.65
4	slicker	5	2.3
4	prima	5	1.967
4	gunman	1	1.583
4	examination	5	2.052
4	queue	5	1.933
4	mistress	5	1.4
4	tiger	5	2.15
4	primer	5	1.389
4	dominatrix	2	2.35
4	insidious	2	1.657
4	await	5	2.151
4	mucous	2	2.492
4	testimony	5	2.456
4	yard	7	1.633
4	cottage	8	2.104
4	quantum	5	2.367
4	customized	5	1.615
4	patent	5	1.584
4	foil	5	1.52
4	payback	3	2.168
4	reference	8	1.674
4	thingy	5	1.833
4	ink	5	1.767
4	bazooka	5	1.6
4	altitude	5	1.615
4	peril	3	1.519
4	victorious	8	1.901
4	potent	6	1.966
4	clang	6	2.131
4	hayride	6	1.519
4	payoff	4	2.2
4	justify	5	2.032
4	aphrodisiac	5	2.056
4	anthropologist	6	3.9
4	volcano	5	1.752
4	pistol	1	1.551
4	praise	8	1.749
