id	gender	childhood_location	current_location	native_language	education	age
546	female	southcarolina	illinois	english	masters_degree	27
547	female	ontario	ontario	english	some_college_no_degree	19
548	male	florida	florida	english	high_school_graduate	18
549	female	minnesota	hawaii	english	bachelors_degree	24
550	other	missouri	oklahoma	english	bachelors_degree	27
551	male	california	oregon	english	bachelors_degree	46
552	male	bc	bc	english	high_school_graduate	19
553	female	britishcolumbia	britishcolumbia	english	high_school_graduate	20
554	male	arizona	arizona	english	associates_degree	28
555	female	california	california	english	bachelors_degree	25
556	female	britishcolumbia	britishcolumbia	english	bachelors_degree	24
557	female	alberta	britishcolumbia	english	some_college_no_degree	36
558	female	britishcolumbia	britishcolumbia	english	bachelors_degree	45
559	male	ohio	california	english	some_college_no_degree	36
560	other	alberta	bc	english	some_college_no_degree	29
561	male	alberta	britishcolumbia	english	bachelors_degree	40
562	male	ontario	mississauga	english	bachelors_degree	26
563	female	alberta	alberta	english	masters_degree	34
564	male	alberta	alberta	english	bachelors_degree	24
565	male	alberta	alberta	english	bachelors_degree	25
566	male	alberta	alberta	english	bachelors_degree	34
567	no_say	montana	montana	english	some_college_no_degree	19
568	male	britishcolombia	alberta	english	some_college_no_degree	23
569	female	newbrunswick	newbrunswick	english	associates_degree	26
570	male	mb	mb	english	some_college_no_degree	43
571	female	illinois	missouri	english	bachelors_degree	25
572	female	texas	texas	english	some_college_no_degree	31
573	female	in	tx	spanish	bachelors_degree	38
574	female	fl	fl	english	some_college_no_degree	19
575	male	ontario	ontario	english	some_college_no_degree	21
576	male	ontario	ontario	english	bachelors_degree	36
577	male	northcarolina	northcarolina	english	some_college_no_degree	27
578	male	maryland	michigan	english	masters_degree	53
579	female	ontario	ontario	english	bachelors_degree	25
580	male	ontario	ontario	english	some_high_school	24
581	female	quebec	quebec	english	some_college_no_degree	21
582	male	newjersey	pennsylvania	english	bachelors_degree	24
583	female	nc	nc	english	doctorate	33
584	male	massachusetts	massachusetts	english	bachelors_degree	23
585	female	colorado	rhodeisland	english	masters_degree	35
586	male	northcarolina	northcarolina	english	associates_degree	22
587	male	ontario	ontario	english	some_college_no_degree	24
588	male	ontario	ontario	english	some_high_school	21
589	female	ontario	ontario	english	bachelors_degree	29
590	female	ontario	ontario	english	associates_degree	43
591	female	va	md	english	bachelors_degree	31
592	female	ontario	ontario	english	masters_degree	29
593	no_say	alberta	ontario	english	bachelors_degree	31
594	female	brooklyn	ny	english	bachelors_degree	46
595	female	tennessee	countyantrim	english	bachelors_degree	44
596	female	manitoba	bc	english	bachelors_degree	51
597	female	california	california	english	high_school_graduate	23
598	male	bc	bc	english	bachelors_degree	48
599	female	newjersey	california	english	high_school_graduate	21
600	female	washington	california	english	bachelors_degree	47
601	male	bc	bc	english	bachelors_degree	29
602	female	ab	bc	english	bachelors_degree	34
603	male	california	arizona	english	bachelors_degree	25
604	female	illinois	washington	english	some_college_no_degree	22
605	male	britishcolumbia	britishcolumbia	english	some_college_no_degree	21
606	male	alberta	alberta	english	bachelors_degree	34
607	male	saskatchewan	saskatchewan	english	bachelors_degree	26
608	male	alberta	alberta	english	masters_degree	39
609	male	alberta	alberta	english	bachelors_degree	35
610	male	alberta	alberta	english	NA	32
611	female	saskatchewan	saskatchewan	english	some_high_school	33
612	male	mb	mb	english	bachelors_degree	24
613	NA	manitoba	manitoba	english	NA	35
614	male	kentucky	wisconsin	english	bachelors_degree	24
615	male	california	ontario	english	associates_degree	27
616	female	ontario	ontario	english	some_college_no_degree	34
617	female	connecticut	northcarolina	english	bachelors_degree	52
618	male	ontario	ontario	english	bachelors_degree	37
619	male	maine	connecticut	english	high_school_graduate	24
620	female	ontario	ontario	english	bachelors_degree	47
621	male	ontario	ontario	english	bachelors_degree	30
622	female	ontariocanada	ontariocanada	english	masters_degree	37
623	female	nj	nj	english	bachelors_degree	21
624	female	ontario	ontario	english	doctorate	30
625	female	ny	fl	english	associates_degree	35
626	male	ontario	ontario	english	masters_degree	26
627	male	ontario	ontario	english	bachelors_degree	42
628	male	ontario	ontario	english	bachelors_degree	34
629	male	ontario	ontario	english	some_college_no_degree	29
630	female	ontario	ontario	english	bachelors_degree	31
