id	stimulus_word	rating	rt
546	cranium	5	1.367
546	devilish	5	3.551
546	miscellaneous	5	1.517
546	reinforce	6	2.204
546	stronghold	6	3.162
546	sorcerer	7	1.352
546	heartache	3	1.401
546	gasket	5	1.885
546	juncture	4	2.917
546	lice	1	1.336
546	paramedics	7	1.719
546	gauntlet	3	1.586
546	decode	6	1.167
546	noggin	5	1.318
546	unlock	7	1.634
546	friction	3	1.201
546	greeting	8	1.251
546	overthrow	3	1.451
546	byline	5	2.002
546	infatuation	7	1.518
546	irritation	2	2.568
546	accountability	7	1.167
546	plank	5	1.135
546	orphan	2	1.517
546	cinch	3	1.336
546	sprinkler	5	1.384
546	unappreciated	1	1.617
546	reassignment	4	1.834
546	reviewer	3	1.751
546	folder	5	1.602
546	ladybug	9	2.352
546	burglar	2	1.185
546	engage	6	1.204
546	daybreak	6	1.485
546	adorable	7	1.086
546	checkered	4	1.317
546	shack	2	1.268
546	transvestite	1	2.467
546	cornflakes	6	1.468
546	chopper	5	2.418
546	disposition	5	1.318
546	coerce	4	1.218
546	paradox	6	1.319
546	strikeout	5	1.551
546	elixir	7	1.118
546	quartermaster	6	1.3
546	chloroform	2	1.285
546	separation	3	2.034
546	tar	2	1.634
546	pester	1	1.118
546	nether	4	3.001
546	mosquito	2	1.668
546	inhabit	4	2.617
546	onstage	6	1.085
546	joyous	7	2.201
546	meditate	8	1.052
546	intestine	2	1.32
546	goose	5	1.118
546	prevailing	4	1.901
546	muffin	6	1.552
546	comprehensive	5	1.401
546	recreational	7	1.368
546	coincidental	5	1.351
546	peacetime	8	1.101
546	magistrate	3	1.551
546	reverse	5	1.47
546	numbskull	3	1.368
546	quicksand	3	1.184
546	alfalfa	5	1.435
546	drat	4	2.251
546	salsa	7	1.302
546	simulator	5	1.434
546	violence	2	1.168
546	brat	1	1.668
546	announcement	6	1.483
546	latitude	5	1.168
546	dashing	6	1.268
546	peacekeeper	7	1.001
546	sill	n	2.051
546	echelon	6	4.901
546	puffy	2	1.253
546	concierge	5	1.351
546	string	5	1.451
546	kappa	n	1.419
546	leash	3	1.269
546	embarrassing	3	1.834
546	infinity	6	1.284
546	scorpion	2	1.401
546	pearly	6	1.152
546	hike	7	1.402
547	horrible	2	0.648
547	expense	2	1.634
547	fantastic	9	0.7
547	skull	5	1.384
547	nationality	5	0.918
547	wag	5	0.852
547	neurotic	5	0.918
547	damsel	5	0.768
547	reason	4	1.252
547	practical	5	0.947
547	chat	2	0.749
547	sharp	9	0.851
547	mop	9	0.717
547	codeine	2	0.985
547	taco	9	0.75
547	dimension	4	0.784
547	ruler	2	1.351
547	pie	9	0.734
547	assign	7	0.784
547	tough	5	0.551
547	flight	2	0.618
547	rap	2	0.917
547	burp	5	0.75
547	rumor	2	1.216
547	image	5	1.001
547	fact	5	0.633
547	coma	2	1.002
547	cease	4	0.636
547	vigor	2	0.665
547	endless	5	0.534
547	niece	7	0.684
547	harmless	4	0.834
547	clinic	8	0.868
547	cop	5	1.601
547	bitter	2	1.102
547	tuition	4	1.184
547	boyish	5	1.084
547	drink	8	0.919
547	work	3	2.217
547	ritual	4	0.651
547	drunk	2	0.801
547	dessert	3	0.8
547	let	7	0.618
547	common	3	0.501
547	wealthy	4	0.466
547	creativity	5	0.951
547	knuckle	5	0.701
547	proud	8	0.886
547	inner	3	0.851
547	naughty	7	1.552
547	maiden	3	0.9
547	stumble	4	0.735
547	unkind	2	0.784
547	kiss	8	0.734
547	paternal	7	1.05
547	purity	4	0.6
547	comforting	3	0.817
547	specific	8	0.749
547	madam	7	0.818
547	puny	3	0.733
547	jog	5	0.733
547	hate	5	1.417
547	perpetual	5	0.518
547	four	4	0.767
547	karma	5	0.534
547	crotch	8	0.867
547	casual	3	0.819
547	elementary	7	0.683
547	vivid	7	0.083
547	company	4	0.57
547	address	3	0.401
547	sad	8	0.317
547	exhaust	4	0.351
547	lick	2	0.27
547	shame	3	0.534
547	excitement	4	0.518
547	playful	7	0.984
547	classroom	8	0.468
547	usual	9	0.669
547	pubic	8	0.385
547	insane	7	0.501
547	liar	8	0.485
547	vitamin	4	0.469
547	passion	8	0.634
547	handsome	4	0.9
547	repeat	3	0.337
547	earnings	8	0.733
547	crusade	7	0.318
547	vertical	8	0.4
547	bride	4	0.417
548	blood	4	2.317
548	amateur	4	2.169
548	center	5	1.857
548	gut	5	2.774
548	cubicle	4	2.208
548	grip	5	1.658
548	suppose	5	2.242
548	concert	7	1.626
548	fag	1	2.442
548	bravery	6	2.872
548	unprotected	4	2.023
548	lounge	6	1.638
548	forwarding	4	2.138
548	visa	5	2.889
548	forehead	5	1.436
548	optimism	7	2.553
548	youngster	4	2.261
548	sprint	5	6.174
548	crazy	4	2.541
548	commitment	6	2.073
548	judge	5	1.638
548	noise	3	1.422
548	worthwhile	5	1.603
548	kick	4	1.987
548	studio	7	1.823
548	mausoleum	6	3.621
548	skinny	8	2.09
548	banter	4	2.279
548	sigh	4	2.072
548	gent	n	2.286
548	importance	5	2.204
548	time	5	1.626
548	busy	4	1.557
548	factor	5	2.904
548	physics	2	2.44
548	confusion	4	1.787
548	dick	2	2.97
548	share	6	1.99
548	dance	6	3.271
548	wonderful	8	1.542
548	research	5	2.276
548	popular	4	3.207
548	manage	5	2.237
548	ask	6	1.57
548	slender	7	1.339
548	abstain	n	2.638
548	scream	3	1.953
548	lethal	3	1.942
548	skiing	6	3.356
548	farewell	4	1.893
548	ruin	4	1.505
548	bargain	7	1.64
548	shut	5	1.507
548	incentive	7	2.205
548	kilometer	5	1.472
548	virgin	5	3.354
548	travel	6	2.155
548	imply	5	1.471
548	stir	5	1.352
548	deceptive	4	1.624
548	writer	6	1.325
548	buddy	6	1.191
548	tantrum	3	1.657
548	sell	6	1.797
548	giver	7	1.391
548	waist	5	1.688
548	enema	n	1.773
548	crisp	6	1.571
548	wish	7	1.187
548	team	4	1.904
548	excellence	8	1.44
548	stiff	3	1.954
548	way	5	1.487
548	poison	3	2.954
548	discount	7	1.792
548	rite	6	4.973
548	smell	5	1.921
548	husband	4	2.223
548	superior	6	2.254
548	geek	6	2.29
548	talker	4	1.64
548	care	7	1.288
548	keep	6	1.512
548	weekend	8	3.222
548	reek	3	2.524
548	funding	8	1.971
548	offense	4	3.247
548	powerful	8	5.506
548	tired	4	2.474
548	exciting	7	2.972
549	agree	5	2.038
549	dead	1	1.613
549	maker	5	1.3
549	twirl	6	1.482
549	tasty	7	1.214
549	affect	5	1.454
549	sit	5	2.13
549	grand	6	1.547
549	unsure	3	1.23
549	back	5	1.396
549	wedding	7	1.517
549	attack	2	1.281
549	clan	4	2.254
549	temple	8	2.595
549	ideal	6	1.181
549	hump	5	2.232
549	dark	5	1.703
549	thought	5	0.898
