"SubID","Exposure","List","Trial","DMDX","Item","OrthographicStatus","VisualOverlap","Acc","RT"
"801",33,"1",101,"13241","41","Consonant String","High",0,-700.56
"801",33,"1",112,"11213","13","Word","High",1,959.43
"801",33,"1",90,"12243","43","Pseudo-Word","High",1,986
"801",33,"1",1,"13106","06","Consonant String","Low",0,-1492.73
"801",33,"1",57,"12231","31","Pseudo-Word","High",1,936.64
"801",33,"1",68,"11223","23","Word","High",1,875.2
"801",33,"1",79,"12205","05","Pseudo-Word","High",1,1220.76
"801",33,"1",70,"11122","22","Word","Low",1,746.58
"801",33,"1",71,"11136","36","Word","Low",1,796.45
"801",33,"1",72,"11245","45","Word","High",1,1361.35
"801",33,"1",73,"12247","47","Pseudo-Word","High",0,-752.59
"801",33,"1",74,"11209","09","Word","High",1,804.45
"801",33,"1",75,"12142","42","Pseudo-Word","Low",0,-1082.34
"801",33,"1",76,"11219","19","Word","High",1,691.91
"801",33,"1",77,"11120","20","Word","Low",1,709.77
"801",33,"1",78,"13138","38","Consonant String","Low",1,1193.99
"801",33,"1",80,"13102","02","Consonant String","Low",1,1105.9
"801",33,"1",81,"12110","10","Pseudo-Word","Low",1,924.79
"801",33,"1",82,"11225","25","Word","High",0,-1127.02
"801",33,"1",83,"12223","23","Pseudo-Word","High",1,1602.62
"801",33,"1",84,"13243","43","Consonant String","High",1,1253.56
"801",33,"1",85,"12201","01","Pseudo-Word","High",0,-1247.47
"801",33,"1",86,"12114","14","Pseudo-Word","Low",1,1204.39
"801",33,"1",87,"11203","03","Word","High",1,763.3
"801",33,"1",123,"12221","21","Pseudo-Word","High",1,1056.66
"801",33,"1",134,"12237","37","Pseudo-Word","High",1,948.56
"801",33,"1",2,"13247","47","Consonant String","High",0,-687.44
"801",33,"1",13,"12106","06","Pseudo-Word","Low",1,1220.99
"801",33,"1",24,"12219","19","Pseudo-Word","High",1,1138.24
"801",33,"1",35,"12124","24","Pseudo-Word","Low",0,-1226.81
"801",33,"1",46,"13134","34","Consonant String","Low",1,778.38
"801",33,"1",52,"11134","34","Word","Low",1,830.92
"801",33,"1",53,"13203","03","Consonant String","High",1,1240.49
"801",33,"1",54,"12148","48","Pseudo-Word","Low",1,750.05
"801",33,"1",55,"12134","34","Pseudo-Word","Low",1,1279.94
"801",33,"1",56,"13128","28","Consonant String","Low",1,1199.53
"801",33,"1",58,"11211","11","Word","High",1,716.4
"801",33,"1",59,"11231","31","Word","High",1,676.61
"801",33,"1",60,"12227","27","Pseudo-Word","High",1,1030.15
"801",33,"1",61,"13221","21","Consonant String","High",1,1151.72
"801",33,"1",62,"11215","15","Word","High",0,-1012.63
"801",33,"1",63,"13146","46","Consonant String","Low",1,1097.86
"801",33,"1",64,"11217","17","Word","High",1,1223.78
"801",33,"1",65,"11241","41","Word","High",1,964.02
"801",33,"1",66,"13136","36","Consonant String","Low",1,956.25
"801",33,"1",67,"11106","06","Word","Low",1,622.12
"801",33,"1",69,"11126","26","Word","Low",1,1265.34
"801",33,"1",114,"13104","04","Consonant String","Low",0,-778.67
"801",33,"1",115,"11102","02","Word","Low",0,-1295.24
"801",33,"1",116,"12136","36","Pseudo-Word","Low",0,-1211.37
"801",33,"1",117,"11201","01","Word","High",1,757.59
"801",33,"1",118,"11207","07","Word","High",1,660.46
"801",33,"1",119,"12203","03","Pseudo-Word","High",1,942.67
"801",33,"1",120,"11237","37","Word","High",1,618.55
"801",33,"1",121,"11112","12","Word","Low",1,546.74
"801",33,"1",122,"13126","26","Consonant String","Low",1,1098.62
"801",33,"1",124,"12225","25","Pseudo-Word","High",0,-1110.52
"801",33,"1",125,"12102","02","Pseudo-Word","Low",0,-1126.76
"801",33,"1",126,"12217","17","Pseudo-Word","High",1,1166.34
"801",33,"1",127,"13142","42","Consonant String","Low",1,911.58
"801",33,"1",128,"11132","32","Word","Low",1,845.79
"801",33,"1",129,"12128","28","Pseudo-Word","Low",1,809.67
"801",33,"1",130,"12239","39","Pseudo-Word","High",1,1078.9
"801",33,"1",131,"11110","10","Word","Low",1,909.46
"801",33,"1",132,"13118","18","Consonant String","Low",1,1277.7
"801",33,"1",133,"12108","08","Pseudo-Word","Low",1,1052.28
"801",33,"1",135,"13209","09","Consonant String","High",0,-1235.19
"801",33,"1",136,"12233","33","Pseudo-Word","High",1,870.76
"801",33,"1",137,"11116","16","Word","Low",1,1145.98
"801",33,"1",138,"13213","13","Consonant String","High",1,1385.89
