Recommended Column Name,Description
participant_id,Unique identifier assigned to each participant.
phase_id,"Identifier for the experimental phase or block a trial belongs to (e.g., practice, test, recall)."
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
list,Experimental list number (1-8). Items were distributed across 8 lists.
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
condition,Experimental condition assigned to the trial.
catch,Flag if the item is used as a catch trial to evaluate participant's attention
response,Participant's response
accuracy,Binary indicator of whether the participant's response was correct.
rt,"Time taken by the participant to respond, in milliseconds."
age,Age of the participant at the time of the experiment.
