"ID","num","participante","edad","género","idioma.nativo","target_word_control","target_word","response.text","generation.started","generation.stopped","Palabra","emotion","Palabra_control","response_control.text","generation_control.started","acc_r","Len","words","zipf","cosine","type"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",16,"6143",19,"Mujer","Castellano","","enfadado","plantado",250.5947,266.812,"landado","anger","","",NA,0.6,8,"casa",5.605941,0.443472719703978,"targetH2"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",15,"6143",19,"Mujer","Castellano","","insulto","palabrota",268.3121,275.2381,"palabrostio","anger","","",NA,0.6,9,"europa",5.668761,0.68762520571938,"targetH2"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",7,"6143",19,"Mujer","Castellano","","eufórico","eufórico",399.0717,406.6982,"frórico","happiness","","",NA,0.6,8,"qué",5.916488,0.431584236948539,"targetH2"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",20,"6143",19,"Mujer","Castellano","","enemigo","incendio",408.1964,417.0888,"eniecido","anger","","",NA,0.6,8,"rey",5.516478,0.29870495998146,"targetH2"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",10,"6143",19,"Mujer","Castellano","","añoranza","esperanza",211.4641,225.1692,"queranza","sadness","","",NA,0.6,9,"año",5.859974,0.628357365016471,"targetH2"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",19,"6143",19,"Mujer","Castellano","","censura","debate",457.7347,494.1009,"desabete","disgust","","",NA,0.6,6,"cómo",5.530562,0.277642176457027,"targetH2"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",2,"6143",19,"Mujer","Castellano","","lejanía","distanciación",151.9223,181.5261,"distantación","sadness","","",NA,0.6,13,"también",6.311215,0.575866723237386,"targetH2"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",8,"6143",19,"Mujer","Castellano","","ruina","festín",297.2183,308.9565,"descín","sadness","","",NA,0.6,6,"esto",5.862731,0.275047826780284,"targetH2"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",13,"6143",19,"Mujer","Castellano","","intruso","rastro",495.6009,500.2445,"dastro","fear","","",NA,0.6,6,"speaker",5.718739,0.324073324375547,"targetH2"
"006143_discrete_emotions_2025-03-10_16h53.55.360.csv",6,"6143",19,"Mujer","Castellano","","espada","puntiaguda",324.4435,330.8024,"puntiaguja","fear","","",NA,0.6,10,"sólo",5.939816,0.864917279027713,"targetH2"
