"","participant","fullscreen","html_button_response","exp_duration","mean_duration","med_duration","...1","number","item","internal_name","label_cond","label_word","val_label","type","listname","gender","age","language","monolingual","attention","distractions","notice","easy_hard","about","trial_order","subject","pronoun","picture","prompt","valence","resp.order","critical","exclude","critical_new","corrected","exclude2","valence_crit"
"1","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,21,46,16,"safety_isolation","positive","safety",7.14,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",11,"general referent","this","safety_isolation.png","Clear yellow liquid in thick glass plate wrapped with dense wire mesh. Behind the liquid you can see paradise",96,"critical2","dome","no","dome",,,5.95
"2","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,6,55,19,"fairy_demon","positive","fairy",6.71,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",23,"general referent","this","fairy_demon.png","Charred, thin strand of string with a halo that snakes elegantly toward the sky.",50,"critical1","fire","no","fire",,,4.32
"3","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,19,9,3,"rebirth_apocalypse","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",6,"general referent","this","rebirth_apocalypse.png","A bursting stone floor with stones flying in all directions. From the center of the explosion, brown cords grow towards a light coming from above.""",37,"critical2","bang","no","bang",,,5.1
"4","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,21,46,16,"safety_isolation","positive","safety",7.14,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",11,"general referent","this","safety_isolation.png","Clear yellow liquid in thick glass plate wrapped with dense wire mesh. Behind the liquid you can see paradise",96,"critical3","fairy","no","fairy",,,6.71
"5","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,16,45,15,"organism_virus","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",7,"general referent","this","organism_virus.png","Green ball made of little broccolies flying in space",5,"critical3","large","no","large",,,5.77
"6","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,14,23,8,"museum_sewer","negative","sewer",2.9,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",8,"general referent","this","museum_sewer.png","Sewer decorated as an art gallery",40,"critical3","art","no","art",,,6.85
"7","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,7,32,11,"guardian_nemesis","negative","nemesis",2.44,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",0,"general referent","this","guardian_nemesis.png","Outstretched hand consisting of clouds of mist tries to cover the black hole underneath. Surrealism style",11,"critical2","hole","no","hole",,,5.28
"8","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,7,32,11,"guardian_nemesis","negative","nemesis",2.44,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",0,"general referent","this","guardian_nemesis.png","Outstretched hand consisting of clouds of mist tries to cover the black hole underneath. Surrealism style",11,"critical1","god","no","god",,,5.9
"9","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,8,68,23,"guest_intruder","negative","intruder",2.46,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",10,"concrete referent","it","guest_intruder.png","Friendly creature with dinosaur skin that enters a room through a door",0,"critical3","scary","no","scary",,,3
"10","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,13,64,22,"mend_damage","positive","mend",6.53,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",20,"general referent","this","mend_damage.png","Green slime stain attached with nails to a labeled sheet of paper",12,"critical1","pain","no","pain",,,2
