Recommended Column Name,Description
participant_id,Unique identifier assigned to each participant.
age,Age of the participant at the time of the experiment.
gender,Self-reported or observed gender identity of the participant.
first_language,Participant's native or first-acquired language.
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
list,Experimental list number (1-8). Items were distributed across 8 lists.
phase_id,"Identifier for the experimental phase or block a trial belongs to (e.g., practice, test, recall)."
condition,Experimental condition assigned to the trial.
response,Participant's response
response_corrected,Cleaned / corrected response (spelling normalized).
image_filename,Filename or identifier for the presented image.
