participant_id,age,gender,first_language,trial_order,phase_id,condition,list,stimulus1_image,stimulus2_label,stimulus2_present,image_filename,critical2,critical1,critical3
association_101889.csv,28,female,english,11,critical,positive,itemlist2,safety_isolation,safety,yes,safety_isolation.png,dome,story,fairy
association_101889.csv,28,female,english,23,critical,positive,itemlist2,fairy_demon,fairy,yes,fairy_demon.png,ring,fire,tornado
association_101889.csv,28,female,english,6,critical,no_label,itemlist2,rebirth_apocalypse,NA,no,rebirth_apocalypse.png,bang,explode,boom
association_101889.csv,28,female,english,7,critical,no_label,itemlist2,organism_virus,NA,no,organism_virus.png,germ,virus,large
association_101889.csv,28,female,english,8,critical,negative,itemlist2,museum_sewer,sewer,yes,museum_sewer.png,grand,sewage,art
association_101889.csv,28,female,english,0,critical,negative,itemlist2,guardian_nemesis,nemesis,yes,guardian_nemesis.png,hole,god,doom
association_101889.csv,28,female,english,10,critical,negative,itemlist2,guest_intruder,intruder,yes,guest_intruder.png,story,monster,scary
association_101889.csv,28,female,english,20,critical,positive,itemlist2,mend_damage,mend,yes,mend_damage.png,gross,pain,dirty
association_101889.csv,28,female,english,4,critical,positive,itemlist2,creator_destroyer,creator,yes,creator_destroyer.png,story,supernatural,tall
association_101889.csv,28,female,english,17,critical,no_label,itemlist2,blessing_curse,NA,no,blessing_curse.png,army,fly,telescope
association_101889.csv,28,female,english,12,critical,no_label,itemlist2,pet_pest,NA,no,pet_pest.png,creature,mythical,small
association_101889.csv,28,female,english,19,critical,negative,itemlist2,ecstasy_agony,agony,yes,ecstasy_agony.png,hot,steam,fire
association_101889.csv,28,female,english,22,critical,positive,itemlist2,haven_prison,haven,yes,haven_prison.png,fairy,cloud,female
association_101889.csv,28,female,english,21,critical,negative,itemlist2,masterpiece_trash,trash,yes,masterpiece_trash.png,clean,spoon,sieve
association_101889.csv,28,female,english,13,critical,negative,itemlist2,explorer_invader,invader,yes,explorer_invader.png,tentacles,lamp,myth
association_101889.csv,28,female,english,16,critical,no_label,itemlist2,security_captivity,NA,no,security_captivity.png,crate,cheese,mouse
association_101889.csv,28,female,english,3,critical,negative,itemlist2,medley_chaos,chaos,yes,medley_chaos.png,art,junk,messy
association_101889.csv,28,female,english,2,critical,positive,itemlist2,refuge_abyss,refuge,yes,refuge_abyss.png,super,nature,hole
association_101889.csv,28,female,english,14,critical,negative,itemlist2,unity_separation,separation,yes,unity_separation.png,brain,puzzle,neuron
association_101889.csv,28,female,english,9,critical,positive,itemlist2,cure_poison,cure,yes,cure_poison.png,blue,potion,mythical
association_101889.csv,28,female,english,5,critical,no_label,itemlist2,leader_dictator,NA,no,leader_dictator.png,army,shout,gold
association_101889.csv,28,female,english,18,critical,no_label,itemlist2,oracle_impostor,NA,no,oracle_impostor.png,octopus,eye,story
association_101889.csv,28,female,english,15,critical,no_label,itemlist2,protector_warden,NA,no,protector_warden.png,holes,scary,doom
association_101889.csv,28,female,english,1,critical,positive,itemlist2,salvation_death,salvation,yes,salvation_death.png,supernatural,fairy,moon
association_107411.csv,31,male,englsih,3,critical,no_label,itemlist1,refuge_abyss,NA,no,refuge_abyss.png,rainbow,colorful,tunnel
association_107411.csv,31,male,englsih,14,critical,positive,itemlist1,medley_chaos,medley,yes,medley_chaos.png,frame,collage,art
association_107411.csv,31,male,englsih,12,critical,negative,itemlist1,protector_warden,warden,yes,protector_warden.png,NA,trapped,help
association_107411.csv,31,male,englsih,11,critical,positive,itemlist1,museum_sewer,museum,yes,museum_sewer.png,corridor,vintage,water
association_107411.csv,31,male,englsih,2,critical,negative,itemlist1,pet_pest,pest,yes,pet_pest.png,ears,creature,animal
association_107411.csv,31,male,englsih,22,critical,no_label,itemlist1,fairy_demon,NA,no,fairy_demon.png,cable,fire,desert
association_107411.csv,31,male,englsih,13,critical,negative,itemlist1,blessing_curse,curse,yes,blessing_curse.png,wings,cannon,bubble
association_107411.csv,31,male,englsih,16,critical,positive,itemlist1,masterpiece_trash,masterpiece,yes,masterpiece_trash.png,dish,spoon,metal
