column_name,description
participant_id,Unique identifier assigned to each participant.
age,Age of the participant at the time of the experiment.
gender,Self-reported or observed gender identity of the participant.
trial_id,Unique identifier for a single trial within a session or condition.
trial_order,Sequential position of the trial in the full experiment (25-1024; 1-24 absent as those were practice trials).
list,Experimental list number (1-10).
phase_id,Experimental block (block_1 to block_4). Each block contains 250 trials. Mandatory 3-minute break after block_2.
accuracy,Binary indicator of whether the participant's response was correct.
condition,Experimental condition assigned to the trial.
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
response,"A=abstract, C=concrete, T=timed out."
rt,"Time taken by the participant to respond, in milliseconds."
is_rt_outlier,Flag marking RT outliers removed from RT analyses.
concrete_rating,Mean concreteness rating from Brysbaert et al. (2013) norms (scale 1-5; 1=abstract to 5=concrete).
naart_score,Participant score on the North American Adult Reading Test (NAART35; Uttl 2002). Index of vocabulary and verbal ability.
ehi_score,Raw score on the Edinburgh Handedness Inventory (-100=fully left-handed to +100=fully right-handed).
ehi_class,"Handedness classification derived from EHI score (L=left-handed, R=right-handed, A=ambidextrous). Used to assign response hand per condition."
rt_raw,"Raw unprocessed response time for the trial in milliseconds, before any cleaning or outlier removal."
rt_zscore,Z-scored RT within each participant x block. Minimizes influence of individual differences in processing speed.
list_order,Sequential position of the trial within its assigned list (1-250).
prev_rt,Cleaned RT (ms) on the immediately preceding trial. NA if previous trial was incorrect or an outlier.
prev_acc,"Accuracy on the immediately preceding trial (1=correct, 0=incorrect/timed-out/NA). Used for post-error slowing control."
