item,workerid,age,rating,gender,context
acid_test,S43,32,5,Male,0
acid_test,S15,53,5,Female,1
acid_test,S16,30,5,Male,1
acid_test,S30,30,6,Male,1
acid_test,S9,39,5,Female,0
acid_test,S5,32,7,Male,1
acid_test,S20,48,3,Female,1
acid_test,S10,35,5,Male,0
acid_test,S14,27,4,Male,1
acid_test,S3,51,7,Male,0
acid_test,S32,38,5,Male,1
acid_test,S23,31,5,Male,0
acid_test,S38,35,6,Male,1
acid_test,S21,40,5,Female,0
acid_test,S37,60,6,Female,1
acid_test,S40,53,2,Female,1
acid_test,S7,35,3,Male,0
acid_test,S12,57,1,Female,1
acid_test,S35,25,5,Male,1
acid_test,S24,57,4,Female,0
acid_test,S2,38,2,Male,0
acid_test,S17,57,4,Female,0
acid_test,S27,32,4,Male,1
acid_test,S6,29,6,Female,1
acid_test,S13,66,7,Male,1
acid_test,S8,34,1,Female,0
acid_test,S46,59,1,Female,1
acid_test,S41,23,3,Male,0
acid_test,S44,30,7,Male,1
acid_test,S26,40,1,Male,1
acid_test,S1,29,2,Male,1
acid_test,S42,35,5,Male,0
acid_test,S11,27,6,Female,1
acid_test,S29,31,2,Male,1
acid_test,S25,35,1,Male,0
acid_test,S33,29,7,Male,0
acid_test,S31,31,7,Male,0
acid_test,S34,47,4,Female,1
acid_test,S22,56,2,Female,0
acid_test,S36,55,3,Male,0
acid_test,S45,29,4,Male,0
acid_test,S28,54,4,Male,0
acid_test,S49,49,3,Male,0
acid_test,S39,24,2,Female,1
acid_test,S48,25,6,Male,1
acid_test,S4,41,6,Female,0
acid_test,S19,51,6,Male,1
acid_test,S18,35,3,Male,0
acid_test,S47,26,3,Male,0
almond_eyes,S46,59,4,Female,1
almond_eyes,S9,39,5,Female,0
almond_eyes,S14,27,6,Male,1
almond_eyes,S22,56,6,Female,0
almond_eyes,S33,29,5,Male,0
almond_eyes,S11,27,3,Female,1
almond_eyes,S5,32,7,Male,1
almond_eyes,S42,35,5,Male,0
almond_eyes,S35,25,5,Male,1
almond_eyes,S1,29,5,Male,1
almond_eyes,S2,38,4,Male,0
almond_eyes,S34,47,5,Female,1
almond_eyes,S19,51,3,Male,1
almond_eyes,S16,30,7,Male,1
almond_eyes,S47,26,5,Male,0
almond_eyes,S24,57,5,Female,0
almond_eyes,S13,66,7,Male,1
almond_eyes,S23,31,1,Male,0
almond_eyes,S12,57,5,Female,1
almond_eyes,S8,34,4,Female,0
almond_eyes,S45,29,3,Male,0
almond_eyes,S10,35,4,Male,0
almond_eyes,S26,40,4,Male,1
almond_eyes,S40,53,6,Female,1
almond_eyes,S20,48,6,Female,1
almond_eyes,S44,30,7,Male,1
almond_eyes,S7,35,2,Male,0
almond_eyes,S43,32,2,Male,0
almond_eyes,S15,53,7,Female,1
almond_eyes,S4,41,3,Female,0
almond_eyes,S39,24,6,Female,1
almond_eyes,S18,35,3,Male,0
almond_eyes,S27,32,4,Male,1
almond_eyes,S29,31,4,Male,1
almond_eyes,S41,23,2,Male,0
almond_eyes,S48,25,4,Male,1
almond_eyes,S6,29,5,Female,1
almond_eyes,S21,40,5,Female,0
almond_eyes,S25,35,3,Male,0
almond_eyes,S28,54,4,Male,0
almond_eyes,S17,57,6,Female,0
almond_eyes,S36,55,1,Male,0
almond_eyes,S49,49,5,Male,0
almond_eyes,S32,38,6,Male,1
almond_eyes,S30,30,6,Male,1
almond_eyes,S38,35,4,Male,1
almond_eyes,S31,31,6,Male,0
almond_eyes,S37,60,6,Female,1
almond_eyes,S3,51,7,Male,0
angry_sea,S17,57,3,Female,0
angry_sea,S34,47,5,Female,1
angry_sea,S15,53,6,Female,1
angry_sea,S43,32,4,Male,0
angry_sea,S23,31,6,Male,0
angry_sea,S38,35,4,Male,1
angry_sea,S13,66,6,Male,1
angry_sea,S45,29,6,Male,0
angry_sea,S19,51,6,Male,1
angry_sea,S37,60,7,Female,1
angry_sea,S29,31,7,Male,1
angry_sea,S20,48,6,Female,1
angry_sea,S31,31,5,Male,0
angry_sea,S39,24,2,Female,1
angry_sea,S44,30,6,Male,1
angry_sea,S4,41,7,Female,0
angry_sea,S14,27,6,Male,1
angry_sea,S36,55,6,Male,0
angry_sea,S9,39,3,Female,0
angry_sea,S1,29,5,Male,1
angry_sea,S25,35,4,Male,0
angry_sea,S24,57,6,Female,0
angry_sea,S6,29,2,Female,1
angry_sea,S40,53,5,Female,1
angry_sea,S46,59,3,Female,1
angry_sea,S21,40,3,Female,0
angry_sea,S47,26,6,Male,0
angry_sea,S12,57,6,Female,1
angry_sea,S18,35,5,Male,0
angry_sea,S10,35,5,Male,0
angry_sea,S35,25,5,Male,1
angry_sea,S27,32,3,Male,1
angry_sea,S48,25,5,Male,1
angry_sea,S22,56,3,Female,0
angry_sea,S2,38,6,Male,0
angry_sea,S26,40,5,Male,1
angry_sea,S7,35,3,Male,0
angry_sea,S42,35,5,Male,0
angry_sea,S8,34,5,Female,0
angry_sea,S3,51,5,Male,0
angry_sea,S11,27,7,Female,1
angry_sea,S16,30,5,Male,1
angry_sea,S49,49,4,Male,0
angry_sea,S33,29,7,Male,0
angry_sea,S5,32,6,Male,1
angry_sea,S32,38,5,Male,1
angry_sea,S41,23,2,Male,0
angry_sea,S30,30,5,Male,1
angry_sea,S28,54,3,Male,0
