item,participant,age,rating,gender
acid_test,W6,54,3,Male
acid_test,W14,59,2,Male
acid_test,W19,49,4,Male
acid_test,W20,37,5,Female
acid_test,W22,50,1,Female
acid_test,W16,34,7,Male
acid_test,W4,38,2,nonbinary
acid_test,W12,37,1,Female
acid_test,W26,34,4,Male
acid_test,W9,57,7,Female
acid_test,W8,44,2,Female
acid_test,W21,42,3,Male
acid_test,W11,47,3,Male
acid_test,W24,41,6,Female
acid_test,W25,43,5,Male
acid_test,W18,37,3,Male
acid_test,W23,36,1,Female
acid_test,W10,69,6,Female
acid_test,W3,65,6,Female
acid_test,W13,52,5,Female
acid_test,W5,35,7,Female
acid_test,W7,40,4,Male
acid_test,W2,70,5,Female
acid_test,W1,50,3,Female
acid_test,W15,44,1,Male
acid_test,W17,51,1,Female
almond_eyes,W5,35,7,Female
almond_eyes,W11,47,6,Male
almond_eyes,W21,42,7,Male
almond_eyes,W7,40,7,Male
almond_eyes,W4,38,6,nonbinary
almond_eyes,W23,36,7,Female
almond_eyes,W3,65,7,Female
almond_eyes,W6,54,5,Male
almond_eyes,W14,59,7,Male
almond_eyes,W2,70,3,Female
almond_eyes,W8,44,6,Female
almond_eyes,W17,51,2,Female
almond_eyes,W13,52,6,Female
almond_eyes,W25,43,7,Male
almond_eyes,W18,37,7,Male
almond_eyes,W19,49,5,Male
almond_eyes,W10,69,6,Female
almond_eyes,W20,37,6,Female
almond_eyes,W15,44,6,Male
almond_eyes,W16,34,5,Male
almond_eyes,W9,57,6,Female
almond_eyes,W12,37,7,Female
almond_eyes,W22,50,7,Female
almond_eyes,W24,41,5,Female
almond_eyes,W26,34,6,Male
almond_eyes,W1,50,7,Female
angry_sea,W17,51,4,Female
angry_sea,W8,44,6,Female
angry_sea,W12,37,5,Female
angry_sea,W3,65,5,Female
angry_sea,W14,59,7,Male
angry_sea,W21,42,3,Male
angry_sea,W6,54,5,Male
angry_sea,W25,43,2,Male
angry_sea,W10,69,4,Female
angry_sea,W18,37,1,Male
angry_sea,W1,50,7,Female
angry_sea,W13,52,2,Female
angry_sea,W23,36,4,Female
angry_sea,W16,34,1,Male
angry_sea,W20,37,5,Female
angry_sea,W9,57,6,Female
angry_sea,W11,47,5,Male
angry_sea,W26,34,6,Male
angry_sea,W15,44,5,Male
angry_sea,W5,35,1,Female
angry_sea,W19,49,4,Male
angry_sea,W7,40,6,Male
angry_sea,W22,50,4,Female
angry_sea,W2,70,3,Female
angry_sea,W24,41,6,Female
angry_sea,W4,38,5,nonbinary
arm_candy,W14,59,3,Male
arm_candy,W21,42,5,Male
arm_candy,W20,37,3,Female
arm_candy,W2,70,3,Female
arm_candy,W19,49,4,Male
arm_candy,W5,35,7,Female
arm_candy,W11,47,5,Male
arm_candy,W26,34,4,Male
arm_candy,W25,43,5,Male
arm_candy,W13,52,5,Female
arm_candy,W24,41,7,Female
arm_candy,W15,44,3,Male
arm_candy,W10,69,6,Female
arm_candy,W8,44,3,Female
arm_candy,W22,50,1,Female
arm_candy,W7,40,2,Male
arm_candy,W23,36,1,Female
arm_candy,W1,50,5,Female
arm_candy,W3,65,6,Female
arm_candy,W4,38,1,nonbinary
arm_candy,W6,54,5,Male
arm_candy,W17,51,1,Female
arm_candy,W16,34,4,Male
arm_candy,W18,37,4,Male
arm_candy,W12,37,1,Female
arm_candy,W9,57,7,Female
baby_blues,W23,36,2,Female
baby_blues,W17,51,1,Female
baby_blues,W7,40,1,Male
