item,workerid,age,rating,gender,context
acid_test,P10,33,5,Male,0
acid_test,P36,32,6,Male,0
acid_test,P19,50,5,Female,0
acid_test,P7,40,4,Female,0
acid_test,P4,30,3,Male,0
acid_test,P31,28,5,Female,0
acid_test,P50,37,6,Female,0
acid_test,P54,31,7,Female,0
acid_test,P21,30,3,Male,0
acid_test,P32,33,7,Male,0
acid_test,P53,26,7,Male,0
acid_test,P37,31,7,Female,0
acid_test,P2,29,3,Male,0
acid_test,P1,57,3,Female,0
acid_test,P29,23,1,Male,0
acid_test,P39,43,5,Female,0
acid_test,P13,32,4,Male,0
acid_test,P48,46,5,Male,0
acid_test,P51,35,5,Female,0
acid_test,P9,59,5,Female,0
acid_test,P24,38,4,Male,0
acid_test,P16,26,7,Male,0
acid_test,P17,48,7,Male,0
acid_test,P33,29,3,Female,0
acid_test,P43,26,6,Male,0
acid_test,P8,42,4,Female,0
acid_test,P27,53,6,Male,0
acid_test,P52,30,1,Male,0
almond_eyes,P33,29,4,Female,0
almond_eyes,P13,32,2,Male,0
almond_eyes,P43,26,6,Male,0
almond_eyes,P32,33,3,Male,0
almond_eyes,P29,23,1,Male,0
almond_eyes,P24,38,3,Male,0
almond_eyes,P19,50,5,Female,0
almond_eyes,P16,26,7,Male,0
almond_eyes,P48,46,4,Male,0
almond_eyes,P27,53,7,Male,0
almond_eyes,P7,40,5,Female,0
almond_eyes,P17,48,1,Male,0
almond_eyes,P31,28,6,Female,0
almond_eyes,P2,29,5,Male,0
almond_eyes,P9,59,2,Female,0
almond_eyes,P36,32,4,Male,0
almond_eyes,P53,26,7,Male,0
almond_eyes,P1,57,3,Female,0
almond_eyes,P50,37,6,Female,0
almond_eyes,P39,43,6,Female,0
almond_eyes,P21,30,4,Male,0
almond_eyes,P51,35,6,Female,0
almond_eyes,P52,30,3,Male,0
almond_eyes,P4,30,3,Male,0
almond_eyes,P37,31,7,Female,0
almond_eyes,P54,31,7,Female,0
almond_eyes,P10,33,4,Male,0
almond_eyes,P8,42,4,Female,0
angry_sea,P49,31,6,Male,0
angry_sea,P44,24,5,Male,0
angry_sea,P41,33,3,Male,0
angry_sea,P15,33,4,Male,0
angry_sea,P26,30,2,Male,0
angry_sea,P28,38,4,Male,0
angry_sea,P42,34,1,Female,0
angry_sea,P20,35,2,Male,0
angry_sea,P34,35,2,Male,0
angry_sea,P14,29,5,Male,0
angry_sea,P25,30,2,Female,0
angry_sea,P5,51,7,Female,0
angry_sea,P45,29,6,Male,0
angry_sea,P30,55,5,Male,0
angry_sea,P38,27,3,Male,0
angry_sea,P12,57,6,Female,0
angry_sea,P35,48,6,Male,0
angry_sea,P3,27,2,Female,0
angry_sea,P11,25,7,Female,0
angry_sea,P40,34,1,Male,0
angry_sea,P6,35,7,Male,0
angry_sea,P46,35,7,Male,0
angry_sea,P47,41,6,Male,0
angry_sea,P22,32,5,Male,0
angry_sea,P23,32,5,Male,0
angry_sea,P18,51,5,Male,0
arm_candy,P37,31,6,Female,0
arm_candy,P31,28,5,Female,0
arm_candy,P51,35,6,Female,0
arm_candy,P21,30,5,Male,0
arm_candy,P10,33,5,Male,0
arm_candy,P4,30,5,Male,0
arm_candy,P24,38,4,Male,0
arm_candy,P36,32,2,Male,0
arm_candy,P13,32,5,Male,0
arm_candy,P50,37,6,Female,0
arm_candy,P8,42,5,Female,0
arm_candy,P27,53,7,Male,0
arm_candy,P33,29,6,Female,0
arm_candy,P32,33,7,Male,0
arm_candy,P17,48,7,Male,0
arm_candy,P1,57,7,Female,0
arm_candy,P52,30,5,Male,0
arm_candy,P2,29,7,Male,0
arm_candy,P9,59,6,Female,0
arm_candy,P7,40,2,Female,0
arm_candy,P43,26,5,Male,0
arm_candy,P19,50,3,Female,0
arm_candy,P54,31,7,Female,0
arm_candy,P48,46,5,Male,0
arm_candy,P53,26,4,Male,0
arm_candy,P16,26,1,Male,0
arm_candy,P29,23,4,Male,0
arm_candy,P39,43,3,Female,0
baby_blues,P44,24,3,Male,0
baby_blues,P26,30,4,Male,0
baby_blues,P46,35,3,Male,0
baby_blues,P38,27,3,Male,0
baby_blues,P49,31,5,Male,0
baby_blues,P5,51,6,Female,0
baby_blues,P34,35,4,Male,0
baby_blues,P15,33,6,Male,0
baby_blues,P25,30,5,Female,0
baby_blues,P12,57,6,Female,0
baby_blues,P40,34,4,Male,0
baby_blues,P18,51,6,Male,0
baby_blues,P14,29,5,Male,0
baby_blues,P23,32,5,Male,0
baby_blues,P6,35,6,Male,0
baby_blues,P47,41,5,Male,0
baby_blues,P41,33,2,Male,0
baby_blues,P11,25,5,Female,0
baby_blues,P28,38,6,Male,0
baby_blues,P35,48,6,Male,0
baby_blues,P30,55,5,Male,0
baby_blues,P22,32,7,Male,0
baby_blues,P20,35,4,Male,0
baby_blues,P45,29,6,Male,0
baby_blues,P42,34,4,Female,0
baby_blues,P3,27,4,Female,0
baby_fever,P9,59,2,Female,0
baby_fever,P53,26,5,Male,0
baby_fever,P16,26,7,Male,0
baby_fever,P31,28,5,Female,0
baby_fever,P7,40,5,Female,0
baby_fever,P39,43,3,Female,0
baby_fever,P32,33,7,Male,0
baby_fever,P17,48,7,Male,0
baby_fever,P19,50,2,Female,0
baby_fever,P51,35,7,Female,0
baby_fever,P24,38,6,Male,0
baby_fever,P10,33,5,Male,0
baby_fever,P2,29,5,Male,0
baby_fever,P1,57,7,Female,0
baby_fever,P48,46,4,Male,0
baby_fever,P13,32,2,Male,0
baby_fever,P8,42,6,Female,0
baby_fever,P50,37,3,Female,0
baby_fever,P52,30,6,Male,0
baby_fever,P43,26,4,Male,0
baby_fever,P27,53,7,Male,0
baby_fever,P21,30,4,Male,0
