workerid,age,gender,item,rating
P9,53,male,clear_intention,3
P9,53,male,cold_feet,7
P9,53,male,floor_effect,7
P9,53,male,flash_sale,4
P9,53,male,rising_star,7
P9,53,male,dead_match,7
P9,53,male,mother_lode,3
P9,53,male,dry_buzz,5
P9,53,male,bright_side,7
P9,53,male,broken_heart,7
P9,53,male,cold_iron,7
P9,53,male,dead_end,6
P9,53,male,gold_nugget,7
P9,53,male,baby_steps,7
P9,53,male,cake_face,4
P9,53,male,hot_potato,6
P9,53,male,lame_duck,7
P9,53,male,almond_eyes,3
P9,53,male,firm_hand,4
P9,53,male,silver_lining,6
P9,53,male,dirty_money,5
P9,53,male,dark_thoughts,3
P9,53,male,chain_reaction,2
P9,53,male,blind_date,6
P9,53,male,bubbly_personality,4
P9,53,male,cross_fire,6
P9,53,male,last_straw,7
P9,53,male,bullet_point,1
P9,53,male,cold_fish,7
P9,53,male,blank_sleep,2
P9,53,male,black_sheep,6
P9,53,male,hot_head,6
P9,53,male,bottomless_pit,7
P9,53,male,sweet_pea,7
P9,53,male,golden_goose,7
P9,53,male,dark_personality,3
P9,53,male,mad_slap,4
P9,53,male,deep_love,1
P9,53,male,straight_arrow,6
P9,53,male,golden_egg,5
P9,53,male,elephant_ears,1
P9,53,male,floating_shelf,1
P9,53,male,angry_sea,1
P9,53,male,eagle_eyes,5
P9,53,male,stumbling_block,5
P9,53,male,wild_west,7
P9,53,male,firefly_eyes,6
P9,53,male,dragon_teacher,4
P9,53,male,magic_bullet,4
P9,53,male,green_light,5
P9,53,male,ice_breaker,6
P9,53,male,slam_dunk,7
P9,53,male,ballpark_figure,3
P9,53,male,gold_digger,5
P9,53,male,chopping_block,5
P9,53,male,dirty_dance,2
P9,53,male,melting_pot,5
P9,53,male,death_burger,4
P9,53,male,bright_student,2
P9,53,male,golden_heart,6
P9,53,male,road_hog,5
P9,53,male,cold_turkey,7
P9,53,male,ceiling_effect,3
P9,53,male,flat_art,2
P9,53,male,wild_dog,5
P9,53,male,salty_dog,6
P9,53,male,black_swan,7
P9,53,male,rug_rats,6
P9,53,male,crooked_math,3
P9,53,male,foot_soldiers,4
P9,53,male,stalking_horse,6
P9,53,male,chicken_feed,7
P9,53,male,dead_metaphor,1
P9,53,male,short_fuse,5
P9,53,male,burning_question,4
P9,53,male,black_humour,3
P9,53,male,forbidden_fruit,5
P9,53,male,dirty_laundry,6
P9,53,male,broken_face,2
P9,53,male,ugly_duckling,7
P9,53,male,curtain_bangs,3
P9,53,male,bare_bones,6
P9,53,male,flaky_idea,4
P9,53,male,old_hat,6
P9,53,male,low_key,4
P9,53,male,rare_bird,5
P9,53,male,iron_fist,7
P9,53,male,closed_mind,3
P9,53,male,long_fuse,4
P9,53,male,soft_spot,3
P9,53,male,sock_puppet,6
P9,53,male,burning_moment,6
P9,53,male,chicken_legs,3
P9,53,male,dry_laugh,4
P9,53,male,running_head,2
P9,53,male,hot_water,6
P9,53,male,wet_blanket,7
P9,53,male,black_box,4
P9,53,male,punching_ball,3
P9,53,male,bat_wings,7
P9,53,male,thin_ice,7
P9,53,male,bitter_end,5
P9,53,male,bucket_list,2
P9,53,male,glass_ceiling,7
P9,53,male,black_widow,4
P9,53,male,clean_slate,3
P9,53,male,blue_moon,2
P9,53,male,small_potatoes,5
P9,53,male,butter_fingers,7
P9,53,male,third_eye,3
P9,53,male,blind_eye,5
P9,53,male,acid_test,6
P9,53,male,cheese_writing,4
P9,53,male,dead_act,4
P9,53,male,rabbit_hole,7
P9,53,male,big_fish,7
P9,53,male,lip_service,5
P9,53,male,deep_water,6
P9,53,male,fan_brush,1
P9,53,male,sitting_duck,5
P9,53,male,muffin_top,3
P9,53,male,smoking_gun,6
P9,53,male,dead_silence,1
P9,53,male,red_flag,3
P9,53,male,golden_river,3
P9,53,male,bumpy_life,1
P9,53,male,crocodile_tears,6
P9,53,male,bulletproof_argument,5
P9,53,male,sixth_sense,2
P9,53,male,raging_bull,4
P9,53,male,blue_blood,5
P9,53,male,cool_head,3
P9,53,male,soft_landing,2
P9,53,male,bitter_truth,4
P9,53,male,dirty_mouth,6
P9,53,male,love_handles,2
