"participant_id","age","gender","trial_id","trial_order","stimulus","response"
"W6",54,"Male",1,0,"acid_test",3
"W14",59,"Male",2,0,"acid_test",2
"W19",49,"Male",3,0,"acid_test",4
"W20",37,"Female",4,0,"acid_test",5
"W22",50,"Female",5,0,"acid_test",1
"W16",34,"Male",6,0,"acid_test",7
"W4",38,"Nonbinary",7,0,"acid_test",2
"W12",37,"Female",8,0,"acid_test",1
"W26",34,"Male",9,0,"acid_test",4
"W9",57,"Female",10,0,"acid_test",7
"W8",44,"Female",11,0,"acid_test",2
"W21",42,"Male",12,0,"acid_test",3
"W11",47,"Male",13,0,"acid_test",3
"W24",41,"Female",14,0,"acid_test",6
"W25",43,"Male",15,0,"acid_test",5
"W18",37,"Male",16,0,"acid_test",3
"W23",36,"Female",17,0,"acid_test",1
"W10",69,"Female",18,0,"acid_test",6
"W3",65,"Female",19,0,"acid_test",6
"W13",52,"Female",20,0,"acid_test",5
"W5",35,"Female",21,0,"acid_test",7
"W7",40,"Male",22,0,"acid_test",4
"W2",70,"Female",23,0,"acid_test",5
"W1",50,"Female",24,0,"acid_test",3
"W15",44,"Male",25,0,"acid_test",1
"W17",51,"Female",26,0,"acid_test",1
"W5",35,"Female",27,1,"almond_eyes",7
"W11",47,"Male",28,1,"almond_eyes",6
"W21",42,"Male",29,1,"almond_eyes",7
"W7",40,"Male",30,1,"almond_eyes",7
"W4",38,"Nonbinary",31,1,"almond_eyes",6
"W23",36,"Female",32,1,"almond_eyes",7
"W3",65,"Female",33,1,"almond_eyes",7
"W6",54,"Male",34,1,"almond_eyes",5
"W14",59,"Male",35,1,"almond_eyes",7
"W2",70,"Female",36,1,"almond_eyes",3
"W8",44,"Female",37,1,"almond_eyes",6
"W17",51,"Female",38,1,"almond_eyes",2
"W13",52,"Female",39,1,"almond_eyes",6
"W25",43,"Male",40,1,"almond_eyes",7
"W18",37,"Male",41,1,"almond_eyes",7
"W19",49,"Male",42,1,"almond_eyes",5
"W10",69,"Female",43,1,"almond_eyes",6
"W20",37,"Female",44,1,"almond_eyes",6
"W15",44,"Male",45,1,"almond_eyes",6
"W16",34,"Male",46,1,"almond_eyes",5
"W9",57,"Female",47,1,"almond_eyes",6
"W12",37,"Female",48,1,"almond_eyes",7
"W22",50,"Female",49,1,"almond_eyes",7
"W24",41,"Female",50,1,"almond_eyes",5
"W26",34,"Male",51,1,"almond_eyes",6
"W1",50,"Female",52,1,"almond_eyes",7
"W17",51,"Female",53,2,"angry_sea",4
"W8",44,"Female",54,2,"angry_sea",6
"W12",37,"Female",55,2,"angry_sea",5
"W3",65,"Female",56,2,"angry_sea",5
"W14",59,"Male",57,2,"angry_sea",7
"W21",42,"Male",58,2,"angry_sea",3
"W6",54,"Male",59,2,"angry_sea",5
"W25",43,"Male",60,2,"angry_sea",2
"W10",69,"Female",61,2,"angry_sea",4
"W18",37,"Male",62,2,"angry_sea",1
"W1",50,"Female",63,2,"angry_sea",7
"W13",52,"Female",64,2,"angry_sea",2
"W23",36,"Female",65,2,"angry_sea",4
"W16",34,"Male",66,2,"angry_sea",1
"W20",37,"Female",67,2,"angry_sea",5
"W9",57,"Female",68,2,"angry_sea",6
"W11",47,"Male",69,2,"angry_sea",5
"W26",34,"Male",70,2,"angry_sea",6
"W15",44,"Male",71,2,"angry_sea",5
"W5",35,"Female",72,2,"angry_sea",1
"W19",49,"Male",73,2,"angry_sea",4
"W7",40,"Male",74,2,"angry_sea",6
"W22",50,"Female",75,2,"angry_sea",4
"W2",70,"Female",76,2,"angry_sea",3
"W24",41,"Female",77,2,"angry_sea",6
"W4",38,"Nonbinary",78,2,"angry_sea",5
"W14",59,"Male",79,3,"arm_candy",3
"W21",42,"Male",80,3,"arm_candy",5
"W20",37,"Female",81,3,"arm_candy",3
"W2",70,"Female",82,3,"arm_candy",3
"W19",49,"Male",83,3,"arm_candy",4
"W5",35,"Female",84,3,"arm_candy",7
"W11",47,"Male",85,3,"arm_candy",5
"W26",34,"Male",86,3,"arm_candy",4
"W25",43,"Male",87,3,"arm_candy",5
"W13",52,"Female",88,3,"arm_candy",5
"W24",41,"Female",89,3,"arm_candy",7
"W15",44,"Male",90,3,"arm_candy",3
"W10",69,"Female",91,3,"arm_candy",6
"W8",44,"Female",92,3,"arm_candy",3
"W22",50,"Female",93,3,"arm_candy",1
"W7",40,"Male",94,3,"arm_candy",2
"W23",36,"Female",95,3,"arm_candy",1
"W1",50,"Female",96,3,"arm_candy",5
"W3",65,"Female",97,3,"arm_candy",6
"W4",38,"Nonbinary",98,3,"arm_candy",1
"W6",54,"Male",99,3,"arm_candy",5
"W17",51,"Female",100,3,"arm_candy",1
"W16",34,"Male",101,3,"arm_candy",4
"W18",37,"Male",102,3,"arm_candy",4
"W12",37,"Female",103,3,"arm_candy",1
"W9",57,"Female",104,3,"arm_candy",7
"W23",36,"Female",105,4,"baby_blues",2
"W17",51,"Female",106,4,"baby_blues",1
"W7",40,"Male",107,4,"baby_blues",1
"W1",50,"Female",108,4,"baby_blues",5
"W3",65,"Female",109,4,"baby_blues",4
"W5",35,"Female",110,4,"baby_blues",1
"W2",70,"Female",111,4,"baby_blues",3
"W16",34,"Male",112,4,"baby_blues",1
"W18",37,"Male",113,4,"baby_blues",2
"W13",52,"Female",114,4,"baby_blues",1
"W9",57,"Female",115,4,"baby_blues",3
"W4",38,"Nonbinary",116,4,"baby_blues",3
"W19",49,"Male",117,4,"baby_blues",4
"W24",41,"Female",118,4,"baby_blues",1
"W12",37,"Female",119,4,"baby_blues",2
"W11",47,"Male",120,4,"baby_blues",4
"W15",44,"Male",121,4,"baby_blues",1
"W14",59,"Male",122,4,"baby_blues",2
"W26",34,"Male",123,4,"baby_blues",5
"W21",42,"Male",124,4,"baby_blues",1
"W25",43,"Male",125,4,"baby_blues",1
"W6",54,"Male",126,4,"baby_blues",3
"W8",44,"Female",127,4,"baby_blues",2
"W10",69,"Female",128,4,"baby_blues",3
"W22",50,"Female",129,4,"baby_blues",1
"W20",37,"Female",130,4,"baby_blues",6
"W21",42,"Male",131,5,"baby_fever",2
"W18",37,"Male",132,5,"baby_fever",1
"W5",35,"Female",133,5,"baby_fever",2
"W16",34,"Male",134,5,"baby_fever",3
"W20",37,"Female",135,5,"baby_fever",5
"W17",51,"Female",136,5,"baby_fever",2
"W26",34,"Male",137,5,"baby_fever",7
"W13",52,"Female",138,5,"baby_fever",1
"W3",65,"Female",139,5,"baby_fever",1
"W8",44,"Female",140,5,"baby_fever",2
"W9",57,"Female",141,5,"baby_fever",3
"W12",37,"Female",142,5,"baby_fever",5
"W23",36,"Female",143,5,"baby_fever",1
"W11",47,"Male",144,5,"baby_fever",4
"W22",50,"Female",145,5,"baby_fever",1
"W4",38,"Nonbinary",146,5,"baby_fever",3
"W2",70,"Female",147,5,"baby_fever",5
