participant;task;stimuli;stem;affix;fs;length;zipf;r;g;b;ld;congruency;correct;type;key;accuracy;rt
28;ld;gialloso;giallo;oso;2;8;4.088.825.104;255;255;0;2;1;2;0;2;2;691
28;ld;bianchista;bianco;ista;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;1116
28;ld;biancozione;bianco;zione;1;11;4.744.381.459;255;255;255;5;1;2;0;2;2;917
28;ld;rosamento;rosa;mento;1;9;4.458.329.649;255;0;255;5;1;2;0;2;2;909
28;ld;rosatore;rosa;tore;1;8;4.458.329.649;255;0;255;4;1;2;0;2;2;902
28;ld;verdetore;verde;tore;1;9;4.586.948.127;0;153;0;4;1;2;0;2;2;941
28;ld;verdismo;verde;ismo;0;8;4.586.948.127;0;153;0;4;1;2;0;2;2;693
28;ld;bluezza;blu;ezza;1;7;464.683.347;255;0;255;4;0;2;0;2;2;693
28;ld;gialliere;giallo;iere;0;9;4.088.825.104;0;0;255;4;0;2;0;2;2;1302
28;ld;preoccupazione;0;zione;3;14;390.901;255;0;255;0;2;1;1;1;1;686
28;ld;maniere;0;iere;3;7;3.905.672;0;153;0;0;2;1;1;2;2;1742
28;ld;verderia;verde;eria;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;828
28;ld;verdetore;verde;tore;1;9;4.586.948.127;255;255;255;4;0;2;0;2;2;814
28;ld;rosezza;rosa;ezza;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;750
28;ld;pericoloso;0;oso;3;10;4.697.022;255;255;0;0;2;1;1;1;1;550
28;ld;rosiere;rosa;iere;0;7;4.458.329.649;255;0;255;4;1;2;0;2;2;1094
28;ld;giallenza;giallo;enza;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;1014
28;ld;dolcezza;0;ezza;3;8;4.313.303;255;0;255;0;2;1;1;1;1;629
28;ld;rivista;0;ista;3;7;4.188.528;255;128;0;0;2;1;1;1;1;621
28;ld;giallozione;giallo;zione;1;11;4.088.825.104;255;255;0;5;1;2;0;2;2;678
28;ld;rososo;rosa;oso;0;6;4.458.329.649;255;0;255;3;1;2;0;2;2;1094
28;ld;rosenza;rosa;enza;0;7;4.458.329.649;255;255;0;3;0;2;0;2;2;1079
28;ld;terrorismo;0;ismo;3;10;3.733.749;255;128;0;0;2;1;1;1;1;598
28;ld;bluenza;blu;enza;1;7;464.683.347;0;0;255;4;1;2;0;2;2;702
28;ld;rosenza;rosa;enza;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;775
28;ld;arancioneria;arancione;eria;2;12;3.671.648.609;255;128;0;3;1;2;0;2;2;766
28;ld;bianchista;bianco;ista;0;10;4.744.381.459;255;0;255;5;0;2;0;2;2;685
28;ld;verderia;verde;eria;2;8;4.586.948.127;255;0;255;3;0;2;0;2;2;494
28;ld;bluoso;blu;oso;1;6;464.683.347;255;0;255;3;0;2;0;2;2;598
28;ld;biancozione;bianco;zione;1;11;4.744.381.459;0;153;0;5;0;2;0;2;2;614
28;ld;verdista;verde;ista;0;8;4.586.948.127;255;0;255;4;0;2;0;2;2;486
28;ld;arancionezza;arancione;ezza;2;12;3.671.648.609;255;128;0;3;1;2;0;2;2;629
28;ld;rosabile;rosa;abile;2;8;4.458.329.649;255;255;255;4;0;2;0;2;2;782
28;ld;giallotore;giallo;tore;1;10;4.088.825.104;0;0;255;4;0;2;0;2;2;479
28;ld;batteria;0;eria;3;8;4.046.745;255;255;0;0;2;1;1;1;1;1271
28;ld;bluismo;blu;ismo;1;7;464.683.347;0;153;0;4;0;2;0;2;2;517
28;ld;stazione;0;zione;3;8;4.603.552;255;255;0;0;2;1;1;1;1;678
28;ld;gialloso;giallo;oso;2;8;4.088.825.104;255;128;0;2;0;2;0;2;2;974
28;ld;bellezza;0;ezza;3;8;4.508.569;0;153;0;0;2;1;1;1;1;893
28;ld;arancioneria;arancione;eria;2;12;3.671.648.609;255;255;0;3;0;2;0;2;2;630
28;ld;bianchiere;bianco;iere;0;10;4.744.381.459;255;128;0;5;0;2;0;2;2;815
28;ld;arancionezione;arancione;zione;1;14;3.671.648.609;0;153;0;5;0;2;0;2;2;662
28;ld;materia;0;eria;3;7;4.023.113;255;255;255;0;2;1;1;1;1;734
28;ld;arancionista;arancione;ista;0;12;3.671.648.609;255;0;255;4;0;2;0;2;2;1478
28;ld;arancioniere;arancione;iere;0;12;3.671.648.609;0;0;255;3;0;2;0;2;2;614
28;ld;scegliere;0;iere;3;9;4.608.976;255;128;0;0;2;1;1;1;1;550
28;ld;biancabile;bianco;abile;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;629
28;ld;giallabile;giallo;abile;0;10;4.088.825.104;255;255;0;5;1;2;0;2;2;615
28;ld;arancionabile;arancione;abile;0;13;3.671.648.609;255;128;0;4;1;2;0;2;2;606
28;ld;rosiere;rosa;iere;0;7;4.458.329.649;255;128;0;4;0;2;0;2;2;934
28;ld;tempismo;0;ismo;3;8;3.847.979;255;255;0;0;2;1;1;1;1;743
28;ld;bluzione;blu;zione;1;8;464.683.347;255;255;0;5;0;2;0;2;2;654
28;ld;instabile;0;abile;3;9;3.770.707;255;128;0;0;2;1;1;1;1;596
28;ld;gialliere;giallo;iere;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;637
28;ld;roseria;rosa;eria;0;7;4.458.329.649;255;128;0;3;0;2;0;2;2;548
28;ld;chiacchiere;0;iere;3;11;420.376;255;0;255;0;2;1;1;1;1;1028
28;ld;adorabile;0;abile;3;9;4.286.616;255;255;0;0;2;1;1;1;1;734
28;ld;organismo;0;ismo;3;9;3.612.527;0;153;0;0;2;1;1;1;1;670
28;ld;musicista;0;ista;3;9;3.718.553;0;153;0;0;2;1;1;1;1;508
28;ld;rosatore;rosa;tore;1;8;4.458.329.649;255;255;255;4;0;2;0;2;2;606
28;ld;intervista;0;ista;3;10;4.077.696;255;255;255;0;2;1;1;1;1;628
28;ld;schifoso;0;oso;3;8;4.051.261;255;255;0;0;2;1;1;1;1;557
28;ld;situazione;0;zione;3;10;5.027.247;0;153;0;0;2;1;1;1;1;558
28;ld;emergenza;0;enza;3;9;4.604.809;255;255;0;0;2;1;1;1;1;685
28;ld;giallismo;giallo;ismo;0;9;4.088.825.104;0;0;255;3;0;2;0;2;2;663
28;ld;arancionemento;arancione;mento;1;14;3.671.648.609;255;0;255;5;0;2;0;2;2;638
28;ld;elemento;0;mento;3;8;3.877.559;0;0;255;0;2;1;1;1;1;813
28;ld;giallenza;giallo;enza;0;9;4.088.825.104;0;153;0;4;0;2;0;2;2;989
28;ld;verdezza;verde;ezza;2;8;4.586.948.127;255;255;0;3;0;2;0;2;2;943
28;ld;rosista;rosa;ista;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;1078
28;ld;romanticismo;0;ismo;3;12;3.414.938;255;255;0;0;2;1;1;1;1;606
28;ld;infermiere;0;iere;3;10;4.035.711;255;255;0;0;2;1;1;1;1;622
28;ld;direttore;0;tore;3;9;4.726.724;0;0;255;0;2;1;1;1;1;662
28;ld;blutore;blu;tore;1;7;464.683.347;0;0;255;4;1;2;0;2;2;717
28;ld;imperatore;0;tore;3;10;4.058.391;0;0;255;0;2;1;1;1;1;669
28;ld;verdabile;verde;abile;0;9;4.586.948.127;255;255;0;4;0;2;0;2;2;685
28;ld;verdemento;verde;mento;1;10;4.586.948.127;255;128;0;5;0;2;0;2;2;581
28;ld;arancionista;arancione;ista;0;12;3.671.648.609;255;128;0;4;1;2;0;2;2;557
28;ld;bianchenza;bianco;enza;0;10;4.744.381.459;255;128;0;5;0;2;0;2;2;1750
28;ld;colazione;0;zione;3;9;4.628.119;255;255;255;0;2;1;1;1;1;679
28;ld;blumento;blu;mento;1;8;464.683.347;0;0;255;5;1;2;0;2;2;644
28;ld;prezioso;0;oso;3;8;4.024.389;255;255;0;0;2;1;1;1;1;591
28;ld;rosezza;rosa;ezza;0;7;4.458.329.649;0;153;0;3;0;2;0;2;2;638
28;ld;umorismo;0;ismo;3;8;3.959.561;255;255;0;0;2;1;1;1;1;542
28;ld;arancionenza;arancione;enza;2;12;3.671.648.609;255;0;255;3;0;2;0;2;2;502
28;ld;bluabile;blu;abile;1;8;464.683.347;0;0;255;5;1;2;0;2;2;838
28;ld;altezza;0;ezza;3;7;4.458.447;255;255;0;0;2;1;1;1;1;606
28;ld;bluabile;blu;abile;1;8;464.683.347;255;0;255;5;0;2;0;2;2;925
28;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;255;255;4;0;2;0;2;2;773
28;ld;operazione;0;zione;3;10;4.682.565;255;0;255;0;2;1;1;1;1;1094
28;ld;tradimento;0;mento;3;10;4.077.132;255;255;255;0;2;1;1;1;1;501
28;ld;bluenza;blu;enza;1;7;464.683.347;255;255;0;4;0;2;0;2;2;629
28;ld;verdismo;verde;ismo;0;8;4.586.948.127;255;255;0;4;0;2;0;2;2;518
28;ld;rososo;rosa;oso;0;6;4.458.329.649;0;0;255;3;0;2;0;2;2;517
28;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;0;255;4;1;2;0;2;2;618
28;ld;biancoso;bianco;oso;2;8;4.744.381.459;255;0;255;2;0;2;0;2;2;1125
