"word","resp"
"school","school;teacher;subject;home;5;4;3;4"
"life","life;fun;biology;evolution;4;3;4;5"
"university","university;study;lecturer;tenure;5;3;4;5"
"system","system;complex;equations;model;5;3;4;5"
"mathematics","mathematics;language;geometry;equation;4;5;3;4"
"art","art;modern;classic;museum;3;5;3;1"
"complex","complex;system;behaviour;idea;2;3;4;5"
"chemistry","chemistry;becker;reagent;ph;1;2;3;5"
"biology","biology;cell;life;science;1;1;4;3"
"physics","physics;science;nature;mathematics;3;2;4;2"
"age","31"
"gender","M"
"nationality","Italian"
"job","Scientific consultant"
