"word","resp"
"chemistry","chemistry;science;industry;quantum mechanics;4;5;5;4"
"mathematics","mathematics;tool;elegance;abstraction;5;3;3;3"
"university","university;research;knowledge;;4;4;5;"
"art","art;beautiful;colors;expression;5;5;4;5"
"system","system;dynamical;complex;solvable;5;4;4;3"
"physics","physics;world;limitated;human;4;5;3;4"
"complex","complex;hype;new;paradigm;4;3;4;4"
"life","life;organization;diverse;difficult;5;4;5;4"
"biology","biology;life;fuzzy;;4;4;2;"
"school","school;learning;inadequate;essential;3;4;2;4"
"age","32"
"gender","female"
"nationality","french"
"job","researcher"
