"word","resp"
"biology","biology;ants;brains;neuroscience;4;3;5;5"
"life","life;colonies;conscience;networks;5;3;5;5"
"mathematics","mathematics;physics;modeling;analysis;5;5;5;5"
"art","art;creativity;painting;writing;4;5;4;5"
"physics","physics;modeling;simulation;biology;5;5;5;4"
"complex","complex;networks;mathematics;simulations;4;5;4;5"
"university","university;academy;research;education;3;3;4;4"
"chemistry","chemistry;valence;pharmacology;receptor;2;2;2;2"
"system","system;network;dynamics;;3;4;4;"
"school","school;education;kids;;3;2;3;"
"age","42"
"gender","male"
"nationality","Spain"
"job","Research Associate"
