"word","resp"
"biology","biology;class;system;cell;4;4;4;5"
"life","life;function;planet;organism;5;5;5;5"
"mathematics","mathematics;system;equations;differential;5;4;4;4"
"art","art;beautiful;painting;gallery;5;5;5;5"
"physics","physics;teacher;nature;system;5;4;5;4"
"complex","complex;science;nature;behaviour;4;5;5;4"
"university","university;class;degree;course;4;4;3;3"
"chemistry","chemistry;subject;reaction;industrial;3;3;4;3"
"system","system;equations;earth;complex;4;4;;4"
"school","school;teacher;class;grade;4;4;4;3"
"age","31"
"gender","M"
"nationality","Italian"
"job","Data Scientist"
