"word","resp"
"biology","biology;green;nature;life;4;4;4;4"
"life","life;happiness;exercise;sun;4;5;5;5"
"mathematics","mathematics;complex;work;equation;3;3;1;2"
"art","art;bohemian;colour;intelectual;3;2;4;3"
"physics","physics;nature;experiment;science;3;4;3;3"
"complex","complex;large;relationship;hard;3;3;3;2"
"university","university;freedom;study;academia;3;4;2;3"
"chemistry","chemistry;reaction;boring;substances;2;3;1;2"
"system","system;mechanics;strict;work;3;3;2;1"
"school","school;learning;kid;timetable;3;3;3;1"
"age","37"
"gender","Male"
"nationality","Spanish"
"job","Researcher"
