"word","resp"
"system","system;complex;parts;interactions;4;5;3;5"
"physics","physics;classical;quantum;particle;5;4;2;1"
"biology","biology;cell;disease;evolution;4;4;1;5"
"university","university;degree;education;thinking;5;3;5;5"
"life","life;experience;challenge;existence;5;5;4;3"
"complex","complex;system;adaptation;survival;4;4;4;5"
"mathematics","mathematics;rigor;solution;formulation;4;3;4;4"
"chemistry","chemistry;laboratory;matter;energy;3;4;4;5"
"art","art;expression;truth;beauty;5;5;5;5"
"school","school;structure;learning;homework;5;2;5;3"
"age","23"
"gender","Male"
"nationality","Indian"
"job","Researcher"
